"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"ACE2","Ace2",0.39351,0.513533,0.554108,55,13,29,0.487050333333333,0.05341,0,0.099057,1,0,1,0.112139,1.33710834107367
"ACER1","Acer1",0.010316,0,0,1,0,0,0.00343866666666667,0.145606,0.072291,0.066789,3,2,2,0,1.00343866666667
"ACER2","Acer2",1.42388,1.059207,1.465725,188,45,74,1.31627066666667,0.989215,1.238033,0.764366,43,73,48,97.1317866666667,0.0236036736448564
"ACER3","Acer3",11.530842,8.637076,12.811604,2090,500,908,10.993174,5.100368,4.487993,5.453281,507,602,712,2.69759466666667,3.24350695010378
"ACHE","Ache",38.543926,55.551307,51.784107,3098,717,1169,48.6264466666667,150.826048,123.139185,143.64468,4252,4881,6215,40.6284346666667,1.19212857903601
"ACIN1","Acin1",47.715773,48.866846,39.717388,3077,703,1044,45.4333356666667,80.771096,83.773455,54.064282,1809,2688,1954,6.59116366666667,6.1167612378796
"ACKR1","Ackr1",401.909922,315.577281,419.361754,3251,659,1169,378.949652333333,5.527193,8.511619,6.913666,150,313,243,202.534186,1.86676086116233
"ACKR2","Ackr2",0.230189,0,0.108776,12,0,5,0.112988333333333,0.648149,0.227417,0.267559,15,14,12,0.24665,0.892783325980294
"ACKR3","Ackr3",1.643219,1.944276,2.196828,207,60,91,1.92810766666667,1.953183,0.627658,0.254604,33,11,7,9.87020466666667,0.269370058472373
"ACKR4","Ackr4",0.241529,0.299142,0.237301,17,5,6,0.259324,0.058436,0.043248,0,2,2,0,65.848697,0.0188384225349972
"ACLY","Acly",260.392702,266.512395,241.396209,29254,7300,11058,256.100435333333,258.665498,200.768091,176.389823,8902,9754,9291,0,257.100435333333
"ACMSD","Acmsd",0.189202,0.252901,0.032532,16,5,1,0.158211666666667,0.069346,0.050982,0.281347,2,2,7,1.74516333333333,0.421909928856692
"ACO1","Aco1",7.573506,6.423898,6.797077,1067,248,407,6.93149366666667,12.481148,12.32891,11.425298,956,1358,1328,5.02109066666667,1.31728520724263
"ACO2","Aco2",152.882375,199.289559,138.928187,10153,2348,3906,163.700040333333,69.325062,71.569862,65.685688,2171,3126,3037,5.951061,23.6942303244545
"ACOD1","Acod1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1","Acot3",0.045948,0,0.019346,4,0,1,0.0217646666666667,2.514575,1.663513,2.042674,51,52,55,0.020844,1.00090186812742
"ACOT11","Acot11",5.597158,7.963591,11.898845,600,147,282,8.48653133333333,1.059936,0.383645,0.558014,60,46,67,0.260889666666667,7.52368076614687
"ACOT12","Acot12",0.253707,0.347489,0.164709,20,3,8,0.255301666666667,0.137311,0.78691,0.64326,4,17,11,25.126856,0.0480464111972243
"ACOT13","Acot13",205.896612,167.600238,198.430747,1013,228,414,190.642532333333,14.096614,5.754241,11.441671,306,262,371,0,191.642532333333
"ACOT2","Acot2",1.608437,2.231103,1.605401,127,42,54,1.81498033333333,9.413227,10.383521,11.05022,97,146,165,0.319983333333333,2.13258778519931
"ACOT4","Acot4",0.992779,0.335627,0.515927,108,21,53,0.614777666666667,0.689296,0.540441,0.531756,24,26,28,6.764273,0.207975385031756
"ACOT6","Acot6",2.60611,2.315262,2.593869,342,74,141,2.50508033333333,0.172208,0.138878,0.065032,2,2,1,8.074458,0.386257816536628
"ACOT7","Acot7",344.989077,443.110743,384.06596,14119,3064,5131,390.721926666667,144.140782,166.680788,158.146086,2648,4286,4367,82.8537123333333,4.67149176543911
"ACOT8","Acot8",5.935894,5.306174,7.500256,219,50,102,6.24744133333333,21.302306,21.395702,21.651743,347,511,489,14.0888376666667,0.480318066470019
"ACOT9","Acot9",26.639485,27.561747,26.413979,1699,442,663,26.871737,15.355328,9.120068,8.944808,361,377,386,39.1634526666667,0.693957694108603
"ACOX1","Acox1",47.232225,43.761836,45.586086,6737,1580,2594,45.5267156666667,32.7541,26.088828,22.676301,735,866,739,23.4476393333333,1.9031169035298
"ACOX2","Acox2",0.274602,0.923317,0.505337,7,3,3,0.567752,0.363302,0.170177,0,2,1,0,52.27467,0.029427718651284
"ACOX3","Acox3",31.629305,24.683028,32.841768,2119,531,940,29.7180336666667,12.315552,13.017171,11.277513,264,352,310,17.552448,1.65574018408065
"ACOXL","Acoxl",0.278136,0.365673,0.129186,7,1,3,0.257665,0.066887,0.263478,0.058643,2,6,3,2.92647966666667,0.320303454179779
"ACP1","Acp1",69.524444,80.252228,59.21009,2779,715,1126,69.662254,61.38661,54.776346,47.901782,891,1273,1150,28.7068843333333,2.37864911066125
"ACP2","Acp2",20.104189,18.283754,25.826221,3506,850,1395,21.4047213333333,93.073029,93.19527,67.827959,600,764,662,0.362774666666667,16.4405179237262
"ACP4","Acp4",0.036404,0,0,2,0,0,0.0121346666666667,0.222704,0.198325,0.140824,4,5,4,1.58335133333333,0.391791334615217
"ACP5","Acp5",0.179136,0.609455,0.256272,9,1,5,0.348287666666667,5.678997,0.947109,4.648666,17,15,26,0.0758826666666667,1.25319210768956
"ACP6","Acp6",4.6856,4.305309,3.799063,212,42,65,4.263324,7.807588,6.333138,5.476793,192,222,243,0.0954383333333333,4.80476521575077
"ACP7","Acp7",1.156246,3.81974,1.76337,62,16,28,2.246452,0.210181,0.206031,0.215597,10,13,14,68.932163,0.046422874121597
"ACR","Acr",0.201876,0.564647,0.515537,11,7,9,0.427353333333333,0.12567,0.035491,0.308103,1,1,3,7.749376,0.163137729288733
"ACRBP","Acrbp",3.415024,1.196725,2.57384,77,13,19,2.39519633333333,0.628518,0.288323,1.583194,6,4,18,2.33570766666667,1.01783389691523
"ACRV1","Acrv1",0.114023,0.122849,0.250645,15,4,13,0.162505666666667,0.438865,0.108582,0.152571,4,3,4,10.4715193333333,0.101338421955034
"ACSBG1","Acsbg1",34.319032,30.107846,30.144743,2415,552,943,31.5238736666667,0.55242,0.59011,0.153687,22,36,23,32.135357,0.981545895723009
"ACSBG2","Acsbg2",0,0,0,0,0,0,0,0.197015,0.231607,0.314471,2,4,3,56.755104,0.0173144870451623
"ACSF2","Acsf2",2.962773,6.226708,2.39288,242,54,70,3.860787,3.790468,0.103387,0.401622,28,1,5,0,4.860787
"ACSF3","Acsf3",7.079854,7.732363,7.600715,636,166,267,7.47097733333333,15.936521,17.370704,11.494527,269,384,286,0,8.47097733333333
"ACSL1","Acsl1",31.518812,33.060954,24.203139,2001,474,766,29.5943016666667,66.084552,37.18949,48.558232,814,835,908,0.416907,21.5923145743981
"ACSL3","Acsl3",45.969302,57.728258,62.958441,2506,745,1153,55.5520003333333,73.488712,65.270923,63.439938,2253,3100,3088,13.892697,3.79729744943668
"ACSL4","Acsl4",53.619701,41.553782,41.232363,4215,1119,1724,45.4686153333333,54.339586,41.762906,53.930897,3694,4075,4130,6.48624233333333,6.20720159250344
"ACSL5","Acsl5",90.390459,93.88375,81.628422,2955,774,1189,88.6342103333333,0.142479,0.46299,0.406441,6,13,6,2.978719,22.5284093531947
"ACSL6","Acsl6",48.881353,50.106389,54.954088,5551,1364,2527,51.3139433333333,11.708049,13.623248,10.446289,765,1133,1069,28.4765216666667,1.77476650484484
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0,0,0,0,0,81.4108533333333,0.0121343240550516
"ACSM2B","Acsm2",0.043686,0.05714,0.026859,10,4,3,0.0425616666666667,0.796975,0.262418,0.897249,9,2,14,2.10627133333333,0.335631229467612
