Family name,Physiological ion,Official IUPHAR receptor name,Human gene symbol,Rat gene symbol,Mouse gene symbol,Comment
Transient Receptor Potential channels,See comments below,TRPC6,TRPC6,Trpc6,Trpc6,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPC7,TRPC7,Trpc7,Trpc7,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPM1,TRPM1,Trpm1,Trpm1,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPM2,TRPM2,Trpm2,Trpm2,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPM3,TRPM3,Trpm3,Trpm3,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPM4,TRPM4,Trpm4,Trpm4,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPM5,TRPM5,Trpm5,Trpm5,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPM6,TRPM6,Trpm6,Trpm6,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPM7,TRPM7,Trpm7,Trpm7,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPM8,TRPM8,Trpm8,Trpm8,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPML1,MCOLN1,Mcoln1,Mcoln1,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPML2,MCOLN2,Mcoln2,Mcoln2,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPML3,MCOLN3,Mcoln3,Mcoln3,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPP1,PKD2,Pkd2,Pkd2,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPP2,PKD2L1,Pkd2l1,Pkd2l1,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPP3,PKD2L2,Pkd2l2,Pkd2l2,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPV1,TRPV1,Trpv1,Trpv1,Transient Receptor Potential channels
Transient Receptor Potential channels,,TRPV2,TRPV2,Trpv2,Trpv2,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPV3,TRPV3,Trpv3,Trpv3,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPV4,TRPV4,Trpv4,Trpv4,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPV5,TRPV5,Trpv5,Trpv5,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPV6,TRPV6,Trpv6,Trpv6,Transient Receptor Potential channels
Two P domain potassium channels,K+,K2P1.1,KCNK1,Kcnk1,Kcnk1,Two P domain potassium channels
Two P domain potassium channels,K+,K2P2.1,KCNK2,Kcnk2,Kcnk2,Two P domain potassium channels
Two P domain potassium channels,K+,K2P3.1,KCNK3,Kcnk3,Kcnk3,Two P domain potassium channels
Two P domain potassium channels,K+,K2P4.1,KCNK4,Kcnk4,Kcnk4,Two P domain potassium channels
Two P domain potassium channels,K+,K2P5.1,KCNK5,Kcnk5,Kcnk5,Two P domain potassium channels
Two P domain potassium channels,K+,K2P6.1,KCNK6,Kcnk6,Kcnk6,Two P domain potassium channels
Two P domain potassium channels,K+,K2P7.1,KCNK7,Kcnk7,Kcnk7,Two P domain potassium channels
Two P domain potassium channels,K+,K2P9.1,KCNK9,Kcnk9,Kcnk9,Two P domain potassium channels
Two P domain potassium channels,K+,K2P10.1,KCNK10,Kcnk10,Kcnk10,Two P domain potassium channels
Two P domain potassium channels,K+,K2P12.1,KCNK12,Kcnk12,Kcnk12,Two P domain potassium channels
Two P domain potassium channels,K+,K2P13.1,KCNK13,Kcnk13,Kcnk13,Two P domain potassium channels
Two P domain potassium channels,K+,K2P15.1,KCNK15,Kcnk15,Kcnk15,Two P domain potassium channels
Two P domain potassium channels,K+,K2P16.1,KCNK16,Kcnk16,Kcnk16,Two P domain potassium channels
Two P domain potassium channels,K+,K2P17.1,KCNK17,,,Two P domain potassium channels
Two P domain potassium channels,K+,K2P18.1,KCNK18,Kcnk18,Kcnk18,Two P domain potassium channels
Voltage-gated calcium channels,Ca2+,Cav1.1,CACNA1S,Cacna1s,Cacna1s,Voltage-gated calcium channels
Voltage-gated calcium channels,Ca2+,Cav1.2,CACNA1C,Cacna1c,Cacna1c,Voltage-gated calcium channels
Voltage-gated calcium channels,Ca2+,Cav1.3,CACNA1D,Cacna1d,Cacna1d,Voltage-gated calcium channels
Voltage-gated calcium channels,Ca2+,Cav1.4,CACNA1F,Cacna1f,Cacna1f,Voltage-gated calcium channels
Voltage-gated calcium channels,Ca2+,Cav2.1,CACNA1A,Cacna1a,Cacna1a,Voltage-gated calcium channels
Voltage-gated calcium channels,Ca2+,Cav2.2,CACNA1B,Cacna1b,Cacna1b,Voltage-gated calcium channels
Voltage-gated calcium channels,Ca2+,Cav2.3,CACNA1E,Cacna1e,Cacna1e,Voltage-gated calcium channels
Voltage-gated calcium channels,Ca2+,Cav3.1,CACNA1G,Cacna1g,Cacna1g,Voltage-gated calcium channels
Voltage-gated calcium channels,Ca2+,Cav3.2,CACNA1H,Cacna1h,Cacna1h,Voltage-gated calcium channels
Voltage-gated calcium channels,Ca2+,Cav3.3,CACNA1I,Cacna1i,Cacna1i,Voltage-gated calcium channels
Voltage-gated potassium channels,K+,Kv1.1,KCNA1,Kcna1,Kcna1,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv1.2,KCNA2,Kcna2,Kcna2,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv1.3,KCNA3,Kcna3,Kcna3,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv1.4,KCNA4,Kcna4,Kcna4,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv1.5,KCNA5,Kcna5,Kcna5,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv1.6,KCNA6,Kcna6,Kcna6,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv1.7,KCNA7,Kcna7,Kcna7,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv1.8,KCNA10,Kcna10,Kcna10,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv2.1,KCNB1,Kcnb1,Kcnb1,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv2.2,KCNB2,Kcnb2,Kcnb2,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv3.1,KCNC1,Kcnc1,Kcnc1,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv3.2,KCNC2,Kcnc2,Kcnc2,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv3.3,KCNC3,Kcnc3,Kcnc3,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv3.4,KCNC4,Kcnc4,Kcnc4,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv4.1,KCND1,Kcnd1,Kcnd1,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv4.2,KCND2,Kcnd2,Kcnd2,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv4.3,KCND3,Kcnd3,Kcnd3,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv5.1,KCNF1,Kcnf1,Kcnf1,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv6.1,KCNG1,Kcng1,Kcng1,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv6.2,KCNG2,Kcng2,Kcng2,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv6.3,KCNG3,Kcng3,Kcng3,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv6.4,KCNG4,Kcng4,Kcng4,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv7.1,KCNQ1,Kcnq1,Kcnq1,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv7.2,KCNQ2,Kcnq2,Kcnq2,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv7.3,KCNQ3,Kcnq3,Kcnq3,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv7.4,KCNQ4,Kcnq4,Kcnq4,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv7.5,KCNQ5,Kcnq5,Kcnq5,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv8.1,KCNV1,Kcnv1,Kcnv1,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv8.2,KCNV2,Kcnv2,Kcnv2,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv9.1,KCNS1,Kcns1,Kcns1,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv9.2,KCNS2,Kcns2,Kcns2,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv9.3,KCNS3,Kcns3,Kcns3,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv10.1,KCNH1,Kcnh1,Kcnh1,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv10.2,KCNH5,Kcnh5,Kcnh5,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv11.1,KCNH2,Kcnh2,Kcnh2,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv11.2,KCNH6,Kcnh6,Kcnh6,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv11.3,KCNH7,Kcnh7,Kcnh7,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv12.1,KCNH8,Kcnh8,Kcnh8,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv12.2,KCNH3,Kcnh3,Kcnh3,Voltage-gated potassium channels
Voltage-gated potassium channels,K+,Kv12.3,KCNH4,Kcnh4,Kcnh4,Voltage-gated potassium channels
Voltage-gated proton channel,H+,Hv1,HVCN1,Hvcn1,Hvcn1,Voltage-gated proton channel
Voltage-gated sodium channels,Na+,Nav1.1,SCN1A,Scn1a,Scn1a,Voltage-gated sodium channels
Voltage-gated sodium channels,Na+,Nav1.2,SCN2A,Scn2a,Scn2a,Voltage-gated sodium channels
Voltage-gated sodium channels,Na+,Nav1.3,SCN3A,Scn3a,Scn3a,Voltage-gated sodium channels
Voltage-gated sodium channels,Na+,Nav1.4,SCN4A,Scn4a,Scn4a,Voltage-gated sodium channels
Voltage-gated sodium channels,Na+,Nav1.5,SCN5A,Scn5a,Scn5a,Voltage-gated sodium channels
Voltage-gated sodium channels,Na+,Nav1.6,SCN8A,Scn8a,Scn8a,Voltage-gated sodium channels
Voltage-gated sodium channels,Na+,Nav1.7,SCN9A,Scn9a,Scn9a,Voltage-gated sodium channels
Voltage-gated sodium channels,Na+,Nav1.8,SCN10A,Scn10a,Scn10a,Voltage-gated sodium channels
Voltage-gated sodium channels,Na+,Nav1.9,SCN11A,Scn11a,Scn11a,Voltage-gated sodium channels
