"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"ACKR4","Ackr4",0.132857,0.125531,0.088747,4,6,5,0.115711666666667,0.058436,0.043248,0,2,2,0,65.848697,0.0166901034236564
"ACLY","Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,258.665498,200.768091,176.389823,8902,9754,9291,0,41.1078963333333
"ACMSD","Acmsd",0.102752,0.079444,0,3,4,0,0.060732,0.069346,0.050982,0.281347,2,2,7,1.74516333333333,0.38640032347802
"ACO1","Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,12.481148,12.32891,11.425298,956,1358,1328,5.02109066666667,1.14446402622958
"ACO2","Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,69.325062,71.569862,65.685688,2171,3126,3037,5.951061,37.3916596809226
"ACOD1","Acod1",0,0.073883,0.014681,0,5,1,0.0295213333333333,0,0,0,0,0,0,0,1.02952133333333
"ACOT1","Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,2.514575,1.663513,2.042674,51,52,55,0.020844,1.6368625699258
"ACOT11","Acot11",21.802128,6.375834,9.361889,792,624,658,12.5132836666667,1.059936,0.383645,0.558014,60,46,67,0.260889666666667,10.7172610133215
"ACOT12","Acot12",0.04416,0.076111,0.025569,2,6,2,0.0486133333333333,0.137311,0.78691,0.64326,4,17,11,25.126856,0.0401354580640447
"ACOT13","Acot13",187.035261,203.440437,207.538666,394,833,891,199.338121333333,14.096614,5.754241,11.441671,306,262,371,0,200.338121333333
"ACOT2","Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,9.413227,10.383521,11.05022,97,146,165,0.319983333333333,2.17810351140797
"ACOT4","Acot4",0.670655,0.306245,0.31109,62,50,51,0.42933,0.689296,0.540441,0.531756,24,26,28,6.764273,0.184090641841161
"ACOT6","Acot6",1.922866,1.41504,1.514438,91,121,132,1.617448,0.172208,0.138878,0.065032,2,2,1,8.074458,0.288441249053111
"ACOT7","Acot7",174.61588,209.453191,230.233611,2449,5334,5637,204.767560666667,144.140782,166.680788,158.146086,2648,4286,4367,82.8537123333333,2.45388731090049
"ACOT8","Acot8",8.915559,7.038879,6.834587,102,183,184,7.59634166666667,21.302306,21.395702,21.651743,347,511,489,14.0888376666667,0.56971529925444
"ACOT9","Acot9",8.656998,10.402593,11.574608,207,422,487,10.2113996666667,15.355328,9.120068,8.944808,361,377,386,39.1634526666667,0.279144319581157
"ACOX1","Acox1",52.075992,36.160964,33.933861,2775,3505,3371,40.7236056666667,32.7541,26.088828,22.676301,735,866,739,23.4476393333333,1.7066517178932
"ACOX2","Acox2",0.425945,0.503412,0.569201,5,11,9,0.499519333333333,0.363302,0.170177,0,2,1,0,52.27467,0.028146947382937
"ACOX3","Acox3",14.587127,10.948877,12.068161,399,504,521,12.5347216666667,12.315552,13.017171,11.277513,264,352,310,17.552448,0.729538315734218
"ACOXL","Acoxl",0.094962,0.026312,0.051821,2,1,2,0.0576983333333333,0.066887,0.263478,0.058643,2,6,3,2.92647966666667,0.269375731730518
"ACP1","Acp1",42.16122,34.03718,37.936118,564,974,980,38.0448393333333,61.38661,54.776346,47.901782,891,1273,1150,28.7068843333333,1.31433639742294
"ACP2","Acp2",27.775885,13.88201,13.462821,1230,1605,1534,18.373572,93.073029,93.19527,67.827959,600,764,662,0.362774666666667,14.2162695520218
"ACP4","Acp4",0,0,0,0,0,0,0,0.222704,0.198325,0.140824,4,5,4,1.58335133333333,0.387094077021915
"ACP5","Acp5",0.266159,0.463497,0.182784,5,15,6,0.304146666666667,5.678997,0.947109,4.648666,17,15,26,0.0758826666666667,1.21216439958756
"ACP6","Acp6",6.776354,4.322587,4.022952,116,152,143,5.040631,7.807588,6.333138,5.476793,192,222,243,0.0954383333333333,5.51435057199325
"ACP7","Acp7",1.312528,1.068579,0.512198,10,21,22,0.964435,0.210181,0.206031,0.215597,10,13,14,68.932163,0.0280905797236673
"ACR","Acr",0.186909,0.423882,0.312842,2,7,5,0.307877666666667,0.12567,0.035491,0.308103,1,1,3,7.749376,0.149482393563457
"ACRBP","Acrbp",3.307852,1.573221,2.810081,32,37,54,2.563718,0.628518,0.288323,1.583194,6,4,18,2.33570766666667,1.06835441115294
"ACRV1","Acrv1",0.041311,0,0.023691,2,0,2,0.0216673333333333,0.438865,0.108582,0.152571,4,3,4,10.4715193333333,0.089061204854062
"ACSBG1","Acsbg1",75.991695,72.124837,77.401997,1978,4020,4197,75.172843,0.55242,0.59011,0.153687,22,36,23,32.135357,2.29883876005923
"ACSBG2","Acsbg2",0,0,0.028707,0,0,2,0.009569,0.197015,0.231607,0.314471,2,4,3,56.755104,0.0174801693716974
"ACSF2","Acsf2",10.926012,9.765954,9.224856,183,286,301,9.972274,3.790468,0.103387,0.401622,28,1,5,0,10.972274
"ACSF3","Acsf3",6.485458,6.055549,5.885676,203,348,340,6.14222766666667,15.936521,17.370704,11.494527,269,384,286,0,7.14222766666667
"ACSL1","Acsl1",42.346285,28.804089,28.573101,682,880,842,33.2411583333333,66.084552,37.18949,48.558232,814,835,908,0.416907,24.1661296989381
"ACSL3","Acsl3",155.549541,107.251119,90.126894,2978,3760,3462,117.642518,73.488712,65.270923,63.439938,2253,3100,3088,13.892697,7.96648974997611
"ACSL4","Acsl4",36.923525,27.741878,18.657545,1487,1298,1009,27.774316,54.339586,41.762906,53.930897,3694,4075,4130,6.48624233333333,3.84362604345295
"ACSL5","Acsl5",90.630157,64.187729,63.662764,978,1441,1317,72.8268833333333,0.142479,0.46299,0.406441,6,13,6,2.978719,18.5554404152023
"ACSL6","Acsl6",88.954339,98.112671,85.343388,3610,5149,4996,90.803466,11.708049,13.623248,10.446289,765,1133,1069,28.4765216666667,3.11446062185198
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0,0,0,0,0,81.4108533333333,0.0121343240550516
"ACSM2B","Acsm2",0.04055,0,0,4,0,0,0.0135166666666667,0.796975,0.262418,0.897249,9,2,14,2.10627133333333,0.326280790667138
"ACSM3","Acsm3",0.261954,2.557811,0.041191,2,4,3,0.953652,3.872745,2.186119,2.135456,48,24,27,3.83221,0.404297826460357
