"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"Atp11a","ATP11A",13793,19.163,13668,17.539,13952,20.4214,19.0411333333,"ATP11A",75.025307,81.354555,43.694377,2631,4424,655,66.691413,0.296066110088439
"Atp11b","ATP11B",2527,3.83879,2724,3.82201,2357,3.77218,3.81099333333,"ATP11B",53.192035,35.581482,40.603757,2148,2685,614,43.125758,0.109029137433288
"Atp11c","ATP11C",1559,0.655022,1644,0.637979,1352,0.598453,0.630484666667,"ATP11C",6.099688,5.024736,4.423418,646,901,132,5.182614,0.263720922358569
"Atp12a","ATP12A",1,0.00660942,2,0.0122092,0,0,0.00627287333333,"ATP12A",0.057349,0.015412,0.072721,5,2,2,0.048494,0.95973164685094
"Atp13a1","ATP13A1",804,7.52325,833,7.19928,787,7.75832,7.49361666667,"ATP13A1",16.553772,13.655337,16.438227,723,881,256,15.549112,0.513237004297874
"Atp13a2","ATP13A2",5687,43.1457,6056,42.436,5420,43.3209,42.9675333333,"ATP13A2",72.38193,72.816432,93.243481,3176,3985,1145,79.4806143333333,0.546312098851482
"Atp13a3","ATP13A3",2230,3.69968,2366,3.62551,1996,3.4887,3.60463,"ATP13A3",21.746432,21.332876,9.521796,1271,1499,233,17.5337013333333,0.248446325813962
"Atp13a4","ATP13A4",19,0.0197902,14,0.0134685,18,0.0197521,0.0176702666667,"ATP13A4",26.737074,13.199904,34.264467,594,669,189,24.733815,0.0395460318132659
"Atp13a5","ATP13A5",26,0.027474,27,0.0263516,15,0.0166987,0.0235081,"ATP13A5",2.629865,2.131149,2.250545,268,301,72,2.33718633333333,0.306697917876726
"Atp1a1","ATP1A1",64901,353.869,70273,353.895,62296,357.845,355.203,"ATP1A1",92.894977,93.393823,106.659153,7332,11023,2658,97.6493176666667,3.61080044368477
"Atp1a2","ATP1A2",6584,38.7728,6992,38.0307,5770,35.7979,37.5338,"ATP1A2",315.460861,297.334337,316.406738,39286,55090,12377,309.733978666667,0.124008967945332
"Atp1a3","AC010616.1",12244,68.3787,12615,65.0698,12998,76.4747,69.9744,"ATP1A3",522.003647,411.256667,561.902834,41200,49441,14029,498.387716,0.142122839080808
"Atp1a3","AC010616.1",12244,68.3787,12615,65.0698,12998,76.4747,69.9744,"",522.003647,411.256667,561.902834,41200,49441,14029,498.387716,0.142122839080808
"Atp1a3","ATP1A3",12244,68.3787,12615,65.0698,12998,76.4747,69.9744,"ATP1A3",522.003647,411.256667,561.902834,41200,49441,14029,498.387716,0.142122839080808
"Atp1a3","ATP1A3",12244,68.3787,12615,65.0698,12998,76.4747,69.9744,"",522.003647,411.256667,561.902834,41200,49441,14029,498.387716,0.142122839080808
"Atp1a4","ATP1A4",59,0.262373,98,0.40252,79,0.370116,0.345003,"ATP1A4",0.053608,0.390287,0.127028,4,5,3,0.190307666666667,1.12996247748831
"Atp1b1","ATP1B1",28359,207.162,29733,200.61,26571,204.49,204.087333333,"ATP1B1",1139.399731,972.251824,1108.476227,26647,35042,8326,1073.37592733333,0.190889732462677
"Atp1b2","ATP1B2",1525,38.1334,1444,33.3501,1314,34.6158,35.3664333333,"ATP1B2",487.058052,480.607109,515.073415,21353,31755,7797,494.246192,0.0734310206130772
"Atp1b3","ATP1B3",12005,58.616,12331,55.6092,11179,57.5044,57.2432,"ATP1B3",126.00152,90.857036,103.363259,2590,3567,954,106.740605,0.540587274407824
"Atp23","ATP23",244,1.15008,205,0.892457,227,1.12722,1.05658566667,"ATP23",4.657284,3.237529,6.529778,131,133,42,4.808197,0.354083318225949
"Atp2a1","ATP2A1",34,0.305902,67,0.556766,142,1.34597,0.736212666667,"ATP2A1",4.550358,2.817625,0,248,196,0,2.45599433333333,0.502377174036744
"Atp2a2","ATP2A2",11579,36.8929,12109,35.6349,11297,37.921,36.8162666667,"ATP2A2",132.01565,108.040822,104.847428,14326,18164,3765,114.967966666667,0.326092349065647
"Atp2a3","ATP2A3",120,0.584298,191,0.858977,127,0.65148,0.698251666667,"ATP2A3",1.795247,0.756955,4.155636,149,115,56,2.235946,0.524808407392151
"Atp2b1","ATP2B1",8856,12.3014,9082,11.6518,8577,12.5515,12.1682333333,"ATP2B1",45.03718,30.372751,26.887149,3003,3456,657,34.0990266666667,0.3751737465075
"Atp2b2","ATP2B2",4822,2.50489,5128,2.46039,4760,2.60503,2.52343666667,"ATP2B2",53.047407,43.772009,45.520201,9407,11783,2631,47.446539,0.0727283463256271
"Atp2b3","ATP2B3",1793,4.09732,1823,3.8477,1674,4.03013,3.99171666667,"ATP2B3",23.228814,16.816548,14.678957,2314,2504,464,18.2414396666667,0.259425321241295
"Atp2b4","ATP2B4",3971,6.06719,4178,5.89591,3175,5.11064,5.69124666667,"ATP2B4",16.376082,18.319926,11.831026,1925,1816,393,15.5090113333333,0.40530874511908
"Atp2c1","ATP2C1",5018,6.29207,5000,5.79066,4583,6.0542,6.04564333333,"ATP2C1",106.668999,83.128224,71.456364,2439,3472,627,87.084529,0.0799872964448729
"Atp2c2","ATP2C2",11,0.0295846,10,0.024841,11,0.0311681,0.0285312333333,"ATP2C2",0.114952,0.151153,0,2,9,0,0.0887016666666667,0.94473193605224
"Atp4a","ATP4A",2,0.0232942,3,0.0322726,3,0.0368114,0.0307927333333,"ATP4A",0.481261,0.057812,0,8,5,0,0.179691,0.873781976240643
"Atp4b","ATP4B",3,0.0438402,4,0.0539891,1,0.0153956,0.0377416333333,"ATP4B",0,0.025031,0,0,1,0,0.00834366666666667,1.02915470948889
"Atp5a1","ATP5F1A",16742,284.27,18122,284.2,15494,277.16,281.876666667,"ATP5F1A",468.119763,390.935564,556.723225,14118,17667,4978,471.926184,0.598141266517398
"Atp5b","ATP5F1B",22825,497.633,24413,491.602,21600,496.13,495.121666667,"ATP5F1B",1328.378657,1162.578222,1762.880322,19117,24291,6825,1417.94573366667,0.34964104327301
"Atp5c1","ATP5F1C",4038,25.5862,4104,24.0183,3571,23.8382,24.4809,"ATP5F1C",155.953982,147.722997,168.608185,3181,4348,1080,157.428388,0.160835443203525
"Atp5d","ATP5F1D",3392,73.253,3677,73.3429,3360,76.4456,74.3471666667,"ATP5F1D",113.750506,99.740831,157.238965,1785,2423,778,123.576767333333,0.60482518754955
"Atp5e","ATP5F1E",869,44.4551,1059,50.0371,883,47.5889,47.3603666667,"ATP5F1E",191.944943,196.433931,222.512729,799,1217,294,203.630534333333,0.236330158762735
"Atp5g3","ATP5MC3",4602,248.011,4886,243.205,4133,234.657,241.957666667,"ATP5MC3",303.814004,263.75347,353.664395,3332,4325,1221,307.077289666667,0.788625694967244
"Atp5h","ATP5PD",2737,99.3933,3056,102.502,2728,104.369,102.0881,"ATP5PD",464.244301,410.340172,515.635647,2466,3305,825,463.406706666667,0.221978060437428
"Atp5j","ATP5PF",2243,44.8626,2361,43.616,1988,41.8905,43.4563666667,"ATP5PF",1228.718841,1175.333984,1004.117786,2205,2749,717,1136.05687033333,0.039097751244111
"Atp5j2","ATP5MF",2007,37.239,2290,39.2447,1932,37.7661,38.0832666667,"ATP5MF",176.211253,175.394282,217.206944,1260,1911,487,189.604159666667,0.205049389976849
"Atp5k","ATP5ME",1039,133.828,1255,149.303,1041,141.262,141.464333333,"ATP5ME",320.891325,335.87223,310.224194,920,1443,280,322.329249666667,0.440616905151242
"Atp5l","ATP5MGL",1978,37.5035,2261,39.595,1874,37.4334,38.1773,"ATP5MG",381.750158,376.487735,372.455542,548,816,146,376.897811666667,0.103671677343708
"Atp5l","ATP5MGL",1978,37.5035,2261,39.595,1874,37.4334,38.1773,"ATP5MGL",381.750158,376.487735,372.455542,548,816,146,376.897811666667,0.103671677343708
"Atp5l","ATP5MG",1978,37.5035,2261,39.595,1874,37.4334,38.1773,"ATP5MG",381.750158,376.487735,372.455542,548,816,146,376.897811666667,0.103671677343708
"Atp5l","ATP5MG",1978,37.5035,2261,39.595,1874,37.4334,38.1773,"ATP5MGL",381.750158,376.487735,372.455542,548,816,146,376.897811666667,0.103671677343708
"Atp5md","ATP5MD",1390,30.0307,1658,33.0849,1417,32.2526,31.7894,"ATP5MK",290.484419,248.412334,262.031867,837,1073,234,266.976206666667,0.12235937066154
"Atp5mpl","ATP5MPL",1932,53.5184,2117,54.1642,1838,53.6396,53.7740666667,"ATP5MJ",335.472128,340.266164,349.394424,924,1414,302,341.710905333333,0.159825864348917
"Atp5o","AP000311.1",2658,63.7235,2889,63.9715,2520,63.6486,63.7812,"DONSON",279.01523,258.033566,356.808939,2232,3272,885,297.952578333333,0.216693899618316
"Atp5o","AP000311.1",2658,63.7235,2889,63.9715,2520,63.6486,63.7812,"",279.01523,258.033566,356.808939,2232,3272,885,297.952578333333,0.216693899618316
"Atp5o","AP000311.1",2658,63.7235,2889,63.9715,2520,63.6486,63.7812,"ATP5PO",279.01523,258.033566,356.808939,2232,3272,885,297.952578333333,0.216693899618316
"Atp5o","ATP5PO",2658,63.7235,2889,63.9715,2520,63.6486,63.7812,"DONSON",279.01523,258.033566,356.808939,2232,3272,885,297.952578333333,0.216693899618316
"Atp5o","ATP5PO",2658,63.7235,2889,63.9715,2520,63.6486,63.7812,"",279.01523,258.033566,356.808939,2232,3272,885,297.952578333333,0.216693899618316
"Atp5o","ATP5PO",2658,63.7235,2889,63.9715,2520,63.6486,63.7812,"ATP5PO",279.01523,258.033566,356.808939,2232,3272,885,297.952578333333,0.216693899618316
"Atp5pb","ATP5PB",5033,44.8895,5506,45.3575,4759,44.7175,44.9881666667,"ATP5PB",265.791772,226.92592,264.074485,3968,5173,1226,252.264059,0.181581890649158
"Atp6ap1","ATP6AP1",7027,143.037,7410,139.313,6445,138.211,140.187,"ATP6AP1",259.082248,244.645157,313.997658,4707,6254,1759,272.575021,0.516081473681035
"Atp6ap2","ATP6AP2",5946,31.5523,6206,30.4167,5417,30.2837,30.7509,"ATP6AP2",66.304896,57.488159,62.852072,2951,4005,868,62.2150423333333,0.502268112589046
"Atp6v0a1","ATP6V0A1",9971,28.5175,9866,26.0621,9108,27.4435,27.3410333333,"ATP6V0A1",160.20355,118.703352,94.545561,6667,8058,1971,124.484154333333,0.225853483125969
"Atp6v0a2","ATP6V0A2",2124,3.4383,2055,3.07253,1803,3.07488,3.19523666667,"ATP6V0A2",107.238272,84.284325,57.672566,1713,2264,522,83.0650543333333,0.0499046446819046
"Atp6v0a4","ATP6V0A4",83,0.169273,99,0.186483,76,0.163293,0.173016333333,"ATP6V0A4",0.05748,0.010213,0.153146,2,1,3,0.073613,1.0925876766889
"Atp6v0b","ATP6V0B",3463,178.686,3738,178.145,3371,183.249,180.026666667,"ATP6V0B",212.379336,172.916964,226.589606,2093,2580,743,203.961968666667,0.883220764538064
"Atp6v0c","ATP6V0C",9339,248.329,10013,245.916,8740,244.84,246.361666667,"ATP6V0C",665.527842,564.141943,844.702629,7842,10442,2904,691.457471333333,0.357222900910727
"Atp6v0d1","ATP6V0D1",5430,20.2675,5683,19.5918,4804,18.8907,19.5833333333,"ATP6V0D1",88.039526,72.627107,83.507103,2732,3417,861,81.3912453333333,0.24982427744629
"Atp6v0d2","ATP6V0D2",1,0.00339144,2,0.00626482,2,0.00714591,0.00560072333333,"ATP6V0D2",0,0,0,0,0,0,0,1.00560072333333
"Atp6v0e","ATP6V0E1",604,2.57424,700,2.75553,613,2.75244,2.69407,"ATP6V0E1",21.599543,21.034693,33.765486,380,542,163,25.466574,0.139574921937384
"Atp6v0e2","ATP6V0E2",6162,228.421,6611,226.348,5946,232.211,228.993333333,"ATP6V0E2",115.734697,99.984607,125.751724,4121,5207,1401,113.823676,2.00301315325421
"Atp6v1a","ATP6V1A",13081,37.3875,13583,35.8571,11848,35.6758,36.3068,"ATP6V1A",125.909498,102.300038,80.752209,8168,10179,2228,102.987248333333,0.358763219509495
"Atp6v1b1","ATP6V1B1",5,0.0489125,4,0.0361414,5,0.0515304,0.0455281,"ATP6V1B1",0.210814,0.100884,0,2,4,0,0.103899333333333,0.94712268449599
"Atp6v1b2","ATP6V1B2",15343,95.0041,15925,91.0765,14213,92.7175,92.9327,"ATP6V1B2",180.424687,144.539179,178.071758,10729,12610,3365,167.678541333333,0.55687403541376
"Atp6v1c1","ATP6V1C1",4171,21.2157,4294,20.1732,3711,19.8862,20.4250333333,"ATP6V1C1",112.505862,86.135284,104.243504,3312,3859,959,100.96155,0.210128556630416
"Atp6v1c2","ATP6V1C2",83,0.28859,71,0.228011,52,0.19048,0.235693666667,"ATP6V1C2",0.041337,0.074458,0.130477,1,3,1,0.0820906666666667,1.14195021242859
"Atp6v1d","ATP6V1D",2384,17.6924,2555,17.5132,2154,16.8411,17.3489,"ATP6V1D",89.789762,71.566602,94.921828,2452,2942,756,85.426064,0.212307481687469
"Atp6v1e1","ATP6V1E1",5829,31.7566,6215,31.2734,5333,30.6094,31.2131333333,"ATP6V1E1",435.06602,369.422732,389.069714,3801,4680,1329,397.852822,0.0807644613664035
"Atp6v1e2","ATP6V1E2",0,0,1,0.0378344,1,0.0431555,0.0269966333333,"ATP6V1E2",0,0.112418,0,0,3,0,0.0374726666666667,0.989902352447486
"Atp6v1f","ATP6V1F",1644,91.2929,1843,94.5269,1659,97.0567,94.2921666667,"ATP6V1F",98.5575,76.585415,122.08229,961,1224,354,99.0750683333333,0.952206860846677
"Atp6v1fnb","ATP6V1FNB",0,0,1,0.0706529,1,0.0805896,0.0504141666667,"ATP6V1FNB",0,0,0,0,0,0,0,1.0504141666667
"Atp6v1g1","ATP6V1G1",2792,72.4776,3069,73.5835,2504,68.4805,71.5138666667,"ATP6V1G1",44.954069,45.153509,47.561535,928,1413,308,45.8897043333333,1.54647737062293
"Atp6v1g2","ATP6V1G2",2112,64.1741,2256,63.314,1960,62.7431,63.4104,"ATP6V1G2",133.337693,110.400661,129.715105,3572,4246,1205,124.484486333333,0.513293729624091
"Atp6v1g3","ATP6V1G3",0,0,2,0.0182327,0,0,0.00607756666667,"ATP6V1G3",0,0.036758,0,0,2,0,0.0122526666666667,0.993899645608906
"Atp6v1h","ATP6V1H",4966,8.33155,5209,8.07176,4404,7.78413,8.06248,"ATP6V1H",72.49308,70.918457,81.075822,2638,3447,899,74.8291196666667,0.119511871426667
"Atp7a","ATP7A",592,0.94094,620,0.910179,542,0.907577,0.919565333333,"ATP7A",2.114051,2.316482,1.17776,158,272,39,1.869431,0.668970723928542
"Atp7b","ATP7B",21,0.0482722,31,0.0658165,25,0.0605427,0.0582104666667,"ATP7B",1.244548,1.002951,0.8594,183,222,40,1.035633,0.519843442637597
"Atp8a1","ATP8A1",12240,8.28522,12286,7.68118,10724,7.64757,7.87132333333,"ATP8A1",39.22503,31.977211,26.534056,5659,6955,1216,32.5787656666667,0.264194444232847
"Atp8a2","ATP8A2",14523,4.03498,14638,3.75631,13799,4.03903,3.94344,"ATP8A2",21.135189,16.872189,15.836781,4315,5521,1008,17.948053,0.260894351519916
"Atp8b1","ATP8B1",227,0.266305,234,0.253551,191,0.236065,0.251973666667,"ATP8B1",0.522507,0.529942,0.554903,75,82,23,0.535784,0.815201660303142
"Atp8b2","ATP8B2",3211,20.7415,3404,20.3088,2895,19.7012,20.2505,"ATP8B2",63.450828,53.323334,51.569307,1996,2360,568,56.1144896666667,0.372068456253795
"Atp8b3","ATP8B3",26,0.206511,23,0.16873,19,0.158989,0.178076666667,"ATP8B3",0.276389,0.253246,0.429499,27,37,12,0.319711333333333,0.892677540088565
"Atp8b4","ATP8B4",27,0.02332,45,0.0358981,24,0.0218383,0.0270188,"ATP8B4",0.033398,0.043629,0.05307,3,6,1,0.0433656666666667,0.98433256221772
"Atp9a","ATP9A",13345,19.1833,14388,19.103,12604,19.0879,19.1247333333,"ATP9A",74.404105,71.296375,71.490019,5575,8101,1708,72.396833,0.274190758793366
"Atp9b","ATP9B",2257,1.75223,2416,1.73242,2264,1.85174,1.77879666667,"ATP9B",42.385356,29.403309,41.617879,1268,1518,385,37.8021813333333,0.0716144446313087
"Atpaf1","ATPAF1",1828,7.49715,1969,7.45866,1700,7.34536,7.43372333333,"ATPAF1",47.049699,40.493274,50.725501,1877,2280,620,46.0894913333333,0.179099903068182
"Atpaf2","ATPAF2",570,4.96126,603,4.84763,479,4.39234,4.73374333333,"ATPAF2",16.802959,14.705043,15.075957,363,415,99,15.5279863333333,0.346911185530587
"Atpif1","ATP5IF1",2829,141.413,3213,148.341,2749,144.769,144.841,"ATP5IF1",194.948954,164.21444,222.707149,1164,1558,397,193.956847666667,0.748068107099044
"Atpsckmt","ATPSCKMT",592,4.74214,589,4.35776,505,4.26175,4.45388333333,"ATPSCKMT",4.858394,3.777077,4.120468,294,348,65,4.25197966666667,1.03844334507705
"Atr","ATR",1426,2.34993,1520,2.31352,1323,2.29688,2.32011,"ATR",5.420648,5.55247,5.118724,435,691,127,5.36394733333333,0.52170607739159
"Atraid","ATRAID",564,13.8685,601,13.6496,475,12.3052,13.2744333333,"ATRAID",84.984988,77.829382,98.286817,668,885,241,87.033729,0.162147321207988
"Atrip","ATRIP",551,5.28163,569,5.0376,487,4.91801,5.07908,"ATRIP",11.451951,7.639174,15.870867,392,446,121,11.6539973333333,0.48040787743699
"Atrn","ATRN",4102,5.14109,4277,4.95101,3858,5.09408,5.06206,"ATRN",20.601467,18.053592,16.496332,3879,5179,975,18.383797,0.312738520734612
"Atrnl1","ATRNL1",10325,3.06817,10340,2.83795,9523,2.98131,2.96247666667,"ATRNL1",9.752934,7.836993,7.806499,1403,1685,352,8.46547533333333,0.41862416066057
"Atrx","ATRX",2578,3.03613,2716,2.95435,2279,2.82765,2.93937666667,"ATRX",40.91788,34.171831,29.372135,2581,3045,444,34.8206153333333,0.109975125497193
"Atxn1","ATXN1",1028,0.384234,1104,0.381125,1064,0.418976,0.394778333333,"ATXN1",4.591726,2.374251,2.195726,633,717,163,3.053901,0.344058311570263
"Atxn10","ATXN10",6179,7.55337,6738,7.60762,5658,7.28668,7.48255666667,"ATXN10",101.482642,77.849907,109.827751,4022,4560,1365,96.3867666666667,0.0871017383265625
"Atxn1l","ATXN1L",1153,15.8522,1138,14.451,1001,14.4991,14.9341,"ATXN1L",15.684838,19.082709,14.205375,669,975,156,16.3243073333333,0.919753944178855
"Atxn2","ATXN2",2471,3.64713,2456,3.34813,2345,3.64641,3.54722333333,"ATXN2",245.128186,227.709301,241.769993,1845,2493,468,238.202493333333,0.0190099328395936
"Atxn2l","ATXN2L",2351,31.108,2227,27.2166,2178,30.3613,29.5619666667,"ATXN2L",36.452221,30.806048,30.544183,2334,2687,636,32.6008173333333,0.909560215857646
"Atxn3","ATXN3",1030,4.06306,1075,3.91669,900,3.74027,3.90667333333,"ATXN3L",6.135288,7.071693,5.665542,508,747,133,6.290841,0.672991405700659
"Atxn7","ATXN7",740,0.787415,750,0.737103,697,0.781355,0.768624333333,"ATXN7",8.572977,6.302978,4.959183,580,743,158,6.61171266666667,0.232355635424625
"Atxn7","ATXN7",740,0.787415,750,0.737103,697,0.781355,0.768624333333,"ATXN7",8.572977,6.302978,4.959183,580,743,158,6.61171266666667,0.232355635424625
"Atxn7l1","ATXN7L1",356,0.245038,391,0.248574,346,0.250902,0.248171333333,"ATXN7L1",9.015671,6.997973,11.457165,310,373,99,9.15693633333333,0.122888565249416
"Atxn7l2","ATXN7L2",142,2.52952,130,2.13889,149,2.79627,2.48822666667,"ATXN7L2",7.071601,5.040297,8.242213,242,270,66,6.78470366666667,0.44808727679722
"Atxn7l3","ATXN7L3",4489,95.0264,4754,92.9498,4215,94.0018,93.9926666667,"ATXN7L3",41.200335,34.123587,46.163357,3046,3810,1062,40.4957596666667,2.28921382400928
"Atxn7l3b","ATXN7L3B",3920,170.33,3988,160.05,3491,159.808,163.396,"ATXN7L3B",37.767958,34.775039,35.631378,2911,3990,861,36.058125,4.43616615789385
"AU015836","CHCHD4",3,0.068354,3,0.0631333,5,0.120021,0.0838361,"CHCHD4",0,0,0,0,0,0,0,1.0838361
"AU021092","C16orf89",21,0.3111,18,0.24629,13,0.202893,0.253427666667,"C16orf89",1.291564,1.310726,2.626498,34,52,22,1.74292933333333,0.456966809693116
"AU022252","C1orf50",1994,10.6196,2019,9.93148,1877,10.5315,10.36086,"C1orf50",6.423735,6.171294,3.307631,668,873,161,5.30088666666667,1.80305734748443
"AU040320","KIAA0319L",2621,3.49106,2785,3.42618,2521,3.53759,3.48494333333,"KIAA0319L",34.829833,31.694706,39.664725,1094,1535,355,35.3964213333333,0.123224843790411
"Auh","AUH",1408,2.31099,1568,2.37704,1382,2.38972,2.35925,"AUH",48.252211,49.937646,55.502774,915,1350,385,51.230877,0.0643154048514253
"Aunip","AUNIP",73,0.876345,54,0.598743,62,0.784129,0.753072333333,"AUNIP",0.247934,0.193994,0.392173,6,7,3,0.278033666666667,1.37169495534912
"Aup1","AUP1",950,44.8445,972,42.3786,903,44.9073,44.0434666667,"AUP1",52.699765,49.34082,66.59837,677,919,258,56.212985,0.787294469370895
"Aurka","AURKA",89,0.962889,74,0.739457,88,1.00303,0.901792,"AURKA",1.346649,0.662278,0.777879,36,37,9,0.928935333333333,0.985928334214072
"Aurkaip1","AURKAIP1",1029,85.9118,1212,93.462,972,85.4964,88.2900666667,"AURKAIP1",45.701422,40.419035,65.521085,646,834,267,50.5471806666667,1.73220078211649
"Aurkb","AURKB",6,0.154745,4,0.0952839,1,0.0271712,0.0924000333333,"AURKB",0.59915,0.522906,1.368714,4,6,4,0.830256666666667,0.596856196853975
"Aurkc","AURKC",1,0.019919,0,0,3,0.0629554,0.0276248,"AURKC",0.124277,0,0,1,0,0,0.0414256666666667,0.986748102040888
"Auts2","AUTS2",1467,0.205867,1541,0.199735,1446,0.213781,0.206461,"AUTS2",70.132601,30.074583,9.233931,629,759,178,36.4803716666667,0.0321891418454895
"Aven","AVEN",452,0.495406,479,0.484901,442,0.510375,0.496894,"AVEN",11.431708,17.030447,16.065079,232,563,96,14.8424113333333,0.094486500098028
"Avil","AVIL",20388,155.989,21465,151.686,18933,152.61,153.428333333,"AVIL",0.978264,0.076183,0.09655,10,7,2,0.383665666666667,111.608126914811
"Avl9","AVL9",2230,7.36198,2266,6.90947,1955,6.79956,7.02367,"AVL9",10.416518,8.635471,7.481488,1438,1838,330,8.84449233333333,0.815041520509082
"Avpi1","AVPI1",200,5.36406,217,5.37549,223,6.30104,5.68019666667,"AVPI1",5.252814,6.065141,12.293156,95,172,73,7.87037033333333,0.753091067862969
"Avpr1a","AVPR1A",46,1.44118,55,1.59154,70,2.31048,1.78106666667,"AVPR1A",0.460849,0.304651,0.340148,26,26,6,0.368549333333333,2.03212744979842
"Avpr2","AVPR2",11,0.501999,13,0.54796,14,0.673104,0.574354333333,"AVPR2",0.083945,0.033412,0,5,3,0,0.039119,1.51508569599151
"AW209491","C7orf25",483,8.38264,520,8.33551,427,7.80739,8.17518,"C7orf25",7.076697,5.181336,4.082578,237,269,55,5.44687033333333,1.42319909128
"AW549877","C5orf51",3469,39.2721,3590,37.5378,3090,36.8538,37.8879,"C5orf51",15.325221,13.314608,12.00265,1354,1926,395,13.547493,2.67316849714243
"AW554918","KIAA1328",542,0.281987,553,0.265736,443,0.242816,0.263513,"KIAA1328",2.668549,2.273632,2.11733,274,323,71,2.35317033333333,0.376811457336246
"Awat2","AWAT2",9,0.0344935,11,0.0389387,14,0.0565283,0.0433201666667,"AWAT2",0.123613,0.066927,0.097845,5,4,1,0.0961283333333333,0.95182300734254
"Axdnd1","AXDND1",1138,1.80877,1176,1.7264,931,1.55896,1.69804333333,"AXDND1",0.43965,0.339659,0.55276,12,15,5,0.444023,1.86842130168979
"Axin1","AXIN1",444,1.20637,518,1.29994,432,1.23659,1.24763333333,"AXIN1",31.219176,20.500626,43.737461,397,512,129,31.8190876666667,0.0684855519494788
"Axin2","AXIN2",243,1.23922,252,1.18697,201,1.0799,1.16869666667,"AXIN2",4.333693,3.947556,3.617504,217,302,58,3.966251,0.436686882453182
"Axl","AXL",795,3.92553,929,4.23684,709,3.68826,3.95021,"AXL",49.546844,38.780664,33.327971,1340,1744,415,40.5518263333333,0.119133391641775
"Azgp1","AZGP1",4,0.0712458,7,0.115158,4,0.0750591,0.0871543,"AZGP1",0,0,0,0,0,0,0,1.0871543
"Azi2","AZI2",3651,19.3429,3750,18.3499,3276,18.2851,18.6593,"AZI2",48.474399,29.850347,31.637431,1033,1198,296,36.654059,0.522103075262085
"Azin1","AZIN1",6537,31.8656,6445,29.0176,5793,29.7503,30.2111666667,"AZIN1",88.221328,77.771966,71.87099,2828,3978,783,79.2880946666667,0.388739660547182
"Azin2","AZIN2",3044,14.668,3245,14.4423,2881,14.6256,14.5786333333,"AZIN2",14.738221,9.882784,17.201931,418,468,171,13.9409786666667,1.04267823954906
"B230219D22Rik","C5orf24",3524,52.7086,3758,51.9155,3084,48.5963,51.0734666667,"C5orf24",14.567089,13.639238,12.143921,1346,1959,349,13.4500826666667,3.60367949913689
"B2m","B2M",2748,79.0134,2879,76.4576,2549,77.2143,77.5617666667,"B2M",89.511763,74.852198,115.397978,1117,1480,445,93.2539796666667,0.833511401264298
"B3galnt1","B3GALNT1",1114,6.97105,1117,6.45596,994,6.55304,6.66001666667,"B3GALNT1",13.614645,11.690173,11.420907,519,689,136,12.2419083333333,0.578467730922721
"B3galnt2","B3GALNT2",536,1.86383,463,1.48702,513,1.87933,1.74339333333,"B3GALNT2",12.346452,7.326729,9.798166,369,402,119,9.82378233333333,0.253459765620133
"B3galt1","B3GALT1",1705,0.475256,1812,0.466505,1655,0.48601,0.475923666667,"B3GALT1",13.624367,11.763273,11.160146,685,907,180,12.1825953333333,0.111960022237427
"B3galt2","B3GALT2",255,2.83695,303,3.1135,264,3.09428,3.01491,"B3GALT2",2.582772,1.907891,2.131195,445,535,113,2.207286,1.25180916201424
"B3galt4","B3GALT4",68,6.67988,67,6.07896,72,7.45137,6.73673666667,"B3GALT4",1.453502,0.95239,1.607915,46,46,16,1.33793566666667,3.30921709137563
"B3galt5","B3GALT5",713,1.3165,677,1.15456,676,1.31499,1.26201666667,"B3GALT5",45.731849,51.079243,40.569756,4070,6251,1246,45.793616,0.0483402835692373
"B3galt6","B3GALT6",144,7.0195,147,6.61845,146,7.49792,7.04529,"B3GALT6",2.022344,1.619039,2.202845,135,162,46,1.948076,2.72899681012294
"B3gat1","B3GAT1",124,0.655203,134,0.653964,102,0.567803,0.625656666667,"B3GAT1",27.881478,22.352813,23.219771,1908,2376,528,24.4846873333333,0.0637895472447363
"B3gat2","B3GAT2",1720,3.05425,1848,3.03091,1562,2.92214,3.00243333333,"B3GAT2",2.964062,2.006897,2.1581,354,371,82,2.376353,1.18543094674342
"B3gat3","B3GAT3",2144,48.4873,2325,48.5647,2055,48.962,48.6713333333,"B3GAT3",42.642644,36.946987,51.124711,1251,1632,477,43.5714473333333,1.11442047106585
"B3glct","B3GLCT",1300,2.39151,1371,2.32949,1146,2.22105,2.31401666667,"B3GLCT",3.657642,2.681492,2.294314,212,277,48,2.877816,0.854609054857167
"B3gnt2","B3GNT2",1798,2.75691,1932,2.73612,1638,2.64601,2.71301333333,"B3GNT2",8.302188,5.089231,6.257323,185,203,86,6.54958066666667,0.491817161411879
"B3gnt3","B3GNT3",58,0.815853,52,0.675588,51,0.755785,0.749075333333,"B3GNT3",0.226376,0.192755,0.287905,15,19,6,0.235678666666667,1.41547748659549
"B3gnt4","B3GNT4",299,32.6124,300,30.2223,237,27.2336,30.0227666667,"B3GNT4",0.070143,0.779482,0.883721,2,32,8,0.577782,19.6622642841026
