"Hs_symbol","Heart","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"A1BG",0,0,8.87899,8.87899,0.10122492279069
"A1CF",0,0,0,0,1
"A2LD1",3.99765,3.99765,21.24319,21.24319,0.22468225106201
"A2M",723.94074,723.94074,91.00966,91.00966,7.87896336102101
"A2ML1",0.46808,0.46808,3.36074,3.36074,0.336658457050868
"A2MP1",2.11268,2.11268,0.6846,0.6846,1.84772646325537
"A3GALT2P",0,0,0.93354,0.93354,0.517186093900307
"A4GALT",7.94469,7.94469,3.21552,3.21552,2.12184736402626
"A4GNT",0.10121,0.10121,0.14522,0.14522,0.961570702572432
"AAAS",40.00176,40.00176,41.49062,41.49062,0.964960266524706
"AACP",0,0,0,0,1
"AACS",7.10974,7.10974,19.77028,19.77028,0.3904492380459
"AACSP1",0,0,0,0,1
"AADAC",0.11386,0.11386,0,0,1.11386
"AADACL2",0,0,0,0,1
"AADACL3",0,0,0,0,1
"AADACL4",0.06325,0.06325,0,0,1.06325
"AADAT",4.46572,4.46572,9.04495,9.04495,0.544126152942523
"AAED1",18.7358,18.7358,4.06608,4.06608,3.8956747623409
"AAGAB",32.38599,32.38599,13.06954,13.06954,2.37292690450434
"AAK1",11.08208,11.08208,24.23052,24.23052,0.478867657107345
"AAMP",28.35039,28.35039,147.04274,147.04274,0.198256192772439
"AANAT",0.08856,0.08856,1.70112,1.70112,0.403003198673143
"AAR2",11.34775,11.34775,10.64234,10.64234,1.06059005320236
"AARD",0.11386,0.11386,3.92086,3.92086,0.226354742870149
"AARS",45.03677,45.03677,80.9067,80.9067,0.562063543031278
"AARS2",2.13798,2.13798,13.38072,13.38072,0.218207433285677
"AARSD1",28.29979,28.29979,16.24358,16.24358,1.6991709378215
"AASDH",8.52662,8.52662,2.40646,2.40646,2.79663345525854
"AASDHPPT",40.52044,40.52044,24.45872,24.45872,1.6308926764582
"AASS",43.22771,43.22771,13.17327,13.17327,3.12050147919288
"AATF",24.35275,24.35275,41.20018,41.20018,0.600773503809699
"AATK",0.83495,0.83495,483.11672,483.11672,0.00379030494959976
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",0.17711,0.17711,1.12025,1.12025,0.555175097276265
"ABAT",46.07413,46.07413,82.52483,82.52483,0.563594442514879
"ABC11-48400900C8.1",0,0,1.12025,1.12025,0.471642494988799
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",2.56811,2.56811,25.76567,25.76567,0.133309197939002
"ABCA1",15.72492,15.72492,2.48944,2.48944,4.79300976661011
"ABCA10",28.56546,28.56546,5.33154,5.33154,4.669552747041
"ABCA11P",9.27302,9.27302,6.26508,6.26508,1.41402709949512
"ABCA12",0,0,0.20745,0.20745,0.828191643546317
"ABCA13",0.0253,0.0253,0.37342,0.37342,0.746530558751147
"ABCA17P",1.08797,1.08797,10.01998,10.01998,0.189471305755546
"ABCA2",0.78435,0.78435,1729.4948,1729.4948,0.00103112127236672
"ABCA3",1.10062,1.10062,41.46987,41.46987,0.0494614181771689
"ABCA4",0.0506,0.0506,0.04149,0.04149,1.00874708350536
"ABCA5",33.05648,33.05648,15.64196,15.64196,2.04642241659035
"ABCA6",30.9185,30.9185,9.25241,9.25241,3.11326800235262
"ABCA7",1.44219,1.44219,20.53785,20.53785,0.1133906123406
"ABCA8",93.07177,93.07177,43.39918,43.39918,2.11877268904516
"ABCA9",44.49278,44.49278,3.17403,3.17403,10.899006475756
"ABCB1",11.91703,11.91703,22.50866,22.50866,0.549458369809253
"ABCB10",14.34598,14.34598,4.64695,4.64695,2.71756966149869
"ABCB10P1",0.0759,0.0759,0,0,1.0759
"ABCB10P3",0,0,0,0,1
"ABCB10P4",0.20241,0.20241,0,0,1.20241
"ABCB11",0.06325,0.06325,0.14522,0.14522,0.928424232898483
"ABCB4",7.66637,7.66637,2.38571,2.38571,2.55969058188681
"ABCB5",0,0,0.08298,0.08298,0.923378086391254
"ABCB6",17.10385,17.10385,42.36192,42.36192,0.417505728528626
"ABCB7",55.72667,55.72667,9.43911,9.43911,5.43405232821572
"ABCB8",6.61636,6.61636,23.23474,23.23474,0.314274467149225
"ABCB9",0.8223,0.8223,23.31773,23.31773,0.0749370932237507
"ABCC1",6.17358,6.17358,2.15751,2.15751,2.27191046109118
"ABCC10",5.79406,5.79406,32.79833,32.79833,0.201017624243565
"ABCC11",0.10121,0.10121,0.70534,0.70534,0.645742198036755
"ABCC12",0.24036,0.24036,0.85056,0.85056,0.670261974753588
"ABCC13",0,0,0,0,1
"ABCC2",0.22771,0.22771,0.47714,0.47714,0.831139905493048
"ABCC3",1.12592,1.12592,3.25701,3.25701,0.499392766284317
"ABCC4",2.60606,2.60606,2.67614,2.67614,0.980936525812401
"ABCC5",58.93997,58.93997,24.9566,24.9566,2.30923811284991
"ABCC6",0.55663,0.55663,0.18671,0.18671,1.31171895408314
"ABCC6P1",0.16446,0.16446,0.4564,0.4564,0.799546827794562
"ABCC6P2",0.15181,0.15181,0.58087,0.58087,0.728592483885455
"ABCC8",1.54339,1.54339,42.46564,42.46564,0.0585149557213468
"ABCC9",61.837,61.837,2.36497,2.36497,18.6738663346181
"ABCD1",0.64519,0.64519,4.41875,4.41875,0.303610611303345
"ABCD1P2",0,0,0,0,1
"ABCD1P3",0,0,0,0,1
"ABCD1P4",0,0,0,0,1
"ABCD1P5",0,0,0,0,1
"ABCD2",4.75669,4.75669,0.6846,0.6846,3.417244449721
"ABCD3",69.59193,69.59193,18.04842,18.04842,3.70592049104335
"ABCD4",31.47513,31.47513,110.40653,110.40653,0.291501135525898
"ABCE1",44.60664,44.60664,12.79985,12.79985,3.3048649079519
"ABCF1",71.80581,71.80581,50.45259,50.45259,1.4150076798855
"ABCF2",34.68843,34.68843,18.83674,18.83674,1.79910761546504
"ABCF3",31.91791,31.91791,38.0054,38.0054,0.843932122218975
"ABCG1",14.34598,14.34598,17.71649,17.71649,0.819917623443285
"ABCG2",2.97293,2.97293,17.34308,17.34308,0.216590125540531
"ABCG4",1.02471,1.02471,5.18633,5.18633,0.327287745723232
"ABCG5",0.06325,0.06325,0.10373,0.10373,0.96332436374838
"ABCG8",0,0,0.18671,0.18671,0.842665857707443
"ABHD1",11.14533,11.14533,7.0949,7.0949,1.50036813302203
"ABHD10",71.17327,71.17327,14.95737,14.95737,4.52288002346251
"ABHD11",9.04531,9.04531,16.18134,16.18134,0.584663943557371
"ABHD12",28.31244,28.31244,147.18796,147.18796,0.1978058136437
"ABHD12B",0.43013,0.43013,6.05763,6.05763,0.202636012372425
"ABHD13",8.53927,8.53927,1.72186,1.72186,3.5046879707259
"ABHD14A",3.30185,3.30185,73.3969,73.3969,0.0578229738067043
"ABHD14A-ACY1",0.29097,0.29097,0.78832,0.78832,0.721889818377024
"ABHD14B",13.7514,13.7514,11.78333,11.78333,1.15395597234836
"ABHD15",4.35187,4.35187,2.28198,2.28198,1.63068330702807
"ABHD16A",17.74904,17.74904,50.39035,50.39035,0.36483581061425
"ABHD16B",0.0506,0.0506,4.23204,4.23204,0.200801217116077
"ABHD2",18.11591,18.11591,9.37688,9.37688,1.84216354048616
"ABHD3",11.79052,11.79052,4.41875,4.41875,2.36041891580161
"ABHD4",10.93027,10.93027,21.57512,21.57512,0.528469837591118
"ABHD5",29.64077,29.64077,4.89589,4.89589,5.19697111038367
"ABHD6",6.11033,6.11033,33.79411,33.79411,0.204354415158198
"ABHD8",0.37952,0.37952,42.59012,42.59012,0.031647538478903
"ABI1",24.88408,24.88408,26.90666,26.90666,0.927523394057189
"ABI2",57.51043,57.51043,41.15869,41.15869,1.38786167217245
"ABI3",1.26508,1.26508,5.29005,5.29005,0.360105245586283
"ABI3BP",33.27154,33.27154,6.14061,6.14061,4.79952553073197
"ABL1",13.83995,13.83995,41.69807,41.69807,0.347555521830378
"ABL2",3.52957,3.52957,4.06608,4.06608,0.894097606038594
"ABLIM1",752.16463,752.16463,28.96045,28.96045,25.1386287589138
"ABLIM2",7.41336,7.41336,57.71345,57.71345,0.14329527561402
"ABLIM3",133.68077,133.68077,20.45487,20.45487,6.27739855799639
"ABO",0.17711,0.17711,1.24472,1.24472,0.52439056987063
"ABP1",0.0253,0.0253,0.31118,0.31118,0.781967388154182
"ABR",99.67548,99.67548,149.67739,149.67739,0.668152534364977
"ABRA",26.17446,26.17446,0.26969,0.26969,21.4024368152856
"ABRACL",12.22065,12.22065,10.60085,10.60085,1.13962769969442
"ABT1",6.18623,6.18623,5.91241,5.91241,1.03961281231871
"ABT1P1",0,0,0,0,1
"ABTB1",4.75669,4.75669,51.5106,51.5106,0.109629103457207
"ABTB2",9.24772,9.24772,17.65426,17.65426,0.549350121634415
"AC000041.8",0,0,0,0,1
"AC000059.1",0.17711,0.17711,0,0,1.17711
"AC000077.2",0,0,0,0,1
"AC000078.5",0,0,0.93354,0.93354,0.517186093900307
"AC000081.2",0,0,0,0,1
"AC000089.3",0,0,0.39416,0.39416,0.717277787341482
"AC000094.3",0,0,0,0,1
"AC000110.1",0,0,0,0,1
"AC000111.4",0,0,0,0,1
"AC000111.5",0,0,0,0,1
"AC000362.1",0,0,0,0,1
"AC000367.1",0,0,0,0,1
"AC000374.1",0.36687,0.36687,0,0,1.36687
"AC002055.4",16.2436,16.2436,14.21054,14.21054,1.13366126383416
"AC002056.3",0,0,0,0,1
"AC002069.5",0,0,0,0,1
"AC002069.6",0,0,0,0,1
"AC002075.3",0,0,0,0,1
"AC002075.4",0,0,0,0,1
"AC002076.9",0,0,0,0,1
"AC002127.2",0,0,0,0,1
"AC002128.4",0.15181,0.15181,0.43565,0.43565,0.802291644899523
"AC002310.10",0.15181,0.15181,0,0,1.15181
"AC002310.11",0,0,2.92509,2.92509,0.25477122817566
"AC002310.13",0,0,0,0,1
"AC002310.17",0.92351,0.92351,0,0,1.92351
"AC002314.4",0,0,0,0,1
"AC002365.1",0,0,0,0,1
"AC002366.3",0,0,0,0,1
"AC002398.9",0,0,3.73416,3.73416,0.211230714635754
"AC002400.1",0.55663,0.55663,0,0,1.55663
"AC002429.4",0,0,32.42492,32.42492,0.0299177978586037
"AC002472.13",0,0,1.05801,1.05801,0.485906288113275
"AC002486.2",0,0,0,0,1
"AC002486.3",0,0,0,0,1
"AC002511.4",0.0759,0.0759,0.06224,0.06224,1.01285961741226
"AC002519.6",0,0,0,0,1
"AC002523.1",0,0,0,0,1
"AC002542.2",0,0,0,0,1
"AC002543.2",0.0506,0.0506,0,0,1.0506
"AC002553.1",0,0,0,0,1
"AC002553.4",0,0,0,0,1
"AC002984.2",0.30362,0.30362,0,0,1.30362
"AC002994.1",0.17711,0.17711,1.07876,1.07876,0.566255844830572
"AC003009.2",0,0,0,0,1
"AC003029.1",3.39041,3.39041,7.65502,7.65502,0.507267458654053
"AC003045.1",0,0,0,0,1
"AC003079.1",0,0,2.6554,2.6554,0.27356787218909
"AC003080.4",0,0,0,0,1
"AC003087.4",0,0,0,0,1
"AC003101.1",0,0,0,0,1
"AC003102.1",0.03795,0.03795,0.43565,0.43565,0.722982621112388
"AC003682.1",0.48073,0.48073,0.02075,0.02075,1.45062943913789
"AC003958.6",0,0,0,0,1
"AC003989.3",0,0,0,0,1
"AC003989.4",0.24036,0.24036,0,0,1.24036
"AC004006.2",0,0,0,0,1
"AC004014.4",0,0,0,0,1
"AC004016.2",0,0,0,0,1
"AC004017.1",4.87055,4.87055,1.65962,1.65962,2.20728901121213
"AC004019.10",0,0,0.24894,0.24894,0.800678975771454
"AC004022.7",0,0,0,0,1
"AC004022.8",0,0,0,0,1
"AC004057.1",11.71462,11.71462,0,0,12.71462
"AC004062.2",0,0,0,0,1
"AC004066.2",0,0,0,0,1
"AC004069.1",0,0,0,0,1
"AC004074.3",0,0,0,0,1
"AC004074.4",0,0,0,0,1
"AC004112.5",0,0,0,0,1
"AC004112.7",0,0,0,0,1
"AC004129.7",0,0,0,0,1
"AC004129.9",0,0,0,0,1
"AC004148.1",5.95852,5.95852,12.57166,12.57166,0.51272430933283
"AC004152.5",0,0,18.85748,18.85748,0.050358857216525
"AC004159.1",0,0,0,0,1
"AC004161.4",0,0,0,0,1
"AC004166.6",0.75905,0.75905,4.83366,4.83366,0.301534542637041
"AC004166.7",13.30862,13.30862,19.33463,19.33463,0.703657750350019
"AC004258.1",0,0,28.85672,28.85672,0.0334932973213401
"AC004381.6",10.17123,10.17123,1.38994,1.38994,4.67427215746002
"AC004383.3",3.49161,3.49161,5.16558,5.16558,0.728497562273136
"AC004386.3",0,0,0,0,1
"AC004386.4",0,0,0,0,1
"AC004453.8",0,0,4.58471,4.58471,0.179060327214842
"AC004461.4",0,0,0,0,1
"AC004478.2",0,0,0,0,1
"AC004507.1",2.74522,2.74522,0.16596,0.16596,3.21213420700539
"AC004510.2",0,0,0,0,1
"AC004593.2",0.11386,0.11386,0,0,1.11386
"AC004659.1",0,0,0,0,1
"AC004692.5",0,0,0,0,1
"AC004706.1",0.36687,0.36687,8.02843,8.02843,0.151396200668333
"AC004771.1",0,0,1.22397,1.22397,0.449646353143253
"AC004790.4",0,0,0,0,1
"AC004790.5",0,0,0,0,1
"AC004797.1",1.39159,1.39159,0.51863,0.51863,1.57483389634078
"AC004832.1",0,0,0,0,1
"AC004837.3",0,0,0.62236,0.62236,0.61638600557213
"AC004854.5",0.46808,0.46808,0,0,1.46808
"AC004866.1",0,0,0,0,1
"AC004866.3",0,0,0,0,1
"AC004870.5",0.11386,0.11386,0,0,1.11386
"AC004876.1",0,0,0,0,1
"AC004878.3",0,0,0.76758,0.76758,0.565745256226026
"AC004878.5",0,0,0,0,1
"AC004878.6",0,0,0,0,1
"AC004889.1",0,0,0,0,1
"AC004893.10",0.20241,0.20241,0,0,1.20241
"AC004894.2",0,0,0,0,1
"AC004899.3",0,0,0.31118,0.31118,0.762671791821108
"AC004907.2",0,0,0,0,1
"AC004909.3",0,0,0,0,1
"AC004911.2",0,0,0,0,1
"AC004917.1",0,0,0.66385,0.66385,0.601015716560988
"AC004920.2",0,0,0,0,1
"AC004938.5",0,0,0,0,1
"AC004941.5",0,0,0,0,1
"AC004945.1",0,0,0,0,1
"AC004951.5",0,0,1.03727,1.03727,0.490852955180217
"AC004954.2",0,0,0,0,1
"AC004957.5",0,0,0,0,1
"AC004967.11",0.78435,0.78435,1.14099,1.14099,0.833422855781671
"AC004967.7",0.59459,0.59459,28.19287,28.19287,0.0546225842132
"AC004967.8",10.46219,10.46219,6.16136,6.16136,1.60056050805992
"AC004980.10",0.50603,0.50603,2.34422,2.34422,0.450338195453648
"AC004980.11",0.22771,0.22771,1.01652,1.01652,0.608826096443378
"AC004980.7",2.34039,2.34039,19.16866,19.16866,0.165622802903118
"AC004980.8",0,0,0,0,1
"AC004980.9",0.43013,0.43013,12.88284,12.88284,0.103014224755165
"AC004985.12",0,0,1.49366,1.49366,0.401016979058893
"AC004987.10",0,0,0,0,1
"AC004987.8",0,0,1.24472,1.24472,0.445489860650772
"AC004987.9",0,0,0,0,1
"AC004996.1",0,0,0,0,1
"AC005000.1",0.65784,0.65784,0,0,1.65784
"AC005003.1",0.96146,0.96146,5.45602,5.45602,0.303818761404085
"AC005007.3",0,0,0,0,1
"AC005008.2",0,0,0,0,1
"AC005008.3",0,0,0,0,1
"AC005013.1",0,0,0,0,1
"AC005014.5",0,0,0,0,1
"AC005017.2",0,0,0,0,1
"AC005019.2",0,0,0,0,1
"AC005033.6",0,0,0,0,1
"AC005034.2",0,0,0,0,1
"AC005034.3",0,0,0,0,1
"AC005035.1",69.64253,69.64253,195.54527,195.54527,0.359421165413953
"AC005037.1",0,0,0,0,1
"AC005037.4",0,0,0,0,1
"AC005037.6",0,0,0,0,1
"AC005040.3",0,0,0,0,1
"AC005041.11",0,0,0,0,1
"AC005042.2",0.51868,0.51868,0.39416,0.39416,1.08931543007976
"AC005042.3",0,0,0,0,1
"AC005046.5",0,0,0,0,1
"AC005071.2",1.26508,1.26508,15.80792,15.80792,0.134762659508137
"AC005077.12",0.03795,0.03795,4.12832,4.12832,0.202395716335954
"AC005077.14",0,0,2.26124,2.26124,0.306631833290405
"AC005077.5",0,0,2.46869,2.46869,0.288293274982774
"AC005077.7",0,0,2.21975,2.21975,0.310583119807438
"AC005077.8",0,0,1.3277,1.3277,0.429608626541221
"AC005077.9",0,0,0,0,1
"AC005082.1",0,0,0.41491,0.41491,0.706758733771053
"AC005086.1",0,0,0,0,1
"AC005086.2",0,0,12.77911,12.77911,0.0725736277597029
"AC005086.3",0,0,0,0,1
"AC005086.4",0,0,0,0,1
"AC005094.2",0,0,0,0,1
"AC005102.1",0,0,0,0,1
"AC005105.2",0,0,0,0,1
"AC005154.7",2.26449,2.26449,3.54745,3.54745,0.717872653904936
"AC005154.8",0.797,0.797,0,0,1.797
"AC005178.1",0,0,0,0,1
"AC005189.6",0,0,0,0,1
"AC005204.2",0,0,1.57664,1.57664,0.388102334823646
"AC005205.2",0,0,0,0,1
"AC005205.3",0,0,0,0,1
"AC005205.4",0,0,0,0,1
"AC005215.1",0,0,0,0,1
"AC005229.5",0,0,0,0,1
"AC005229.7",0,0,0,0,1
"AC005237.2",0,0,0,0,1
"AC005251.4",0,0,0,0,1
"AC005255.1",0.55663,0.55663,0,0,1.55663
"AC005262.4",0,0,1.53515,1.53515,0.394453977082224
"AC005280.1",0,0,0.02075,0.02075,0.979671809943669
"AC005300.5",0,0,0,0,1
"AC005324.8-001",0,0,0.14522,0.14522,0.873194670019734
"AC005326.2",0,0,0,0,1
"AC005329.1",0.51868,0.51868,30.80678,30.80678,0.0477470526724176
"AC005336.2",0,0,0,0,1
"AC005336.4",0.0759,0.0759,0.20745,0.20745,0.891051389291482
"AC005336.5",0,0,0.62236,0.62236,0.61638600557213
"AC005351.1",0,0,0,0,1
"AC005357.1",0,0,0,0,1
"AC005363.9",0.44278,0.44278,0,0,1.44278
"AC005392.1",0,0,0,0,1
"AC005392.8",0,0,0,0,1
"AC005481.5",0.0253,0.0253,0.06224,0.06224,0.96522443139027
"AC005488.11",0,0,0,0,1
"AC005488.12",0,0,0,0,1
"AC005488.13",0,0,0,0,1
"AC005493.1",0,0,0,0,1
"AC005510.1",0,0,0,0,1
"AC005517.3",2.59341,2.59341,3.21552,3.21552,0.852423900254298
"AC005522.6",0,0,0,0,1
"AC005534.6",0,0,0,0,1
"AC005537.2",0.0759,0.0759,0.56012,0.56012,0.689626438991872
"AC005539.2",0,0,0,0,1
"AC005544.1",0,0,0,0,1
"AC005550.6",0,0,0,0,1
"AC005559.3",0,0,6.72148,6.72148,0.129508850634852
"AC005562.2",0,0,0,0,1
"AC005588.2",0,0,0,0,1
"AC005594.1",0.11386,0.11386,1.26546,1.26546,0.491670565801206
"AC005609.1",0,0,0.33192,0.33192,0.75079584359421
"AC005609.2",0,0,0,0,1
"AC005618.1",1.27773,1.27773,1.63888,1.63888,0.863142696901716
"AC005682.6",0.18976,0.18976,0,0,1.18976
"AC005682.7",0.25302,0.25302,0,0,1.25302
"AC005722.4",0,0,0,0,1
"AC005730.2",0,0,0,0,1
"AC005740.3",0.24036,0.24036,0.72609,0.72609,0.718595206507192
"AC005740.4",0,0,0,0,1
"AC005741.2",0,0,0,0,1
"AC005754.1",0.0253,0.0253,0.2282,0.2282,0.834798892688487
"AC005758.1",0,0,0,0,1
"AC005777.3",0,0,0,0,1
"AC005779.1",0,0,0,0,1
"AC005779.2",0,0,0,0,1
"AC005786.3",0,0,26.9689,26.9689,0.0357539981908477
"AC005822.1",0.10121,0.10121,0,0,1.10121
"AC005831.1",0,0,0.14522,0.14522,0.873194670019734
"AC005838.1",0,0,0,0,1
"AC005838.2",0,0,0,0,1
"AC005841.1",0.10121,0.10121,0.31118,0.31118,0.839861803871322
"AC005884.1",0.27832,0.27832,8.85825,8.85825,0.12967007328887
"AC005943.2",22.822,22.822,22.32195,22.32195,1.02144117451585
"AC006001.1",0,0,0,0,1
"AC006011.4",0,0,0.43565,0.43565,0.696548601678682
"AC006014.10",0,0,0,0,1
"AC006014.7",0.27832,0.27832,0.37342,0.37342,0.930756796901166
"AC006014.8",0.30362,0.30362,1.14099,1.14099,0.608886543141257
"AC006022.4",0,0,0,0,1
"AC006023.8",0,0,0,0,1
"AC006024.4",0,0,0.33192,0.33192,0.75079584359421
"AC006026.10",0.0759,0.0759,0,0,1.0759
"AC006026.11",0.20241,0.20241,0,0,1.20241
"AC006026.12",0,0,0,0,1
"AC006026.9",0,0,0,0,1
"AC006028.11",0,0,0,0,1
"AC006030.1",0,0,0,0,1
"AC006033.22",0,0,0,0,1
"AC006035.1",0.41748,0.41748,0.66385,0.66385,0.851927757910869
"AC006035.2",0.51868,0.51868,0.85056,0.85056,0.82065969220128
"AC006042.8",0.06325,0.06325,0.16596,0.16596,0.911909499468249
"AC006045.3",0,0,0,0,1
"AC006052.1",0,0,0,0,1
"AC006070.11",0,0,0,0,1
"AC006070.12",0,0,0,0,1
"AC006070.13",0,0,0,0,1
"AC006111.1",0.39217,0.39217,2.6554,2.6554,0.380852984625486
"AC006116.13",0.40482,0.40482,0,0,1.40482
"AC006116.14",0,0,0,0,1
"AC006116.20",0.72109,0.72109,0,0,1.72109
"AC006116.22",0.29097,0.29097,0,0,1.29097
"AC006116.26",0,0,0.8713,0.8713,0.53438785870785
"AC006116.27",39.72344,39.72344,11.84557,11.84557,3.17023222791982
"AC006126.3",0.22771,0.22771,0,0,1.22771
"AC006130.4",0,0,0,0,1
"AC006132.1",0,0,35.76491,35.76491,0.0271998489864384
"AC006133.3",0,0,0,0,1
"AC006153.3",0,0,0,0,1
"AC006156.1",0,0,0,0,1
"AC006160.4",0,0,0,0,1
"AC006195.2",0,0,0,0,1
"AC006230.4",0,0,0,0,1
"AC006326.3",0,0,0,0,1
"AC006326.5",0,0,0,0,1
"AC006328.9",0,0,0,0,1
"AC006335.10",0,0,0,0,1
"AC006335.11",0,0,0,0,1
"AC006335.2",0,0,0,0,1
"AC006335.6",0,0,0,0,1
"AC006335.7",0,0,0,0,1
"AC006355.3",0,0,0,0,1
"AC006366.3",0,0,0,0,1
"AC006372.1",0,0,0,0,1
"AC006374.2",0,0,0,0,1
"AC006390.3",0,0,0,0,1
"AC006390.4",0,0,0,0,1
"AC006427.1",0,0,0,0,1
"AC006427.2",0,0,0,0,1
"AC006445.6",0,0,0,0,1
"AC006445.7",0,0,1.70112,1.70112,0.37021679895747
"AC006455.1",0,0,0,0,1
"AC006461.2",0,0,0,0,1
"AC006465.3",21.79729,21.79729,100.24133,100.24133,0.225177701636278
"AC006465.4",0,0,0,0,1
"AC006466.5",0,0,0,0,1
"AC006483.5",0,0,0,0,1
"AC006486.1",0.12651,0.12651,0.2282,0.2282,0.917204038430223
"AC006499.1",0,0,0,0,1
"AC006499.2",0,0,0,0,1
"AC006499.3",0,0,0,0,1
"AC006499.4",0,0,0,0,1
"AC006499.5",0,0,0,0,1
"AC006499.6",0,0,0,0,1
"AC006499.7",0,0,0,0,1
"AC006499.8",0,0,0,0,1
"AC006509.4",0,0,0,0,1
"AC006509.7",0,0,0,0,1
"AC006538.4",0,0,0,0,1
"AC006539.2",0,0,0,0,1
"AC006547.14",0,0,3.54745,3.54745,0.219903462380015
"AC006548.19",0,0,0,0,1
"AC006548.20",0,0,0,0,1
"AC006946.12",0,0,0,0,1
"AC006946.15",0.16446,0.16446,1.92931,1.92931,0.397520235140699
"AC006960.5",0,0,0,0,1
"AC006978.6",5.80671,5.80671,4.39801,4.39801,1.26096654137358
"AC006987.4",0,0,0,0,1
"AC006987.5",0,0,0,0,1
"AC006987.6",0,0,0,0,1
"AC006987.7",0,0,0,0,1
"AC006989.2",0,0,0,0,1
"AC006994.1",0,0,0,0,1
"AC006995.8",0,0,0,0,1
"AC007000.10",0.51868,0.51868,0,0,1.51868
"AC007000.11",0,0,161.70967,161.70967,0.00614591621997635
"AC007000.12",0.31627,0.31627,0.6431,0.6431,0.801089404175035
"AC007014.1",0,0,0,0,1
"AC007016.3",0,0,0,0,1
"AC007040.10",0,0,0,0,1
"AC007041.2",0,0,0,0,1
"AC007050.18",0.08856,0.08856,0.47714,0.47714,0.736937595623976
"AC007064.22",0,0,0,0,1
"AC007064.25",0,0,0,0,1
"AC007115.3",0,0,0,0,1
"AC007136.1",0,0,0,0,1
"AC007161.5",0,0,0,0,1
"AC007163.10",0,0,0,0,1
"AC007163.11",0,0,0,0,1
"AC007163.4",0,0,1.01652,1.01652,0.495903834328447
"AC007163.8",0.49338,0.49338,0.97503,0.97503,0.756130286628558
"AC007163.9",0,0,0,0,1
"AC007189.2",0,0,0,0,1
"AC007229.3",0,0,1.0995,1.0995,0.476303881876637
"AC007237.2",0,0,0,0,1
"AC007238.1",0.26567,0.26567,0,0,1.26567
"AC007241.3",0,0,0,0,1
"AC007242.3",0,0,0,0,1
"AC007248.6",0,0,0,0,1
"AC007248.7",0,0,0,0,1
"AC007253.1",0,0,0,0,1
"AC007256.5",0.29097,0.29097,0,0,1.29097
"AC007272.1",0,0,0,0,1
"AC007272.2",0.10121,0.10121,0.31118,0.31118,0.839861803871322
"AC007272.3",0.86025,0.86025,2.17826,2.17826,0.58530453770302
"AC007274.2",0,0,0,0,1
"AC007274.5",0,0,0,0,1
"AC007276.5",0.34157,0.34157,1.74261,1.74261,0.489158137686364
"AC007279.2",0,0,0.37342,0.37342,0.728109391154927
"AC007282.6",0.93616,0.93616,0,0,1.93616
"AC007283.4",4.42777,4.42777,0,0,5.42777
"AC007308.1",0.15181,0.15181,1.53515,1.53515,0.454336035343076
"AC007312.3",0,0,0,0,1
"AC007316.3",0,0,0,0,1
"AC007318.5",3.78258,3.78258,0.70534,0.70534,2.80447300831506
"AC007322.1",0,0,0,0,1
"AC007322.3",0,0,0,0,1
"AC007322.5",0,0,0,0,1
"AC007322.7",0,0,0,0,1
"AC007327.6",0,0,0,0,1
"AC007347.1",6.28744,6.28744,54.08302,54.08302,0.132299209447848
"AC007362.1",2.15063,2.15063,3.73416,3.73416,0.665509826452845
"AC007365.4",0,0,0,0,1
"AC007383.6",0,0,0,0,1
"AC007386.3",0,0,0,0,1
"AC007387.2",0,0,0,0,1
"AC007389.1",0,0,0,0,1
"AC007389.2",0,0,0,0,1
"AC007389.4",0,0,0,0,1
"AC007390.4",0,0,0,0,1
"AC007390.5",83.34332,83.34332,108.29051,108.29051,0.771735075625505
"AC007394.3",0,0,0,0,1
"AC007395.4",0,0,0,0,1
"AC007401.1",0,0,0,0,1
"AC007401.2",0,0,0,0,1
"AC007405.2",0.03795,0.03795,0.12447,0.12447,0.923057084671
"AC007405.7",1.92292,1.92292,5.22782,5.22782,0.469332768127531
"AC007431.1",0,0,0,0,1
"AC007551.2",0.24036,0.24036,0,0,1.24036
"AC007556.2",0,0,0,0,1
"AC007557.1",0,0,0,0,1
"AC007559.1",0,0,0,0,1
"AC007560.1",0,0,0,0,1
"AC007562.1",0,0,0,0,1
"AC007563.4",0.41748,0.41748,1.45217,1.45217,0.57805127703218
"AC007566.11",0,0,0.2282,0.2282,0.814199641752158
"AC007568.1",0,0,0.89205,0.89205,0.528527258793372
"AC007618.3",0,0,2.71764,2.71764,0.268987852508581
"AC007663.1",0,0,0,0,1
"AC007677.2",0,0,0,0,1
"AC007679.1",0,0,0,0,1
"AC007679.4",0,0,0,0,1
"AC007690.1",0.54398,0.54398,0.26969,0.26969,1.21602910946767
"AC007731.1",0.01265,0.01265,0.20745,0.20745,0.838668267837178
"AC007742.3",0,0,0,0,1
"AC007742.7",0,0,0,0,1
"AC007742.8",0,0,0,0,1
"AC007790.4",0,0,0,0,1
"AC007842.1",0.10121,0.10121,0.31118,0.31118,0.839861803871322
"AC007875.2",1.85966,1.85966,0,0,2.85966
