Mm_genes,Hs_genes
Rab8a,RAB8A
Hmgn2,HMGN2
Fam32a,FAM32A
Elf3,ELF3
Cyp2c29,CYP2C8
Stard3nl,STARD3NL
Stk11,STK11
Efna2,EFNA2
Atp5d,None
Ppp5c,PPP5C
Cdk12,CDK12
Lipe,LIPE
Pafah1b2,PAFAH1B2
Tbc1d8,TBC1D8
Cnot11,CNOT11
Slc2a3,SLC2A3
Foxj2,FOXJ2
Sri,SRI
Dgcr2,DGCR2
Irf3,IRF3
Bcl2l12,None
Zfp959,None
Mpnd,MPND
Sh3gl1,SH3GL1
Ebi3,EBI3
Yju2,YJU2
Ranbp2,RGPD8
Edar,EDAR
Grk5,GRK5
Dvl3,DVL3
Abcf3,ABCF3
Eif2b5,EIF2B5
Cyth2,CYTH2
Sult2b1,SULT2B1
Car11,None
Dlgap1,DLGAP1
Plag1,PLAG1
Hck,HCK
Mrpl4,MRPL4
Keap1,KEAP1
Ap1m2,AP1M2
Glg1,GLG1
Atp8b3,ATP8B3
Btbd2,None
Csnk1g2,CSNK1G2
Abhd17a,ABHD17A
Mob3a,MOB3A
Cacnb3,CACNB3
Ccdc65,CCDC65
Fkbp11,FKBP11
Ddx23,None
Pld3,PLD3
Grik5,GRIK5
Cd79a,CD79A
Rabac1,RABAC1
Etv3,ETV3
Prkcsh,PRKCSH
Elavl3,ELAVL3
Rab3b,RAB3B
St8sia6,ST8SIA6
Fcgrt,FCGRT
Nosip,NOSIP
Pih1d1,PIH1D1
Rps11,RPS11
Supt5,None
Dll3,DLL3
Paf1,PAF1
Timm50,TIMM50
Med29,MED29
Bicd1,BICD1
Ncstn,NCSTN
Pex19,PEX19
Phyhip,PHYHIP
Crhr2,CRHR2
Inmt,INMT
Cyp4f18,None
Impdh1,IMPDH1
Psg18,None
Dusp3,DUSP3
Prodh,PRODH
Ess2,ESS2
Slc25a1,SLC25A1
Dgcr6,DGCR6
Ddr1,DDR1
Ier3,IER3
Fosb,FOSB
Klc4,KLC4
Ercc1,ERCC1
Cyp17a1,CYP17A1
As3mt,AS3MT
Homer3,HOMER3
Crtc1,CRTC1
Rnf215,RNF215
Sec14l2,SEC14L2
Aven,AVEN
Cp,CP
Crot,CROT
Rps6ka1,RPS6KA1
Calb2,CALB2
Snrnp200,SNRNP200
Ciao1,CIAO1
Has1,HAS1
Taf6l,TAF6L
Insig2,INSIG2
Kpna6,KPNA6
Man1a,None
Itpkc,ITPKC
Coq8b,COQ8B
Brd8,BRD8
Kif20a,KIF20A
Farsa,FARSA
Gcdh,GCDH
Mast2,MAST2
Dnase2a,None
Rad23a,RAD23A
Calr,CALR
Syce2,SYCE2
Nfat5,NFAT5
Nob1,NOB1
Nqo1,NQO1
Ppfia3,PPFIA3
Gys1,GYS1
Ruvbl2,RUVBL2
Lin7b,LIN7B
Bax,BAX
Il7r,IL7R
Tfam,TFAM
Zfp81,None
Efnb3,EFNB3
Mmd,MMD
Hlf,HLF
Fam162a,FAM162A
Rpl8,RPL8
Grm3,GRM3
Ssbp2,SSBP2
Fancl,FANCL
Brinp2,BRINP2
Gstm5,GSTM3
Gstm7,GSTM2
Gstm3,None
Stat3,STAT3
Stat5a,STAT5A
Cavin1,CAVIN1
Map3k11,MAP3K11
Akt2,AKT2
Dnaja3,DNAJA3
Hmox2,HMOX2
Cdip1,CDIP1
Map3k20,MAP3K20
Cwc15,CWC15
Col5a3,None
Dnmt1,DNMT1
Ppan,PPAN
Angptl2,ANGPTL2
Cacna1e,CACNA1E
Cacna1b,CACNA1B
Trmt10a,TRMT10A
Etv1,ETV1
Kifc2,KIFC2
Psap,PSAP
Ikbkg,IKBKG
Pax2,PAX2
Wars2,WARS2
Atn1,ATN1
Phb2,PHB2
Ptpn6,PTPN6
Eno2,ENO2
Emg1,EMG1
Lpcat3,LPCAT3
Atp6v1f,ATP6V1F
Il12b,IL12B
Clcn5,CLCN5
Clcn3,CLCN3
Hif3a,HIF3A
Gpx6,GPX6
Gpx5,GPX5
Pde1c,PDE1C
Utp20,UTP20
Spic,SPIC
X9330159F19Rik,None
Cul3,CUL3
Sst,SST
Il11,IL11
Large1,LARGE1
Ddx56,DDX56
Tmed4,TMED4
Col26a1,COL26A1
Bid,BID
Ralb,RALB
Ppp1cc,PPP1CC
Dnajb11,DNAJB11
Tbccd1,TBCCD1
Clec11a,CLEC11A
Zfp324,None
Gab2,GAB2
Coro1c,CORO1C
Tax1bp1,TAX1BP1
Psg17,None
Psg19,None
Ctse,CTSE
Ndrg2,NDRG2
Mettl17,METTL17
Arhgef40,ARHGEF40
Pnpla6,PNPLA6
Mcoln1,MCOLN1
Arhgef18,ARHGEF18
Pkn2,PKN2
Cd33,CD33
Etfb,ETFB
Nkg7,NKG7
Stxbp2,STXBP2
Pcp2,PCP2
Sgce,SGCE
Chn2,CHN2
Wwox,WWOX
Slbp,SLBP
Tyr,TYR
Ghrhr,GHRHR
Aqp1,AQP1
Arid3b,ARID3B
Cnn2,CNN2
Polr2e,POLR2E
Abca13,ABCA13
Myo9b,MYO9B
Hdac9,HDAC9
Ly9,LY9
Cd244a,None
Adgre1,ADGRE1
Mtfp1,MTFP1
Rab23,RAB23
Rab11a,RAB11A
Eif2b2,EIF2B2
Dlst,DLST
Pgf,PGF
Ulk2,ULK2
Ccl24,CCL24
Dgkq,DGKQ
Tmed11,TMED11P
Grap,GRAPL
Pou1f1,POU1F1
Chmp2b,CHMP2B
Plod3,PLOD3
Ap1s1,AP1S1
Mapk13,MAPK13
Srpk1,SRPK1
Pax3,PAX3
Lbr,LBR
Crabp2,CRABP2
Nes,NES
Bcan,BCAN
Hapln2,HAPLN2
Prcc,None
Rrnad1,RRNAD1
Hdgf,HDGF
Slc25a18,SLC25A18
Thop1,THOP1
Apba3,APBA3
Matk,MATK
Pias4,PIAS4
Map2k1,MAP2K1
Sgta,SGTA
Nmrk2,NMRK2
Tmem242,TMEM242
Dtx2,DTX2
Zp3,ZP3
Hspb1,HSPB1
Rasa4,RASA4B
Syt5,SYT5
Hnrnpa2b1,HNRNPA2B1
Fxyd4,FXYD4
Ccdc130,CCDC130
Mri1,MRI1
Prkacb,PRKACB
Sgsh,None
Chd5,CHD5
Cstb,CSTB
Sh2b2,SH2B2
Pex5,PEX5
Jkamp,JKAMP
Cd44,CD44
Slc1a2,SLC1A2
Eif2ak4,EIF2AK4
Wdr1,WDR1
Slc2a9,SLC2A9
Ccn4,CCN4
Ndrg1,NDRG1
X4930550C14Rik,None
Man2b1,MAN2B1
Klf5,KLF5
Wdr83,WDR83
Prdx2,PRDX2
Polr2a,POLR2A
Shbg,SHBG
Senp3,SENP3
Corin,CORIN
Plekha8,PLEKHA8
G6pc2,G6PC2
Spc25,SPC25
Dnah2,DNAH2
Ripk4,RIPK4
Ufd1,UFD1
Zfp287,None
Prlr,PRLR
Letm1,LETM1
Ubqln1,UBQLN1
Fgfr4,FGFR4
Cadm3,CADM3
Fcer1a,FCER1A
Txn2,TXN2
Casp14,CASP14
Slc1a6,SLC1A6
Slc1a3,SLC1A3
Crbn,CRBN
Il5ra,IL5RA
Msh6,MSH6
Fbxo11,FBXO11
Mlxipl,MLXIPL
Tbl2,TBL2
Bud23,BUD23
Nid1,NID1
Mcm5,MCM5
Hmox1,HMOX1
Mprip,MPRIP
Cic,CIC
Pafah1b3,PAFAH1B3
Il27ra,IL27RA
Prkaca,PRKACA
Asf1b,ASF1B
Myl10,MYL10
Ddx39,None
Dnajb1,DNAJB1
Msh4,MSH4
Usp40,USP40
Evx1,EVX1
Kbtbd4,KBTBD4
Celf1,CELF1
Ndufs3,NDUFS3
Por,POR
Igf1r,IGF1R
Insr,INSR
Fcer2a,None
Cyp2a5,CYP2A13
Atp4a,ATP4A
Trim28,TRIM28
Ube2m,UBE2M
Adcy9,ADCY9
Mef2c,MEF2C
Ctr9,CTR9
Eif4g2,EIF4G2
Mrvi1,None
Pcyt1a,PCYT1A
Zfp592,None
Psmd4,PSMD4
Tmod4,TMOD4
Insrr,INSRR
Cabp5,CABP5
Snx6,SNX6
Mthfd2,MTHFD2
Kit,KIT
Tomm40l,TOMM40L
Nr1i3,NR1I3
Apoa2,APOA2
Pan2,PAN2
Cs,CS
Ampd3,AMPD3
Bcas2,BCAS2
Sh2d1a,SH2D1A
Ctcf,CTCF
Pard6a,PARD6A
Agrp,AGRP
Pvalb,PVALB
Tfap4,None
Ranbp1,RANBP1
Cd247,CD247
Rfx5,RFX5
Psmb4,PSMB4
Mmp8,MMP8
Slc30a4,SLC30A4
Sqor,SQOR
Bloc1s6,BLOC1S6
Metap1,METAP1
Gpr108,GPR108
Tnfsf14,TNFSF14
Gata6,GATA6
Rsl1d1,RSL1D1
Cnga2,CNGA2
Apc,APC
Reep5,REEP5
Ergic3,ERGIC3
Uqcc1,UQCC1
Spo11,SPO11
Ncoa2,NCOA2
Prl4a1,None
Trh,TRH
Nr2c2,NR2C2
Nr2c1,NR2C1
Smpd4,SMPD4
Pex1,PEX1
Otx1,OTX1
Kctd20,KCTD20
Itgae,ITGAE
Ctns,CTNS
P2rx5,None
Shpk,SHPK
Trpv1,TRPV1
Ephb3,EPHB3
Tuft1,TUFT1
Rcn1,RCN1
Dnase1,DNASE1
Trap1,TRAP1
Naa60,NAA60
X1700037C18Rik,None
Ankrd13d,ANKRD13D
Tyrp1,TYRP1
Tpr,TPR
Pdc,PDC
Odr4,ODR4
Prg4,PRG4
Dhx34,DHX34
Kptn,KPTN
Napa,NAPA
Sra1,SRA1
Calcoco2,CALCOCO2
Atp5g1,None
Snf8,SNF8
Tbcb,TBCB
Inpp5k,INPP5K
Crkl,CRKL
Upk3bl,None
Eps8l1,EPS8L1
Clint1,CLINT1
Prss16,PRSS16
Cdkal1,CDKAL1
Rhox6,None
Cdcp3,None
Htra1,HTRA1
Zbtb17,ZBTB17
Clcnkb,CLCNKB
Fam131c,None
Fblim1,FBLIM1
Hspb7,HSPB7
Epor,EPOR
Ccdc159,CCDC159
Mob1b,MOB1B
Atp6v1b1,None
Vax1,VAX1
Atp6v1b2,ATP6V1B2
Eps15l1,EPS15L1
Tep1,TEP1
Ttc5,TTC5
Osgep,OSGEP
Aamp,None
Tmbim1,TMBIM1
Arpc2,ARPC2
Kmt2b,KMT2B
Zbtb32,ZBTB32
Etv2,ETV2
Upk1a,UPK1A
Tmem147,TMEM147
Rps9,RPS9
Tfpt,TFPT
Susd2,SUSD2
Ggt5,GGT5
Ggt1,GGT1
Crip2,CRIP2
Crip1,CRIP1
Cbfa2t3,CBFA2T3
Fbln1,FBLN1
Pgrmc1,PGRMC1
Gcat,GCAT
Tek,TEK
Mpl,MPL
Elovl1,ELOVL1
Med8,MED8
Hyi,HYI
Cdc20,CDC20
Adamts4,ADAMTS4
Nectin4,NECTIN4
Pfdn2,PFDN2
Rnf114,RNF114
C330007P06Rik,None
Neurl1a,None
Srm,SRM
Epha2,EPHA2
Rbm14,RBM14
Actn3,ACTN3
Zdhhc24,ZDHHC24
Bbs1,BBS1
Slc34a3,SLC34A3
Ndor1,NDOR1
Nsmf,NSMF
Prl7a1,None
Prl8a9,None
Pdk1,PDK1
Ptbp1,PTBP1
Mvd,MVD
Cyba,CYBA
Itih3,ITIH3
Stimate,STIMATE-MUSTN1
Sfmbt1,SFMBT1
Itih1,ITIH1
Ihh,IHH
Prkag3,PRKAG3
Cryba2,CRYBA2
Atp7b,ATP7B
Defb2,None
Slc4a1,SLC4A1
Rundc3a,RUNDC3A
Slc4a3,SLC4A3
Cdt1,CDT1
Runx1t1,RUNX1T1
Snai3,SNAI3
Aprt,APRT
Gtf2h1,GTF2H1
Hfe,HFE
Abhd1,ABHD1
Slc5a6,SLC5A6
Tcf23,TCF23
Nphs1,NPHS1
Aplp1,APLP1
Qrich1,QRICH1
P4htm,P4HTM
Usp19,USP19
Pola1,POLA1
Cdc42,CDC42
Pknox1,PKNOX1
D130043K22Rik,None
Gmnn,GMNN
Acot13,ACOT13
Zfp184,ZNF184
Cyp27b1,CYP27B1
Cdk4,CDK4
B4galnt1,B4GALNT1
Mettl1,METTL1
Tspan31,TSPAN31
Kif5b,KIF5B
Saal1,SAAL1
Tph2,TPH2
Krt23,KRT23
Cnp,CNP
Ttc25,None
Sulf2,SULF2
Sod2,SOD2
Tmco6,TMCO6
Stambp,STAMBP
Ezh1,EZH1
Hap1,HAP1
P3h4,P3H4
Ctnnb1,CTNNB1
Eif1b,EIF1B
Klk4,KLK4
Chrd,CHRD
Psmd2,PSMD2
Syngr3,SYNGR3
Vars,None
Vwa7,VWA7
Hspa1l,HSPA1L
Slc44a4,SLC44A4
Msh5,MSH5
Abhd16a,ABHD16A
Neu1,NEU1
Ddah2,DDAH2
Clic1,CLIC1
Lsm2,LSM2
Pole,POLE
Atp1a2,ATP1A2
Atp1a4,ATP1A4
Casq1,CASQ1
Stx1a,STX1A
Ceacam9,None
Zfp775,None
Scube2,SCUBE2
Mrpl49,MRPL49
Dennd2c,DENND2C
Mark3,MARK3
Gatad1,GATAD1
Pcdha10,PCDHA12
M6pr,M6PR
Lrrc8a,LRRC8A
Mc5r,MC5R
Ppp2r1a,PPP2R1A
Fance,None
Tinf2,TINF2
Tssk4,TSSK4
Hapln4,HAPLN4
Dus3l,DUS3L
Gtpbp3,GTPBP3
Tgfbr1,TGFBR1
Homer1,HOMER1
Rad51c,RAD51C
Gabrb2,GABRB2
Cav1,CAV1
Arpp19,ARPP19
Bcl2l1,BCL2L1
Khsrp,KHSRP
Dio2,DIO2
Ccdc124,CCDC124
Cct4,CCT4
X0610009B22Rik,None
Cpt1c,CPT1C
Twist2,TWIST2
Zfp655,None
Rhoa,RHOA
Zmiz1,ZMIZ1
Ankrd26,ANKRD26
Aldh16a1,ALDH16A1
Hnrnpa0,HNRNPA0
Prrg2,PRRG2
Hnrnph1,HNRNPH1
Ift43,IFT43
Id3,ID3
Tcap,TCAP
Arid1a,ARID1A
Crlf1,CRLF1
Ctsd,CTSD
Rplp1,RPLP1
Cabs1,CABS1
Hmgcll1,HMGCLL1
Ttc9b,TTC9B
Phox2a,PHOX2A
Abhd8,ABHD8
Ift22,IFT22
Fzd3,FZD3
X1700008O03Rik,None
Mid1ip1,MID1IP1
Ap2s1,AP2S1
Fgfrl1,FGFRL1
X4930432K21Rik,None
Fhl2,FHL2
Emc10,EMC10
Clstn3,CLSTN3
Fbxw9,None
Spib,SPIB
Fnbp4,FNBP4
Cers4,CERS4
Scrn3,SCRN3
Phax,PHAX
Tle1,TLE1
X1700109H08Rik,None
Relt,RELT
Snrpb2,SNRPB2
Ubc,UBC
Prpf31,PRPF31
Sertad1,SERTAD1
Carhsp1,CARHSP1
Elk3,ELK3
Herpud2,HERPUD2
Rdh13,RDH13
Adam21,ADAM21
Nutf2,NUTF2
Fut1,FUT1
Arpc5,ARPC5
Rnf151,RNF151
Elavl2,ELAVL2
Pou2f2,POU2F2
Mgst1,MGST1
Nfib,NFIB
Htr3b,HTR3B
Rab25,RAB25
Ubqln4,UBQLN4
Rbfox1,RBFOX1
Rps18,RPS18
Rpl10,RPL10
Rps15a,RPS15A
Ncaph2,NCAPH2
Hipk1,HIPK1
Gprc5b,GPRC5B
Man1a2,MAN1A2
Ceacam5,None
Tppp2,TPPP2
Acyp1,ACYP1
Cldn13,None
Cd163,CD163
Hdac5,HDAC5
Rala,RALA
Clec3a,CLEC3A
Vdac3,VDAC3
Slc1a7,SLC1A7
Vps72,VPS72
Gabpa,GABPA
Bmp7,BMP7
Dynll1,DYNLL1
Pdcl,PDCL
Tmem184b,TMEM184B
Gm5965,None
Rsph14,RSPH14
Nf2,NF2
Cabp7,CABP7
Zmat5,ZMAT5
Ewsr1,EWSR1
Ap1b1,AP1B1
Derl3,DERL3
Gstt4,GSTT4
Tbx1,TBX1
Gnat2,GNAT2
Bcl2l13,BCL2L13
X2610028H24Rik,None
Spatc1l,SPATC1L
Dqx1,DQX1
Ccl8,None
Lnpk,LNPK
Prr29,PRR29
Mymk,MYMK
Fam163b,FAM163B
Trpm5,TRPM5
Ascl2,ASCL2
Rarres2,RARRES2
Pttg1ip,PTTG1IP
Trpm2,TRPM2
Ube2g2,UBE2G2
Mpo,MPO
Lpo,None
