"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"AASS","Aass",0.008662,0,0.177648,1,0,3,0.0621033333333333,10.663442,6.340196,5.078783,777,556,484,8.239964,0.114946696040519
"AATF","Aatf",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,18.011852,16.629179,17.421425,333,266,229,87.4279296666667,0.0330922444718249
"AATK","Aatk",0.725985,0.457374,0.57906,57,59,43,0.587473,0.807211,1.215351,1.261386,81,68,60,7.41496433333333,0.188648809087842
"ABAT","Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,3.072307,1.855792,1.672802,274,169,145,0.722117333333333,1.82826818613985
"ABCA1","Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,1.876267,0.885241,0.804978,396,171,159,25.6683846666667,0.102101022141649
"ABCA13","Abca13",0,0,0,0,0,0,0,0.174113,0.034944,0.058673,5,3,5,0.328574333333333,0.752686526384297
"ABCA17P","Abca17",0,0,0,0,0,0,0,0.02167,0.266152,1.014407,2,4,5,0.812543,0.551711049062008
"ABCA2","Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,24.315816,17.365586,16.698512,805,444,402,52.444161,0.153610388482538
"ABCA3","Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,2.864033,2.329955,1.427765,295,201,155,1.15103666666667,1.06720650972942
"ABCA4","Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,0.012157,0.012809,0,1,1,0,31.344221,0.0520393426695916
"ABCA5","Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,4.156998,3.19961,2.228167,168,152,100,13.4566326666667,0.108553564041124
"ABCA6","Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,0.307074,0.113031,0.186072,11,7,9,214.166965,0.0110501380482207
"ABCA7","Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,11.353326,7.85688,8.990523,435,267,221,0.009045,1.59738399509767
"ABCA8","Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,3.234198,1.719767,1.436738,96,64,65,61.5321443333333,0.0370019615458253
"ABCA9","Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,0.287344,0.110486,0.190728,11,7,5,23.8153686666667,0.110979021521958
"ABCB1","Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,0.03239,0.180298,0.191402,3,5,3,1.137784,8.24899225865039
"ABCB10","Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,4.005154,2.663769,2.895076,137,128,111,1.70077,1.93031579882774
"ABCB11","Abcb11",0,0,0,0,0,0,0,0.266721,0.007328,0.0069,3,1,1,5.94528533333333,0.143982565439116
"ABCB4","Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,11.373936,10.12465,10.942716,248,158,162,13.3101653333333,0.291377951934215
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.238192,0,0.073851,1,0,5,20.783434,0.0459064443191097
"ABCB6","Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,8.326215,7.061364,8.704006,123,101,86,134.693941333333,0.0414639269180439
"ABCB7","Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,13.831658,11.114692,9.446497,350,248,280,0.630597333333333,2.89041030362697
"ABCB8","Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,11.02178,6.985446,5.674411,471,342,268,0.0341556666666667,16.7426783266349
"ABCB9","Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,4.324097,2.790693,3.029996,187,127,124,0.289378,1.70796435697419
"ABCC1","Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,4.111846,2.414281,2.166516,483,341,276,0.104014333333333,5.28873447597148
"ABCC10","Abcc10",0.487548,0.662952,0.381423,47,52,34,0.510641,14.897475,9.350053,15.513101,250,167,160,0,1.510641
"ABCC12","Abcc12",0,0,0,0,0,0,0,0.174113,0,0.046512,1,0,1,13.957216,0.0668573616908387
"ABCC2","Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,0.206724,0.320286,0.182112,3,4,1,0.0342316666666667,0.974202749545153
"ABCC3","Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,0.348225,0.325404,0.504307,2,3,3,0,1.25324633333333
"ABCC5","Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,26.815209,20.139758,16.661965,1688,1220,1081,12.58667,0.82677842817016
"ABCC6","Abcc6",0,0,0,0,0,0,0,2.370812,3.482122,1.641663,98,80,51,8.88939033333333,0.101118468003976
"ABCC9","Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,5.937915,4.245439,2.802442,581,434,370,0,23.1163466666667
"ABCD1","Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,9.855316,6.357848,6.647314,690,437,443,14.570826,0.237423435339911
"ABCD2","Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,0.210704,0.12733,0.165506,19,13,17,1.20856033333333,1.00254087089312
"ABCD3","Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,10.323186,7.852999,5.423063,539,489,336,0,16.0995833333333
"ABCD4","Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,36.841234,32.142947,25.91358,577,476,396,0.035787,1.95821824371227
"ABCE1","Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,25.279482,10.850918,4.462396,450,444,265,18.7739536666667,0.381450710051055
"ABCF1","Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,30.647549,12.146954,19.277681,895,681,599,8.455803,1.7082235815051
"ABCF2","Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,6.164294,6.22041,10.611419,480,500,342,1.52677933333333,3.35002885095625
"ABCF3","Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,42.225453,35.384299,25.704264,787,609,496,90.6919753333333,0.601220940723108
"ABCG1","Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,4.885127,3.443918,3.219942,306,199,192,16.9057156666667,0.0871435335164021
"ABCG2","Abcg2",10.269557,11.087051,8.296503,328,289,209,9.88437033333333,0.576877,0.198017,0.199392,10,14,4,7.015284,1.35795192451488
"ABCG5","Abcg5",0,0,0,0,0,0,0,0,0.01593,0,0,1,0,10.5729776666667,0.0864081854128409
"ABCG8","Abcg8",0,0,0,0,0,0,0,0.035989,0.06211,0.039485,4,5,3,7.553478,0.116911506640924
"ABHD1","Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,0.548215,0.837679,0.573511,17,19,15,12.967623,0.115703246954284
"ABHD10","Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,4.682414,3.63352,2.996599,164,141,99,6.34839,0.701116435028625
"ABHD11","Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,16.413349,19.071503,13.597818,302,309,281,0,10.7440463333333
"ABHD12","Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,31.484105,29.04836,22.06709,638,567,468,0.107916333333333,14.1340823269146
"ABHD13","Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,1.172633,1.326137,0.716184,82,109,59,8.10472266666667,0.292210291743098
"ABHD14A","Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,8.546513,7.684425,5.406513,139,127,86,2.20865933333333,1.21733625404089
"ABHD14B","Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,8.124944,8.387924,5.480449,292,279,180,11.920216,0.254576626273121
"ABHD15","Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,1.644095,1.578787,1.43262,123,111,101,57.0980066666667,0.0204710637806162
"ABHD16A","Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,19.452254,20.109003,15.952975,486,433,358,0.04322,13.825485196475
"ABHD16B","Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,0,0,0,0,0,0,8.18705733333333,0.110392584176029
"ABHD17A","Abhd17a",5.672737,6.770556,6.724789,179,222,144,6.38936066666667,21.413135,20.573032,17.57639,715,597,525,4.32983033333333,1.38641574018835
"ABHD17B","Abhd17b",1.521296,1.357875,1.700168,97,77,81,1.52644633333333,2.046774,1.634046,1.489593,103,84,78,3.44931766666667,0.567827815995456
"ABHD17C","Abhd17c",4.881013,3.750363,3.185882,225,242,149,3.939086,1.848624,2.204347,1.707873,50,65,54,1.76255833333333,1.7878666815482
"ABHD18","Abhd18",9.310011,9.508344,9.476552,916,811,624,9.43163566666667,8.712244,6.827573,4.421348,367,326,288,0.113742,9.3662945876753
"ABHD2","Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,3.332886,2.82704,2.375777,614,430,406,38.1171863333333,0.0633761073425535
"ABHD3","Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,2.331696,3.741765,1.156728,72,76,34,32.086452,0.053014579300716
"ABHD4","Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,15.0237,23.747182,16.357654,409,343,303,4.40507566666667,1.63968231835422
"ABHD5","Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,7.210165,4.691474,4.783658,177,215,128,10.395547,1.70960446216404
"ABHD6","Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,2.357982,2.891814,1.502824,64,48,45,0.079272,2.06985356796062
"ABHD8","Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,4.748047,3.701303,3.322699,184,148,137,0.0717826666666667,2.74302594929071
"ABI1","Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,10.258949,6.855637,7.216852,359,321,284,27.1435236666667,0.272656950288776
"ABI2","Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,21.727203,10.892244,9.493522,933,760,670,22.248018,0.149322535796385
"ABI3","Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,0.029558,0.160231,0.222847,1,5,7,0.849044666666667,1.38418073188785
"ABITRAM","Abitram",0.446832,0.177343,0.347871,40,22,34,0.324015333333333,13.449005,10.517363,5.073883,184,198,136,15.4211246666667,0.0806287851903932
"ABL1","Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,7.760499,5.097737,3.86969,787,524,458,6.07615,0.824059457944409
"ABL2","Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,1.446018,0.98648,1.194757,315,194,136,0,2.15689733333333
"ABLIM1","Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,59.262507,38.678189,34.133185,7498,5439,4652,1.242575,15.3824078719032
"ABLIM2","Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,6.864886,5.835002,6.004859,163,143,105,0.375775,3.98710157305276
"ABLIM3","Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,1.439051,0.939932,0.795889,79,55,65,0,5.078168
"ABO","Abo",0,0,0,0,0,0,0,0.108377,0.428422,0.100191,15,12,11,32.133593,0.0301808499911253
"ABR","Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,137.5781,52.298863,84.704982,1454,973,842,58.4552836666667,0.0677051180609679
"ABRA","Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,1.22541,0.904378,0.700678,55,43,33,0.143714666666667,4.27150915263247
"ABRACL","Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,1.304502,3.067132,2.188819,11,29,19,2.930831,9.19463568899299
"ABRAXAS1","Abraxas1",2.62357,2.493772,2.986119,96,98,87,2.70115366666667,1.870927,1.13124,1.242214,62,58,36,0.970076,1.87868572921383
"ABRAXAS2","Abraxas2",4.709873,4.263116,4.741499,222,212,183,4.571496,2.908321,2.115077,1.946772,158,120,108,19.409946,0.272979458152413
"ABT1","Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,3.32542,2.791458,2.174212,199,168,128,1.20228266666667,0.674085887854541
"ABTB1","Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,4.435767,2.908722,2.928956,118,103,97,117.910354,0.0619528865137065
"ABTB2","Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,6.950399,6.045716,4.152189,790,633,438,0.0212173333333333,2.84101229513013
"ACAA1","Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,73.219918,69.137641,52.278734,1732,1479,1295,0.441026,0.707162813162289
"ACAA2","Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,33.764452,29.686524,22.134757,1017,904,664,19.4534313333333,12.5383408690969
"ACACA","Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,7.1497,4.870629,6.747958,693,417,430,0.974021333333333,0.993391830956234
"ACACB","Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,26.02878,14.841445,7.767875,1315,753,655,1.045542,8.13673898327843
"ACAD10","Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,20.02537,13.653281,10.050915,659,558,399,14.3326123333333,0.12462631666789
"ACAD11","Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,6.08628,6.516346,6.250521,364,279,315,9.801573,2.257833126095
"ACAD8","Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,17.886304,13.41606,11.385466,633,534,433,0.348885333333333,8.51375283691028
"ACAD9","Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,9.950716,8.300763,6.289277,369,346,279,0.00452933333333333,16.1018231423804
"ACADL","Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,0.430319,0.363646,0.199827,20,21,12,19.283423,10.3592479270716
"ACADM","Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,55.824798,42.128201,34.763102,1043,919,796,0.271208333333333,575.620352813924
"ACADS","Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,15.466497,14.289382,12.849752,587,501,461,11.872711,3.7467031873343
"ACADSB","Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,6.230585,3.533107,3.515221,558,395,389,0.199794666666667,118.754830826608
"ACADVL","Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,539.418883,513.721339,438.661315,4271,3691,3049,17.5133453333333,7.73089633935419
"ACAN","Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,0,0.022851,0,0,2,0,3.04950066666667,0.251144297461531
"ACAP1","Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,14.853065,11.82895,6.245988,42,44,28,0.534163333333333,0.754959597956758
"ACAP2","Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,2.720509,0.953916,0.841565,159,108,106,26.4081756666667,0.144811669150739
"ACAT1","Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,106.632562,103.500411,97.170077,946,923,785,5.969076,14.4304560126287
"ACAT2","Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,7.765272,8.394048,3.664681,210,229,100,22.2122423333333,0.0778186487713588
"ACBD3","Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,26.857783,13.437707,11.62415,382,312,276,94.706676,0.0376118485193238
"ACBD5","Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,7.618894,5.044549,4.657079,439,324,287,24.477655,0.167308856852537
"ACBD6","Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,23.154423,24.794667,23.033485,532,463,433,0.176179,8.38157088901151
"ACBD7","Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,0.572654,0.568327,0.510339,37,38,33,6.53185033333333,0.157846692917557
"ACCS","Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,8.564602,4.575821,7.352098,163,107,122,12.768286,0.169997388684885
"ACCSL","Accsl",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00512366666666667,0.994902451472804
"ACD","Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,6.047245,4.588355,4.00999,85,83,68,8.21773166666667,0.271039241577691
"ACE","Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,1.157448,0.481306,0.687591,31,27,17,3.13386766666667,1.66991936445635
"ACE2","Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,0.292,0.608641,1.089188,17,9,22,0.00736633333333333,1.25647836156261
"ACER1","Acer1",0.013295,0,0,1,0,0,0.00443166666666667,0,0,0,0,0,0,0,1.00443166666667
"ACER2","Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,0.086941,0.071304,0.036141,5,4,2,18.880558,0.154448900948018
"ACER3","Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,5.889447,3.785697,2.608854,373,369,276,0.568908666666667,1.35414107385898
"ACHE","Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,0.074404,0.220625,0.154447,5,9,7,25.9771216666667,0.0466962098069148
"ACIN1","Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,48.187336,30.018075,26.134553,1665,1167,1053,0,10.673467
"ACKR1","Ackr1",0.082963,0.172283,0.044259,3,5,1,0.099835,0,0,0,0,0,0,34.58212,0.0309097659161399
"ACKR2","Ackr2",1.140292,0.306534,0.79591,18,14,17,0.747578666666667,2.083034,1.740608,0.931254,43,37,20,0.056822,1.65361685001511
"ACKR3","Ackr3",7.941244,7.112321,8.687354,750,644,565,7.91363966666667,4.479841,2.665596,2.943872,125,78,87,0.0230306666666667,8.71297406529358
"ACKR4","Ackr4",0.754575,1.177246,1.223792,37,56,45,1.051871,0,0,0,0,0,0,27.5920056666667,0.0717638008302484
"ACLY","Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,20.336467,13.559479,13.590368,1109,844,693,0.014085,5.80690277442226
"ACMSD","Acmsd",0,0.051825,0.043596,0,3,2,0.031807,0.044606,0.168465,0.027939,1,1,1,2.473935,0.297013904980951
"ACO1","Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,8.895559,7.661565,6.460032,708,594,504,23.015551,0.181752801202299
"ACO2","Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,146.738618,107.939366,96.620982,7447,5908,4897,0.216119666666667,360.219993701278
"ACOD1","Acod1",0,0.025515,0,0,2,0,0.008505,0,0,0,0,0,0,0,1.008505
"ACOT1","Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,6.652744,7.561148,4.666439,192,191,127,0.0160763333333333,1.18764764720761
"ACOT11","Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,20.174206,15.320592,11.474642,1325,899,708,0.0559843333333333,5.20694088580228
"ACOT12","Acot12",0,0,0,0,0,0,0,0.102651,0,0,1,0,0,10.6504483333333,0.085833606689528
"ACOT13","Acot13",395.632453,377.75228,442.9371,1311,1270,1043,405.440611,28.624228,30.396445,27.420034,613,576,520,0.006508,403.812598608257
"ACOT2","Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,88.207517,93.696934,77.668179,1144,999,964,0.306412,6.84519916636814
"ACOT4","Acot4",0.165596,0.144667,0.185633,33,17,26,0.165298666666667,0.124947,0.174781,0.261237,6,8,12,3.80938333333333,0.242296898770806
"ACOT6","Acot6",0.552336,0.322506,0.388205,56,33,27,0.421015666666667,0.188194,0,0.040322,5,0,1,12.6457773333333,0.104135926591406
"ACOT7","Acot7",12.066454,10.657095,11.339034,443,375,355,11.3541943333333,18.509861,18.078012,11.411107,521,479,300,33.1908626666667,0.361330290311092
"ACOT8","Acot8",1.641596,1.505389,1.975407,52,44,36,1.707464,14.918157,12.104523,11.463739,289,242,204,1.29594133333333,1.17923919078072
"ACOT9","Acot9",4.072205,4.855018,4.790514,198,221,169,4.572579,29.935853,23.797934,22.855973,918,759,709,2.03923233333333,1.83354820850046
"ACOX1","Acox1",32.90367,31.658302,34.80923,3684,3423,2793,33.123734,26.743277,25.166,14.165662,569,533,438,18.3481623333333,1.76366796040423
"ACOX2","Acox2",0.180945,0.256774,0.112875,6,4,5,0.183531333333333,17.904677,19.718667,13.035042,296,273,205,38.0836203333333,0.030282029229619
"ACOX3","Acox3",5.436548,3.876888,8.096525,278,282,221,5.80332033333333,11.241262,6.789727,5.371668,239,160,120,2.683347,1.84704844081574
"ACOXL","Acoxl",0.021636,0,0,2,0,0,0.007212,0.725081,0.07677,0.356086,14,3,7,17.4300403333333,0.0546505586413891
"ACP1","Acp1",5.66495,7.242556,7.48916,190,232,154,6.79888866666667,30.223411,32.418039,30.824921,582,628,585,19.0402076666667,0.389162068397062
"ACP2","Acp2",1.730692,1.916966,2.292059,251,242,234,1.97990566666667,43.214406,45.839884,42.704658,569,466,395,0,2.97990566666667
"ACP4","Acp4",0,0,0,0,0,0,0,0,0.080253,0,0,2,0,3.587013,0.218006794399754
"ACP5","Acp5",0.07349,0.157873,0.034358,3,6,1,0.0885736666666667,0.224677,1.062225,0,1,4,0,0.19397,0.911726146106407
"ACP6","Acp6",3.884854,3.981793,3.69741,158,166,131,3.85468566666667,5.616296,6.558338,5.860511,182,148,113,0.334708,3.63726423057827
"ACP7","Acp7",0,0,0,0,0,0,0,0.015824,0.016768,0.030042,1,1,2,93.1555226666667,0.0106207259189696
"ACR","Acr",0.021936,0,0.11907,1,0,2,0.047002,0,0.037509,0.037908,0,1,1,2.11296733333333,0.336335684858884
"ACRBP","Acrbp",0.973677,0.635086,0.428227,20,12,5,0.678996666666667,0.3985,0.030659,0.225437,4,1,2,0.842184333333333,0.911416211877458
"ACRV1","Acrv1",0,0.020824,0.013454,0,2,1,0.011426,0.027065,0.168649,0.254211,1,3,3,0.138813666666667,0.888140026419306
"ACSBG1","Acsbg1",0.030745,0,0.04316,3,0,3,0.024635,0.540764,0.319036,0.523883,30,21,25,19.5671083333333,0.0498191084227122
"ACSBG2","Acsbg2",0.011693,0,0,1,0,0,0.00389766666666667,0.522338,0.103219,0.103778,4,1,1,21.4794623333333,0.0446584376343402
"ACSF2","Acsf2",7.891,12.373069,10.895599,350,367,340,10.386556,61.978687,54.648487,53.059789,577,446,412,0,11.386556
"ACSF3","Acsf3",2.997409,3.249149,4.273128,216,222,220,3.506562,19.299129,13.763293,10.433563,273,225,190,0,4.506562
"ACSL1","Acsl1",205.487387,212.938162,241.722004,10340,9955,9069,220.049184333333,43.878419,27.152981,30.101182,716,624,486,0.0304663333333333,214.513737307931
"ACSL3","Acsl3",1.316494,1.101578,1.23888,64,36,54,1.218984,71.523045,48.918818,50.907122,1224,1079,919,3.02931966666667,0.550709346383455
"ACSL4","Acsl4",3.808227,3.388927,6.217699,163,151,156,4.47161766666667,36.054531,15.661033,10.428141,1246,833,675,0.272184333333333,4.3009629369748
"ACSL5","Acsl5",6.898301,9.129866,3.381648,183,235,138,6.46993833333333,0.1358,0,0.182111,3,0,1,13.169485,0.527184885924459
"ACSL6","Acsl6",2.786717,1.936377,3.098567,152,129,148,2.60722033333333,0.165731,0.038947,0.026724,5,3,2,1.68527833333333,1.34333200717244
"ACSM1","Acsm1",0,0,0,0,0,0,0,0,0.159858,0,0,2,0,20.803934,0.0458632832038475
"ACSM2B","Acsm2",0,0,0.156331,0,0,1,0.0521103333333333,0,0.111241,0,0,2,0,7.360807,0.12583837102487
"ACSM3","Acsm3",0.028766,0.030908,0.038958,1,1,1,0.0328773333333333,1.027824,2.197071,1.355443,11,13,11,0.0667716666666667,0.968227190135971
"ACSM4","Acsm4",0,0,0,0,0,0,0,0,0,0,0,0,0,3.68238533333333,0.213566361760345
"ACSM5","Acsm5",0.870292,1.135048,0.688642,49,59,32,0.897994,0.347033,0.226793,0.050724,7,6,1,20.9610366666667,0.0864255193781836
"ACSS1","Acss1",65.371472,67.562517,72.050659,4063,3934,3335,68.328216,0.37447,0.329271,0.198105,29,24,13,4.87250566666667,11.8055596597409
"ACSS2","Acss2",4.763676,4.718603,4.527287,336,365,266,4.66985533333333,136.021315,95.971222,128.057604,1559,1286,1185,0.031335,5.49758840079444
"ACSS3","Acss3",0.160808,0.170282,0.21361,18,20,20,0.181566666666667,2.79066,4.630495,1.143408,125,108,90,2.06891666666667,0.385010997366063
