"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","FoldChange"
"AATK",110.09658,87.6251,129.53919,109.086956666667,14.223841,16.332434,12.634368,14.396881,7.14995177702982
"ABAT",184.41095,210.86949,239.78623,211.68889,28.063871,26.832749,35.879571,30.2587303333333,6.80414360186585
"ABCA1",8.0013,11.27437,2.40332,7.22633,4.057191,3.554462,2.51638,3.376011,1.87986958899326
"ABCA10",4.6053,2.12776,11.16453,5.96586333333333,2.244064,0.973671,2.240683,1.81947266666667,2.47062630387857
"ABCA11P",3.11438,5.25032,6.59822,4.98764,2.783632,1.968935,3.820819,2.85779533333333,1.552088559044
"ABCA12",0.0497,0.02763,0.10924,0.06219,0.083238,0.230357,0.054846,0.122813666666667,0.946007366612626
"ABCA13",0.61294,0.35923,0.24033,0.404166666666667,0.087452,0.016383,0.151556,0.0851303333333333,1.2940073865167
"ABCA17P",11.9771,6.54909,7.55955,8.69524666666667,2.031216,2.837622,4.432733,3.10052366666667,2.36439232029795
"ABCA2",653.80406,399.10733,391.13012,481.34717,107.50449,75.111095,79.577059,87.397548,5.45656730207041
"ABCA3",59.28915,43.854,59.47136,54.2048366666667,51.9705,59.537578,54.006441,55.1715063333333,0.982790746950416
"ABCA4",0.14909,1.2435,4.87219,2.08826,0.905126,0.080781,0.014008,0.333305,2.31624422018968
"ABCA5",13.94844,10.58354,13.54601,12.6926633333333,15.166472,15.375498,16.666334,15.7361013333333,0.818151316164752
"ABCA6",3.2966,1.10533,0.74285,1.71492666666667,0.380325,0.502694,0.140608,0.341209,2.02423833024284
"ABCA7",25.04755,30.28607,84.07266,46.46876,53.395405,36.508479,39.178153,43.0273456666667,1.07816538292788
"ABCA8",21.83378,9.45058,8.78306,13.3558066666667,0.39584,0.133049,0.866773,0.465220666666667,9.79770965101502
"ABCA9",4.27399,5.11216,7.20997,5.53204,1.630893,5.875754,1.09333,2.866659,1.68932403917697
"ABCB1",56.67174,57.67064,29.77937,48.0405833333333,1.409905,3.284378,1.946045,2.21344266666667,15.2610730672234
"ABCB10",4.88692,5.44375,6.03016,5.45361,10.325898,7.423625,9.542775,9.09743266666667,0.639133749443505
"ABCB11",0,0.13817,0,0.0460566666666667,1.639649,3.496208,2.969016,2.70162433333333,0.282593956725124
"ABCB4",0.6295,3.48179,2.20669,2.10599333333333,0.520114,0.10443,0.985588,0.536710666666667,2.02119592237272
"ABCB5",0.08283,0,0.08739,0.05674,0,0.258936,0.058403,0.105779666666667,0.955651502604949
"ABCB6",81.18919,69.71874,70.61404,73.8406566666667,45.798715,35.435408,31.250175,37.494766,1.94417746731248
"ABCB7",9.39283,10.44538,6.99149,8.94323333333333,7.623563,5.152974,8.512265,7.09626733333333,1.22812561936978
"ABCB8",32.81693,34.40342,28.81804,32.0127966666667,22.108301,23.197393,18.535002,21.280232,1.48170794032426
"ABCB9",28.26133,22.82508,50.88493,33.9904466666667,13.147339,16.158433,16.129464,15.1450786666667,2.16725154389668
"ABCC1",4.15803,4.17262,3.45205,3.92756666666667,4.341232,5.649856,8.644544,6.21187733333333,0.683257138039693
"ABCC10",43.66756,37.52598,47.14886,42.7808,47.610062,53.34286,79.775617,60.2428463333333,0.714872064595256
"ABCC11",0.89456,2.32119,0.45882,1.22485666666667,0.569528,0.322889,0.314366,0.402261,1.5866209405144
"ABCC12",0.19879,0.11053,5.26547,1.85826333333333,0.051357,0.030371,0,0.0272426666666667,2.78246165787506
"ABCC13",0,0.11053,0.41512,0.175216666666667,0.084804,0,0,0.028268,1.14290891738989
"ABCC2",0.76203,0.4974,0.26218,0.507203333333333,0.295949,0.49826,0.480955,0.425054666666667,1.05764597568655
"ABCC3",0.34788,1.1606,1.76972,1.09273333333333,0.450343,0.479305,0,0.309882666666667,1.59764945867925
"ABCC4",2.20326,1.54746,0.76469,1.50513666666667,4.728571,5.721667,5.325962,5.25873333333333,0.400262566440494
"ABCC5",56.07537,36.86278,41.27163,44.7365933333333,41.572952,43.888857,45.250485,43.5707646666667,1.02615680200655
"ABCC6",1.49093,1.93433,0.74285,1.38937,0.688326,0.691802,0.278854,0.552994,1.53855713544289
"ABCC6P1",0.23192,1.46456,0.89578,0.864086666666667,0.625841,0.060185,0.401571,0.362532333333333,1.36810453672414
"ABCC6P2",0.59637,0.4974,1.17981,0.75786,0,0.457876,0,0.152625333333333,1.52509228208299
"ABCC8",81.60333,51.53605,127.72577,86.95505,44.948896,46.276289,61.444417,50.8898673333333,1.69503324097919
"ABCC9",4.50591,6.68725,4.85035,5.34783666666667,1.51249,0.676152,0.605353,0.931331666666667,3.28676673003687
"ABCD1",5.74835,9.11898,4.91589,6.59440666666667,6.614678,7.050127,8.893207,7.51933733333333,0.891431618390351
"ABCD2",2.31922,2.81859,2.81844,2.65208333333333,1.111828,0.947205,1.460715,1.17324933333333,1.68047139245259
"ABCD3",15.57189,20.36572,16.73588,17.55783,14.822618,16.086553,17.331049,16.0800733333333,1.08651933969058
"ABCD4",152.14069,105.3933,111.73274,123.08891,49.321733,40.153747,59.337327,49.604269,2.45214311859737
"ABCE1",13.71652,12.73894,10.83681,12.4307566666667,40.838605,40.205738,45.232008,42.092117,0.311675489664772
"ABCF1",49.05146,56.31661,38.89016,48.0860766666667,46.260735,63.760304,59.860432,56.627157,0.85178723404083
"ABCF2",28.19506,21.08419,28.0315,25.77025,26.268774,19.429182,42.181654,29.2932033333333,0.88370482663823
"ABCF3",78.67118,63.80522,52.65465,65.0436833333333,49.775637,52.727308,46.588001,49.696982,1.30271429832516
"ABCG1",18.12303,12.51787,7.14443,12.59511,7.097047,8.637267,8.443098,8.05913733333333,1.50070691057706
"ABCG2",17.85798,27.32931,8.2587,17.81533,0.071606,0.158845,0.025076,0.0851756666666667,17.3385107848898
"ABCG4",5.40046,4.36606,10.35614,6.70755333333333,11.183928,15.998495,13.278866,13.4870963333333,0.532028859061221
"ABCG5",0.28162,0.1658,0.28403,0.243816666666667,0.093551,0.161392,0.087861,0.114268,1.11626347222272
"ABCG8",0.29819,0,0.15294,0.150376666666667,0.279919,0.336852,0.476524,0.364431666666667,0.843117830500856
"ABHD1",10.0886,9.45058,8.8923,9.47716,1.219066,0.595476,1.404846,1.07312933333333,5.05378985842337
"ABHD10",22.52954,22.41058,17.95939,20.9665033333333,20.734833,22.479951,21.319982,21.5115886666667,0.975786456415648
"ABHD11",16.91372,21.94082,33.27512,24.04322,5.79209,6.6316,4.983045,5.802245,3.68161099754566
"ABHD12",139.31873,160.19007,140.39784,146.635546666667,62.698382,74.955257,56.465736,64.7064583333333,2.24689551699319
"ABHD12B",20.59134,26.11344,20.07868,22.2611533333333,3.562703,1.658765,4.615794,3.27908733333333,5.43600808334363
"ABHD13",2.55114,2.18303,2.97138,2.56851666666667,2.86622,3.359063,3.388676,3.204653,0.848706579750259
"ABHD14A",100.62092,85.88421,147.54227,111.349133333333,25.012009,25.594496,21.460029,24.022178,4.48998218034151
"ABHD14B",17.4604,16.66286,17.12915,17.0841366666667,1.988993,2.13046,2.242736,2.12072966666667,5.7948424241382
"ABHD15",2.79963,4.11736,1.83527,2.91742,0.139043,0.156659,0.265244,0.186982,3.30031963416463
"ABHD16A",76.41823,54.02305,65.08639,65.17589,34.317671,41.166479,61.739668,45.7412726666667,1.41579136006695
"ABHD16B",8.61424,10.05851,6.77301,8.48192,0,0,0,0,9.48192
"ABHD2",19.76305,20.08939,15.7964,18.5496133333333,24.811763,18.501694,16.975591,20.0963493333333,0.926682291065588
"ABHD3",9.04495,19.39856,10.05027,12.83126,2.112366,4.383957,4.812756,3.769693,2.89982185436253
"ABHD4",36.0804,28.37937,21.43328,28.6310166666667,5.832204,5.914283,14.836758,8.86108166666667,3.00484446516939
"ABHD5",7.91847,8.78738,8.08391,8.26325333333333,6.272151,9.717485,9.994526,8.66138733333333,0.95879121845924
"ABHD6",19.4483,16.1931,16.18967,17.2770233333333,12.738211,13.156293,8.173231,11.3559116666667,1.47921285182383
"ABHD8",83.24335,93.48336,137.25167,104.65946,7.19407,9.390167,9.704944,8.76306033333333,10.8223708952463
"ABI1",43.51847,43.99217,49.00597,45.5055366666667,19.731057,19.365981,20.50402,19.8670193333333,2.22866217372876
"ABI2",73.75113,74.22297,58.16045,68.7115166666667,50.424881,51.894418,63.248999,55.1894326666667,1.2406517268152
"ABI3",6.44411,3.67523,2.97138,4.36357333333333,0,0.209091,0.075429,0.09484,4.89895631629584
"ABI3BP",23.63946,15.9444,9.15448,16.2461133333333,0.99652,1.116168,1.795284,1.30265733333333,7.48965687759012
"ABL1",25.67705,28.43464,26.69875,26.9368133333333,23.387004,25.535463,27.529949,25.4841386666667,1.05485074236131
"ABL2",8.54797,5.94115,4.17305,6.22072333333333,4.876134,5.408775,4.808567,5.03115866666667,1.1972365066834
"ABLIM1",67.88682,57.25614,45.24804,56.797,100.860799,75.151885,120.837451,98.950045,0.578258869218118
"ABLIM2",193.90317,178.5662,144.28686,172.252076666667,19.980956,30.901303,25.59889,25.4937163333333,6.53936482473347
"ABLIM3",18.85193,25.06338,17.26024,20.39185,48.422608,52.934019,47.138285,49.498304,0.42361521685956
"ABO",0.89456,2.68043,0.69915,1.42471333333333,0.839964,0.413628,1.770949,1.00818033333333,1.20741812529784
"ABR",299.60981,317.03652,304.52305,307.05646,591.586845,672.731938,685.513728,649.944170333333,0.473245593154712
"ABRA",0.14909,0.05527,0,0.06812,0.028665,0.053548,0.080009,0.054074,1.01332544014936
"ABRACL",18.95132,11.68887,21.1711,17.27043,19.223716,14.20645,19.051796,17.4939873333333,0.987911891075517
"ABT1",8.41545,8.04128,6.16125,7.53932666666667,4.88843,4.285503,5.231131,4.801688,1.47186933641841
"ABTB1",115.24856,79.80489,91.19524,95.41623,2.982307,4.057105,10.245762,5.76172466666667,14.2591180139741
"ABTB2",6.80856,6.24512,9.94102,7.6649,1.344934,1.96267,3.69669,2.33476466666667,2.59835426667789
"ACAA1",99.64354,88.26067,80.7517,89.55197,46.486176,54.061449,53.958237,51.501954,1.72473523556857
"ACAA2",63.01646,61.15243,33.38436,52.51775,7.463552,10.616386,8.612113,8.89735033333333,5.40728055465081
"ACACA",36.95839,37.99575,40.70358,38.5525733333333,87.127535,78.297049,72.405289,79.2766243333333,0.492703494470555
"ACACB",20.49195,31.50193,31.19952,27.7311333333333,3.694984,3.933355,3.564281,3.73087333333333,6.07311405505115
"ACAD10",24.91503,22.63165,26.08699,24.5445566666667,11.611479,11.630295,14.269463,12.5037456666667,1.89166452754825
"ACAD11",18.22243,17.18789,9.94102,15.1171133333333,6.956361,6.78533,9.702243,7.81464466666667,1.82844731044935
"ACAD8",43.56816,32.08223,31.52725,35.72588,28.56967,26.216904,35.090426,29.959,1.18627475047644
"ACAD9",27.96314,25.78184,27.98781,27.2442633333333,16.730664,15.138342,15.036653,15.6352196666667,1.69785935498818
"ACADL",1.32527,1.63036,0.52436,1.15999666666667,0.288112,0.704497,0.707281,0.56663,1.37875354529574
"ACADM",52.48059,49.82279,36.42129,46.2415566666667,34.991444,30.116255,36.311604,33.8064343333333,1.35726504514208
"ACADS",17.75858,19.89596,16.93251,18.1956833333333,1.771714,2.673468,3.757556,2.734246,5.14044423782829
"ACADSB",15.12461,11.57834,8.215,11.6393166666667,5.696079,5.142362,5.947202,5.59521433333333,1.91643759063074
"ACADVL",850.20868,1070.84452,774.50407,898.51909,236.028354,256.563668,245.533457,246.041826333333,3.64116110761859
"ACAN",0.71233,1.18823,1.63863,1.17973,0.108891,0.370897,0.103268,0.194352,1.82503148150629
"ACAP1",120.28457,95.39005,24.71054,80.1283866666667,9.140538,8.118628,5.692809,7.65065833333333,9.37829047692902
"ACAP2",6.75886,7.87548,5.09068,6.57500666666667,19.442193,11.477702,6.945933,12.6219426666667,0.556088573563222
"ACAP3",343.22767,247.20724,247.32393,279.252946666667,237.983872,241.790025,300.03488,259.936259,1.07402837666446
"ACAT1",91.26122,90.63713,80.1181,87.3388166666667,122.137156,118.34408,129.991315,123.490850333333,0.70960087773626
"ACAT2",14.59451,10.77698,17.1073,14.1595966666667,150.038137,113.788996,97.188096,120.338409666667,0.124936503686773
"ACBD3",8.61424,9.22951,9.74439,9.19604666666667,55.57853,50.960754,31.733687,46.0909903333333,0.216517991966064
"ACBD4",37.10748,34.87319,34.97929,35.65332,2.513592,3.070246,3.546908,3.043582,9.06456701014101
"ACBD5",27.4496,28.9044,23.68367,26.6792233333333,22.086031,24.008406,24.78825,23.6275623333333,1.12391242619533
"ACBD6",159.59532,134.10426,263.79763,185.832403333333,44.648742,40.179244,47.697377,44.175121,4.13573664436523
"ACBD7",60.8629,83.23141,60.76041,68.2849066666667,1.043718,2.012931,2.647439,1.90136266666667,23.8801262119593
"ACCS",16.40018,12.6284,11.6015,13.54336,2.852259,6.929111,6.720408,5.50059266666667,2.23723600996791
"ACCSL",0,0.0829,0,0.0276333333333333,0,0.041683,0,0.0138943333333333,1.01355072175503
"ACD",21.63499,14.56273,22.17613,19.45795,10.823814,17.900748,15.750557,14.8250396666667,1.29275821299153
"ACE",35.79878,27.88197,7.51585,23.7322,7.650195,4.932748,4.196313,5.59308533333333,3.7512331100826
"ACE2",0.66263,0.829,0,0.49721,0.257103,0.077158,0.190801,0.175020666666667,1.27419886515471
"ACER1",0.6295,0.3316,0.37142,0.444173333333333,0.061841,0,0.249022,0.103621,1.30857725010065
"ACER2",1.95477,1.13296,1.42015,1.50262666666667,1.702671,1.924675,1.809561,1.81230233333333,0.889885357276073
"ACER3",22.21479,21.27762,19.8602,21.1175366666667,5.618697,5.605735,6.031901,5.752111,3.27564767028662
"ACHE",124.93958,128.46708,62.90155,105.43607,123.812487,148.175891,116.216143,129.401507,0.816218097847596
"ACIN1",84.9662,86.90664,82.0626,84.6451466666667,89.895784,89.267185,92.097629,90.4201993333333,0.936829576955856
"ACLY",34.88766,21.19472,31.22137,29.10125,254.093676,248.408509,244.338036,248.946740333333,0.120430656386462
"ACMSD",0.0497,0.2487,0,0.0994666666666667,0.255707,0.275251,0.059046,0.196668,0.918773349556156
"ACO1",16.64867,16.08256,13.32753,15.35292,9.414829,8.829655,9.906688,9.383724,1.57486081101539
"ACO2",194.64864,168.23135,188.20215,183.694046666667,76.722101,90.811985,92.660824,86.7316366666667,2.10521601652555
"ACOT1",2.23639,3.31599,4.85035,3.46757666666667,2.580575,3.185492,1.979403,2.58182333333333,1.24729118409897
"ACOT11",4.55561,7.12938,9.43851,7.04116666666667,0.582734,0.576701,0.609753,0.589729333333333,5.05819858642603
"ACOT12",0.0497,0,0,0.0165666666666667,0.331608,0.188218,0.467097,0.328974333333333,0.764925733454095
"ACOT13",37.93578,57.75354,36.3339,44.00774,4.473594,5.647834,5.032359,5.05126233333333,7.43774398146238
"ACOT2",8.051,10.61118,19.33584,12.6660066666667,14.610747,12.124256,16.719956,14.4849863333333,0.882532691504474
"ACOT4",2.96529,3.31599,4.67556,3.65228,0.210825,0.819407,0.499504,0.509912,3.08115969672405
"ACOT6",1.62345,0.19343,0.26218,0.69302,0.113721,0.104565,0.160646,0.126310666666667,1.50315543491257
"ACOT7",154.75809,102.10494,213.74293,156.868653333333,141.034258,158.621084,147.569266,149.074869333333,1.05193263891964
"ACOT8",66.89287,65.57375,49.87991,60.7821766666667,15.109551,19.026084,18.961389,17.699008,3.30403498766708
"ACOT9",13.46803,14.06534,14.22331,13.9188933333333,19.733347,15.220957,15.831859,16.928721,0.832122566541882
"ACOX1",62.50292,72.70314,76.18538,70.4638133333333,26.69153,36.454793,34.43575,32.5273576666667,2.13150747052111
"ACOX2",13.50116,16.5247,11.05529,13.6937166666667,0,0.720589,0,0.240196333333333,11.8478955885748
"ACOX3",8.46514,6.68725,23.55258,12.9016566666667,9.956542,12.099373,8.284384,10.113433,1.25088770199691
"ACOXL",0,0.05527,0,0.0184233333333333,0.165362,0.317846,0.200234,0.227814,0.829460596909087
"ACP1",58.74247,61.70509,55.34201,58.5965233333333,61.586263,66.10944,74.714785,67.4701626666667,0.870401369184226
"ACP2",38.03517,21.63685,46.29677,35.32293,115.861262,97.504509,108.715051,107.360274,0.335205224748693
"ACP5",4.42308,6.63199,1.9882,4.34775666666667,0.900021,1.872376,0.519606,1.09733433333333,2.54978740474218
"ACP6",9.44253,12.54551,9.70069,10.56291,5.681603,4.537779,4.413437,4.87760633333333,1.96728214586675
"ACPP",0.03313,2.34883,0.54621,0.976056666666667,0.048184,0.022238,0,0.023474,1.93073460260511
"ACR",2.81619,1.3264,1.81342,1.98533666666667,0,0.561401,0,0.187133666666667,2.51474349560749
"ACRBP",3.9261,2.45936,2.16299,2.84948333333333,0.871936,1.387368,0.356541,0.871948333333333,2.05640469065653
"ACRV1",5.84774,3.01203,4.1075,4.32242333333333,0.419432,0.594965,0.365907,0.460101333333333,3.64524243066235
"ACSBG1",88.3125,109.42775,56.1067,84.61565,0.253329,0.789068,1.028992,0.690463,50.6462726483809
"ACSBG2",0.59637,0.77373,0.10924,0.493113333333333,0.326791,0.354839,0.057953,0.246527666666667,1.19781804548796
"ACSF2",51.30441,52.55848,47.82616,50.5630166666667,0.770281,0.767876,3.321446,1.61986766666667,19.6815348052567
"ACSF3",61.67463,58.77597,55.18907,58.5465566666667,15.821189,18.561092,20.415246,18.2658423333333,3.09078397073979
"ACSL1",34.42382,22.99088,27.48529,28.2999966666667,62.19037,73.44608,83.471369,73.0359396666667,0.395753694740481
"ACSL3",44.29706,41.69861,41.796,42.5972233333333,130.996535,121.985228,113.197501,122.059754666667,0.354276858843296
"ACSL4",16.20139,7.04648,11.47041,11.57276,61.049607,65.37075,77.690858,68.0370716666667,0.182116067447144
"ACSL5",9.19404,8.12418,3.23356,6.85059333333333,0.344508,0.341116,0.484939,0.390187666666667,5.64714644042063
"ACSL6",35.4509,34.34816,47.73876,39.1792733333333,16.646079,21.155853,18.209522,18.6704846666667,2.04261735357343
"ACSM1",0.84486,0,0,0.28162,0.124507,0.048926,0,0.057811,1.211577493522
"ACSM2A",0,0.77373,0.08739,0.28704,2.771496,1.037998,0.161293,1.32359566666667,0.55390015503271
"ACSM2B",0.0994,0.46977,0,0.189723333333333,0.143928,1.678159,1.180417,1.00083466666667,0.594613514626562
"ACSM3",0.59637,0.22107,1.02687,0.61477,3.546028,4.370048,3.432423,3.782833,0.337617892993546
"ACSM4",0.16566,0,0.10924,0.0916333333333333,0.149807,0.241539,0.10526,0.165535333333333,0.936593942811972
"ACSM5",7.48776,8.98081,5.4621,7.31022333333333,0,0.179494,0,0.0598313333333333,7.84108100219721
"ACSS1",57.94731,78.25742,61.83098,66.0119033333333,0.066638,0.220548,0.348834,0.212006666666667,55.2900451592675
"ACSS2",43.78352,30.83873,37.47001,37.3640866666667,148.399461,146.694353,101.822483,132.305432333333,0.287790872398481
"ACSS3",12.72257,14.9496,21.32404,16.33207,0.627096,0.612727,1.358752,0.866191666666667,9.28740081181372
"ACTA1",40.80167,32.41383,12.49729,28.57093,0.242012,0.585729,0.672663,0.500134666666667,19.712183617293
"ACTA2",30.26579,39.46031,26.13069,31.9522633333333,2.655925,3.057572,5.813821,3.84243933333333,6.80488924383703
"ACTB",3995.79691,3014.15431,4181.63155,3730.52759,2178.850167,2041.670166,2557.016143,2259.17882533333,1.65098776617805
"ACTBL2",0,0,0,0,0.259337,0.108094,0,0.122477,0.890886851133698
"ACTC1",12.0765,11.13621,6.51082,9.90784333333333,0.551692,0.56988,1.037101,0.719557666666667,6.34340071564916
"ACTG1",1819.21101,1453.84166,1057.48459,1443.51242,1435.350734,1536.991071,1807.979395,1593.4404,0.905968275766219
"ACTG2",1.52406,3.59233,6.42343,3.84660666666667,0.239946,0.184371,2.284464,0.902927,2.5469220136488
"ACTL10",0.18222,0.80136,0.65545,0.546343333333333,0.141201,0.158296,0.137933,0.14581,1.34956348202
"ACTL6A",57.40064,40.37221,15.20649,37.65978,67.288182,35.925033,85.845286,63.0195003333333,0.603875066170594
"ACTL6B",82.51446,59.10757,87.50286,76.3749633333333,154.861852,109.866441,166.128293,143.618862,0.535026774953694
"ACTL7A",0,0.22107,0,0.07369,0,0,0.078863,0.0262876666666667,1.04618815452328
"ACTL7B",0,0.05527,0,0.0184233333333333,0,0,0.088939,0.0296463333333333,0.989100140857427
"ACTL8",0,0,0.13109,0.0436966666666667,0.049515,0,0,0.016505,1.02675015535257
"ACTL9",0,0.22107,0,0.07369,0,0,0,0,1.07369
"ACTN1",196.73593,153.64099,75.39884,141.925253333333,42.915893,53.04208,30.351943,42.1033053333333,3.31587687366528
"ACTN2",204.83663,117.0269,46.4934,122.785643333333,10.431195,12.550374,2.658834,8.546801,12.9661908039492
"ACTN4",605.08392,637.55483,640.02714,627.555296666667,88.341101,89.90874,113.006576,97.0854723333333,6.4082405040635
"ACTR10",94.92227,68.00548,97.15985,86.6958666666667,175.090819,207.781083,223.094765,201.988889,0.432022989527603
"ACTR1A",84.3864,74.4993,79.79037,79.55869,135.467299,131.59114,164.703958,143.920799,0.555880802175263
"ACTR1B",82.74638,66.76198,96.67919,82.0625166666667,28.348357,31.987461,34.845941,31.727253,2.53802287245638
"ACTR2",77.5944,65.71192,67.97038,70.4255666666667,90.130579,85.113097,98.337326,91.1936673333333,0.774733978293997
"ACTR3",66.84317,54.07831,32.35749,51.09299,83.778842,80.647357,87.559013,83.9950706666667,0.612894248941778
"ACTR3B",70.88524,60.59976,35.35072,55.6119066666667,23.73554,20.329805,21.54651,21.8706183333333,2.47531159156096
"ACTR3C",3.4457,3.09493,1.24536,2.59533,0.030079,0.14202,0.021249,0.0644493333333333,3.37764315069952
"ACTR5",7.00735,4.94636,5.72428,5.89266333333333,2.282428,2.070326,3.460384,2.60437933333333,1.91230242321887
"ACTR6",22.91056,19.42619,15.0317,19.1228166666667,24.835879,26.636835,23.772285,25.0816663333333,0.771531098108903
"ACTR8",18.55374,15.06013,11.47041,15.0280933333333,23.771453,22.759294,31.53109,26.0206123333333,0.593180240906704
"ACTRT1",0,0,0,0,0,0,0.167548,0.0558493333333333,0.947104826825039
"ACTRT2",0,0.22107,0,0.07369,0,0,0,0,1.07369
"ACTRT3",1.09335,0.69083,2.84029,1.54149,1.443018,1.511988,0.769716,1.241574,1.13379705510503
"ACVR1",20.72387,14.34167,7.86543,14.3103233333333,6.034686,8.207685,6.259893,6.834088,1.9543210815775
"ACVR1B",22.71177,19.23276,27.72562,23.2233833333333,55.209179,56.089019,59.415097,56.9044316666667,0.418333841402295
"ACVR1C",1.87194,0.4145,0.61176,0.966066666666667,0.137088,0.073565,0.237864,0.149505666666667,1.71035839463746
"ACVR2A",7.15644,6.13459,6.68561,6.65888,25.003915,23.782342,23.796881,24.1943793333333,0.303991612520772
"ACVR2B",0.71233,0.63557,0.50251,0.616803333333333,6.214092,4.560656,8.131002,6.30191666666667,0.221421772822204
"ACVRL1",30.6965,35.06662,9.85363,25.2055833333333,2.000151,0.803904,0.719904,1.174653,12.0504665955136
"ACY1",21.70125,22.05135,19.77281,21.1751366666667,10.842162,5.437314,8.266339,8.18193833333333,2.41508229108487
"ACY3",3.59479,5.22269,3.60499,4.14082333333333,0,0,0,0,5.14082333333333
"ACYP1",28.46012,29.12547,44.26487,33.9501533333333,24.106168,34.772803,28.12398,29.0009836666667,1.16496691314044
"ACYP2",276.00348,372.55176,479.90019,376.15181,20.955971,15.854271,16.292319,17.7008536666667,20.1676253246264
"ADA",7.9516,7.84785,7.82173,7.87372666666667,0.922875,1.829261,0.70398,1.15203866666667,4.12340484588567
"ADAD1",0,0,0,0,0,0,0,0,1
"ADAD2",1.87194,1.43693,0.96133,1.4234,0,0.258936,0.627989,0.295641666666667,1.87042456440502
"ADAL",17.52666,9.11898,13.39307,13.3462366666667,9.378484,7.193559,10.742324,9.104789,1.41974628729671
"ADAM10",21.23741,19.75779,11.42672,17.4739733333333,34.061006,24.686719,34.283331,31.010352,0.577124966739926
"ADAM11",12.93792,7.79258,39.74225,20.1575833333333,23.644833,33.066844,44.802479,33.838052,0.607312467796228
"ADAM12",2.89902,4.17262,1.76972,2.94712,8.973317,5.716452,10.949544,8.54643766666667,0.413465225230787
"ADAM15",165.77438,142.67058,170.98561,159.81019,18.903104,21.508581,19.628954,20.0135463333333,7.65269162325591
"ADAM17",12.24216,12.10337,18.09048,14.1453366666667,9.86407,13.149275,14.571838,12.5283943333333,1.11952211722194
"ADAM18",0,0,0,0,0,0,0,0,1
