"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg__TPM","FoldChange"
"AARS1",61.137205,66.203897,57.698854,2513,3252,3240,33.9592853333333,48.075378,54.153052,52.673665,1568,1900,1189,41.527064,0.822047939479982
"AARS2",4.02726,4.870429,3.692426,318,528,425,22.3376433333333,3.755461,4.640839,4.294325,242,329,196,31.1199893333333,0.72657693286075
"AARSD1",57.596898,71.665882,48.347544,392,756,544,10.569663,63.27632,66.968262,84.250953,365,428,308,13.0359566666667,0.824287455052939
"AASDH",5.317648,4.075445,5.487073,154,175,182,43.666992,3.182292,4.853213,4.954761,105,133,96,9.05523233333333,4.44216409121924
"AASDHPPT",104.747918,110.344793,89.985303,3116,4632,3686,139.696805,129.667907,110.451006,134.287207,3231,3083,2547,143.578193333333,0.973153708426937
"AASS",2.628604,2.250706,1.439504,225,282,185,28.594794,4.313875,2.742641,4.506,299,175,207,43.404743,0.666478218329064
"AATBC",0.101052,0.061185,0.102274,6,3,7,0.462397,0.131754,0.373232,0.069659,8,6,3,0.566942333333333,0.933280675932128
"AATF",16.465887,17.429714,15.691305,276,428,414,30.1587223333333,14.476301,19.209898,14.950782,208,297,163,72.099048,0.426253462744595
"AATK",16.385879,16.887406,16.473264,581,867,1089,41.9430956666667,14.223841,16.332434,12.634368,449,556,369,49.9149603333333,0.843427852747484
"ABALON",1.878141,1.092098,1.292027,54,43,54,14.7507913333333,0.555463,1.470344,1.275691,13,38,21,19.0329923333333,0.786242567822743
"ABAT",59.088785,64.587057,41.158971,3015,4574,3152,0.356269333333333,28.063871,26.832749,35.879571,1227,1323,1029,0.639692,0.827148838521706
"ABCA1",4.587007,4.124422,3.096802,771,969,758,13.6558153333333,4.057191,3.554462,2.51638,570,529,255,13.8334303333333,0.988026033357849
"ABCA10",1.20466,0.95142,0.489229,24,31,27,2.854131,2.244064,0.973671,2.240683,34,37,31,2.05316766666667,1.26233846967461
"ABCA11P",1.784649,1.474793,0.919267,51,54,37,19.5815453333333,2.783632,1.968935,3.820819,61,48,58,19.92491,0.983590626355542
"ABCA12",0.060479,0.006374,0,9,1,0,156.470874666667,0.083238,0.230357,0.054846,9,24,5,191.572524333333,0.817722440996269
"ABCA13",0.018797,0.084847,0.059631,1,8,6,14.4847353333333,0.087452,0.016383,0.151556,5,2,6,22.7370223333333,0.652345315932424
"ABCA17P",4.66571,1.657589,2.029971,35,13,40,0.368363333333333,2.031216,2.837622,4.432733,10,18,15,0.140757,1.19952218862855
"ABCA2",86.10463,86.558699,80.710993,2072,2678,2585,94.3114753333333,107.50449,75.111095,79.577059,1545,1840,1190,107.118573666667,0.881545807542578
"ABCA3",55.59978,54.652489,44.714698,4782,6902,6185,33.0884343333333,51.9705,59.537578,54.006441,4138,4756,3097,28.249626,1.16543145998972
"ABCA4",0.709647,0.545438,0.159905,39,1,1,28.3998213333333,0.905126,0.080781,0.014008,7,3,1,29.9432906666667,0.950119418456162
"ABCA5",10.668791,9.107596,7.662206,513,604,633,3.178246,15.166472,15.375498,16.666334,612,687,561,6.02759666666667,0.594548349625453
"ABCA6",0.332708,0.201177,0.26943,9,14,15,116.877734,0.380325,0.502694,0.140608,12,17,6,133.001987666667,0.87967153362847
"ABCA7",42.45405,52.111696,39.796489,1395,2369,1835,0.296992,53.395405,36.508479,39.178153,1224,1180,903,0.445913,0.897005559808923
"ABCA8",0.244206,0.413915,0.141469,6,7,6,217.002767,0.39584,0.133049,0.866773,3,4,10,156.648378666667,1.38284179541705
"ABCA9",4.035468,0.682386,0.739211,21,27,35,71.051303,1.630893,5.875754,1.09333,74,97,41,69.9769943333333,1.01513601240454
"ABCA9.AS1",0,0,0,0,0,0,95.338097,0,0,0,0,0,0,102.094716333333,0.934462021201093
"ABCB1",2.608253,0.395444,0.72192,71,28,37,5.47972433333333,1.409905,3.284378,1.946045,27,71,43,6.184727,0.9018748149141
"ABCB10",4.784184,6.526598,5.638334,213,397,298,3.46895066666667,10.325898,7.423625,9.542775,388,332,292,3.860617,0.919420449434026
"ABCB11",1.713152,2.345963,2.257067,8,17,14,37.9252723333333,1.639649,3.496208,2.969016,7,12,8,43.6574986666667,0.871640228304771
"ABCB4",2.613821,0.236469,0.112046,20,11,9,0.290904,0.520114,0.10443,0.985588,4,3,5,0.312118,0.983832246794877
"ABCB5",0.031732,0.170177,0.033162,3,5,1,251.873522,0,0.258936,0.058403,0,2,3,282.399342,0.892286905874326
"ABCB6",39.80428,30.533985,38.474452,602,671,937,98.0426783333333,45.798715,35.435408,31.250175,534,550,292,84.7606963333333,1.15487259977899
"ABCB7",6.507055,5.040312,4.209266,171,274,200,0.332785333333333,7.623563,5.152974,8.512265,182,173,131,0.123838333333333,1.18592264901684
"ABCB8",21.51191,19.464312,14.629305,551,761,665,0.0443566666666667,22.108301,23.197393,18.535002,526,651,446,0.159250666666667,0.900889425122895
"ABCB9",13.522164,13.523465,13.352624,392,512,531,2.804119,13.147339,16.158433,16.129464,347,428,305,1.87087366666667,1.32507363321804
"ABCC1",11.500209,10.367327,9.302465,903,1271,1197,0.078357,4.341232,5.649856,8.644544,333,452,284,0.105779666666667,0.975200605063275
"ABCC10",36.128396,35.014973,37.78168,526,739,582,0.110797333333333,47.610062,53.34286,79.775617,605,657,496,0.021098,1.08784595928435
"ABCC11",0.147705,0.168729,0.111362,9,7,7,34.807229,0.569528,0.322889,0.314366,8,11,9,55.1567856666667,0.63762960388337
"ABCC12",0,0,0,0,0,0,24.0371986666667,0.051357,0.030371,0,2,1,0,23.8082643333333,1.00922814793721
"ABCC13",0.065046,0,0.010734,3,0,1,39.963668,0.084804,0,0,3,0,0,59.8747863333333,0.672916825953103
"ABCC2",0.525342,0.194318,0.093136,8,4,5,0.258827333333333,0.295949,0.49826,0.480955,6,12,3,0.334740666666667,0.943125031529221
"ABCC3",0.735677,0.386222,0.301105,6,5,4,0.037753,0.450343,0.479305,0,4,3,0,0.114704333333333,0.930967045671005
"ABCC4",7.050166,6.396275,5.373786,388,482,551,7.55772033333333,4.728571,5.721667,5.325962,242,283,134,9.340402,0.82760035183674
"ABCC5",40.658816,35.616212,29.02946,2274,2699,2335,13.9901206666667,41.572952,43.888857,45.250485,1760,2095,1575,15.5332103333333,0.906667269359323
"ABCC5.AS1",0,0.388532,0,0,2,0,0.238746666666667,0,0.295589,0,0,1,0,0.226853333333333,1.00969417697307
"ABCC6",1.563937,2.080382,1.038311,47,91,70,17.2320626666667,0.688326,0.691802,0.278854,12,21,8,19.1169983333333,0.906301345984436
"ABCC6P1",0.326616,0.114229,0.382804,8,7,15,38.71889,0.625841,0.060185,0.401571,5,1,3,13.8722436666667,2.67067235383067
"ABCC6P2",0.427513,0.600883,0.259824,3,6,3,133.486197666667,0,0.457876,0,0,3,0,150.79009,0.886001172188953
"ABCC8",59.334917,46.332088,44.755074,729,907,811,1.30667233333333,44.948896,46.276289,61.444417,566,656,646,6.275898,0.317029229015213
"ABCC9",2.011239,0.868414,0.975146,245,158,167,0,1.51249,0.676152,0.605353,166,81,48,0,1
"ABCD1",10.618352,6.729346,8.415782,351,364,475,10.3287653333333,6.614678,7.050127,8.893207,192,234,142,11.794229,0.885459009162126
"ABCD2",1.015291,0.95263,0.78988,101,128,108,3.89511266666667,1.111828,0.947205,1.460715,91,82,86,4.90809766666667,0.828542949498747
"ABCD3",11.715671,11.503515,12.736033,658,873,979,0.00792966666666667,14.822618,16.086553,17.331049,639,817,573,0.0358056666666667,0.97308761585587
"ABCD4",58.610022,52.354869,50.095508,722,999,947,2.48702933333333,49.321733,40.153747,59.337327,485,502,452,7.31561533333333,0.419335093502401
"ABCE1",47.293811,49.347163,47.386876,1200,1864,1735,92.46756,40.838605,40.205738,45.232008,918,1004,713,42.16418,2.16539640044129
"ABCF1",49.941811,50.936379,55.648464,769,1208,1106,18.3234196666667,46.260735,63.760304,59.860432,625,761,519,22.990304,0.805467895140748
"ABCF2",19.522918,29.608502,27.332976,499,751,734,2.73144,26.268774,19.429182,42.181654,443,535,432,3.782833,0.780173591676732
"ABCF2.1",6.205134,7.639992,5.964636,207,347,288,3.944585,5.23563,7.257672,6.208637,143,217,121,2.99627566666667,1.23729827780483
"ABCF3",46.460597,40.982435,31.451225,710,879,744,116.286335333333,49.775637,52.727308,46.588001,554,722,457,125.126357,0.929911385082924
"ABCG1",2.981022,2.516257,2.216058,133,150,148,38.8820083333333,7.097047,8.637267,8.443098,274,360,227,41.110303,0.947084335473277
"ABCG2",0,0.032841,0.010415,0,3,1,20.899473,0.071606,0.158845,0.025076,4,11,1,15.829827,1.30122983438867
"ABCG4",12.913126,10.418173,10.808669,598,780,776,0.870650333333333,11.183928,15.998495,13.278866,433,622,404,4.41094433333333,0.345716055848046
"ABCG5",0.106507,0.151389,0.042838,5,10,3,93.4300633333333,0.093551,0.161392,0.087861,3,7,2,106.982320666667,0.87449559104061
"ABCG8",0.375379,0.464493,0.42013,27,45,55,17.679678,0.279919,0.336852,0.476524,19,25,16,28.449329,0.634298934281321
"ABHD1",0.400221,0.717874,0.22597,14,18,14,28.059534,1.219066,0.595476,1.404846,17,18,14,36.4106556666667,0.776771577032059
"ABHD10",22.938499,24.352688,21.626771,576,818,829,45.387708,20.734833,22.479951,21.319982,502,570,353,52.0153973333333,0.874985576517293
"ABHD11",6.937606,7.064101,6.864255,76,110,135,0.109443,5.79209,6.6316,4.983045,56,74,48,1.01128866666667,0.551608040350913
"ABHD12",64.546737,62.306897,62.683147,766,1044,1187,0.054446,62.698382,74.955257,56.465736,591,762,413,0.094133,0.963727444469731
"ABHD12B",1.904262,0.479376,0.66991,10,10,16,9.02921633333333,3.562703,1.658765,4.615794,22,21,30,5.537655,1.53406937706767
"ABHD13",2.367033,2.196661,1.88721,196,246,214,20.067703,2.86622,3.359063,3.388676,195,241,166,18.541765,1.07808598660356
"ABHD14A",22.540257,19.428712,18.954588,283,320,352,4.60419966666667,25.012009,25.594496,21.460029,268,287,164,6.37133133333333,0.760269673583162
"ABHD14A.ACY1",3.863768,4.694379,6.380052,22,47,62,0.987445333333333,3.110936,4.517742,5.004126,22,30,23,0.536710666666667,1.2933113411937
"ABHD14B",3.320588,2.072545,1.528819,54,55,44,41.663942,1.988993,2.13046,2.242736,33,40,33,43.3670903333333,0.961612350042848
"ABHD15",0.626613,0.218831,0.501833,33,16,41,157.985373333333,0.139043,0.156659,0.265244,6,8,8,171.852216666667,0.919776306021724
"ABHD16A",37.200716,47.134845,37.037113,666,1034,935,0.828383666666667,34.317671,41.166479,61.739668,552,678,517,1.33119033333333,0.78431333577653
"ABHD16B",0,0,0,0,0,0,14.1934193333333,0,0,0,0,0,0,13.7652813333333,1.02899626429965
"ABHD17A",15.282057,19.663938,28.463204,503,831,1086,30.240615,13.189788,17.685175,18.251272,437,578,391,27.7386756666667,1.08705826818023
"ABHD17B",10.201998,14.689547,11.447473,457,762,669,48.3995476666667,9.608137,10.13461,9.429544,351,345,244,83.284592,0.58610413237412
"ABHD17C",22.112876,26.685209,23.848278,525,820,771,9.06215266666667,26.356909,23.923575,30.757178,465,485,360,9.65143666666667,0.944675632176066
"ABHD18",4.011071,3.517854,4.147912,213,284,273,0.334188666666667,3.898036,4.946809,4.114577,195,202,135,0.774971333333333,0.75166772646469
"ABHD2",13.588883,13.921576,10.695473,1685,2486,2111,13.6114336666667,24.811763,18.501694,16.975591,1534,1881,1288,18.620664,0.744696186972401
"ABHD3",1.597983,1.039653,1.180823,33,27,32,119.859511333333,2.112366,4.383957,4.812756,34,41,40,113.561289333333,1.05497687776256
"ABHD4",25.455379,4.883742,6.507743,182,133,112,2.82895033333333,5.832204,5.914283,14.836758,103,107,75,4.12357966666667,0.747319370916389
"ABHD5",10.403327,7.362645,6.909279,314,407,402,29.3573956666667,6.272151,9.717485,9.994526,224,264,185,34.890834,0.845825863691734
"ABHD6",11.668832,13.764524,17.829011,180,342,395,5.16011933333333,12.738211,13.156293,8.173231,201,211,124,2.239496,1.90156719851895
"ABHD8",9.661101,10.705984,15.55678,265,375,569,0.081767,7.19407,9.390167,9.704944,145,236,124,0.103042,0.98071242980775
"ABI1",25.555257,19.141618,16.288946,935,970,821,89.80118,19.731057,19.365981,20.50402,618,612,424,74.8551316666667,1.19703410968966
"ABI2",43.432644,40.900572,32.384224,3163,4154,3817,21.6859713333333,50.424881,51.894418,63.248999,3251,3183,2502,23.8258956666667,0.91380273396514
"ABI3",0.107534,0.068506,0,1,1,0,8.975152,0,0.209091,0.075429,0,3,1,19.957815,0.475963357821414
"ABI3BP",1.876574,1.343379,0.53984,21,26,23,15.1036916666667,0.99652,1.116168,1.795284,15,18,16,15.1482843333333,0.99723855081158
"ABITRAM",8.026917,12.043578,11.681156,142,241,232,8.31248266666667,12.878776,15.022405,19.706706,130,158,143,9.75406533333333,0.865949980590286
"ABL1",18.289946,25.341736,17.462119,1256,2037,1573,6.67407733333333,23.387004,25.535463,27.529949,995,1264,955,3.58069533333333,1.6753083920447
"ABL2",4.651018,3.942953,3.604234,834,1003,998,0,4.876134,5.408775,4.808567,785,862,542,0,1
"ABLIM1",78.965193,95.017141,84.824801,7302,12899,12481,1.91552333333333,100.860799,75.151885,120.837451,7750,6453,5627,2.363428,0.866830903867523
"ABLIM2",29.024891,22.325349,27.889239,811,842,921,50.140693,19.980956,30.901303,25.59889,462,672,364,50.8898673333333,0.985562222995855
"ABLIM3",59.162438,43.070208,35.850085,2210,2652,2304,5.862563,48.422608,52.934019,47.138285,1626,2148,1222,6.19063333333333,0.954375321598932
"ABO",0.94183,1.656334,1.424069,43,107,83,112.418891,0.839964,0.413628,1.770949,23,39,31,151.788392,0.742326622561745
"ABR",475.702567,515.55903,441.250144,3442,4631,4703,1236.327264,591.586845,672.731938,685.513728,3340,3625,3006,1389.66802333333,0.889735899035209
"ABRA",0.023562,0,0.016861,1,0,1,2872.900966,0.028665,0.053548,0.080009,1,2,2,535.157017,5.36018530929718
"ABRACL",17.048097,16.217016,13.732567,152,196,170,8.861323,19.223716,14.20645,19.051796,138,111,99,11.5527636666667,0.785589792165555
"ABRAXAS1",2.109371,2.159075,1.935205,56,86,86,6.40802166666667,4.102444,3.794132,3.584166,77,83,56,0.999892666666667,3.70420962591659
"ABRAXAS2",10.186842,8.464947,8.190416,471,532,542,50.0583233333333,9.187908,9.791007,10.77312,353,405,295,35.14397,1.41263738690944
"ABT1",3.263841,4.270345,3.155402,152,271,212,0.763368333333333,4.88843,4.285503,5.231131,188,179,143,2.10201733333333,0.568458568681972
"ABTB1",3.761994,3.647191,4.428543,98,109,136,13.421852,2.982307,4.057105,10.245762,62,115,92,8.11133266666667,1.58284770489849
"ABTB2",1.172037,1.371578,1.223632,92,149,130,0.025777,1.344934,1.96267,3.69669,85,140,90,0,1.025777
"ACAA1",39.895704,46.043135,40.381622,585,998,977,10.1953486666667,46.486176,54.061449,53.958237,591,740,475,11.3941106666667,0.903279708222712
"ACAA2",13.144815,9.897038,9.823666,271,275,335,67.633482,7.463552,10.616386,8.612113,146,199,117,87.1742526666667,0.778384618233869
"ACACA",100.200507,77.444775,45.429501,3946,4127,3502,0.778626333333333,87.127535,78.297049,72.405289,3380,3012,2176,1.909915,0.611229652183426
"ACACB",5.011705,4.261474,2.549066,60,56,49,1.25951366666667,3.694984,3.933355,3.564281,62,63,54,1.682011,0.842469947612693
"ACAD10",12.856185,11.636386,10.582543,221,279,250,2.986488,11.611479,11.630295,14.269463,185,171,157,11.8460196666667,0.310328654590518
"ACAD11",18.399625,10.629317,9.67092,358,253,310,18.472337,6.956361,6.78533,9.702243,123,171,123,28.4638313333333,0.660889508214444
"ACAD8",23.137744,24.865645,22.47821,569,801,726,0.327960666666667,28.56967,26.216904,35.090426,521,559,449,0.17684,1.12841224522167
"ACAD9",17.669058,19.626573,12.870046,447,569,481,0.0680793333333333,16.730664,15.138342,15.036653,348,375,288,0.081864,0.987258410792238
"ACADL",0.160831,0.314712,0.317482,8,12,13,15.6034853333333,0.288112,0.704497,0.707281,9,17,9,18.6455233333333,0.845153628723219
"ACADM",31.655912,30.807253,30.544017,568,773,686,0.0485666666666667,34.991444,30.116255,36.311604,538,526,442,0.361587666666667,0.770105878847806
"ACADS",3.004861,4.19166,2.473391,78,146,97,17.87264,1.771714,2.673468,3.757556,38,59,46,28.0018226666667,0.650739790285365
"ACADSB",3.572105,3.466148,3.181139,336,406,350,0.225601,5.696079,5.142362,5.947202,415,396,308,2.81618,0.321159117232416
"ACADVL",223.022625,188.605112,238.198574,1342,1537,1988,13.334388,236.028354,256.563668,245.533457,1257,1410,953,17.6677166666667,0.767870450144322
"ACAN",0.292759,0.315011,0.284229,25,26,39,3.637669,0.108891,0.370897,0.103268,8,10,6,3.98894966666667,0.929588252009491
"ACAP1",11.286318,12.913279,6.490646,45,54,54,2.00352533333333,9.140538,8.118628,5.692809,23,41,22,0.258482,2.38662558013014
"ACAP2",11.321554,4.989484,5.03907,561,490,425,44.8669356666667,19.442193,11.477702,6.945933,361,356,272,59.4039493333333,0.759336701869516
"ACAP3",201.068487,222.065102,155.227804,2075,3473,3111,0.140081666666667,237.983872,241.790025,300.03488,2282,2631,2345,0.231756,0.925574274991692
"ACAT1",109.114332,109.952951,112.925312,760,1074,1157,4.86418666666667,122.137156,118.34408,129.991315,655,741,527,6.29316433333333,0.804066163690356
"ACAT2",119.603573,70.690947,60.766009,2428,1983,1817,33.018719,150.038137,113.788996,97.188096,2596,2136,1199,33.8141496666667,0.977152086887583
"ACBD3",65.899098,64.268898,51.033552,1039,1267,1242,98.9542496666667,55.57853,50.960754,31.733687,687,749,476,93.2477886666667,1.06054742589434
"ACBD3.AS1",0.205463,0.151175,0,1,1,0,62.1753933333333,0.246714,0.456368,0.347351,1,2,1,87.694707,0.712279181815588
"ACBD4",3.64765,3.399864,4.113433,75,106,119,12.0986113333333,2.513592,3.070246,3.546908,36,57,47,13.9484343333333,0.876253060437567
"ACBD5",28.434973,21.567845,22.642447,1235,1449,1480,45.053605,22.086031,24.008406,24.78825,786,939,654,58.196314,0.777980956719704
"ACBD6",45.008644,45.056697,44.61445,636,975,991,0.246467,44.648742,40.179244,47.697377,561,617,466,0.328216333333333,0.938451793370006
"ACBD7",1.034596,0.949647,0.691054,40,52,53,6.32523966666667,1.043718,2.012931,2.647439,46,68,57,10.4382076666667,0.640418488642582
"ACCS",5.273883,5.411674,5.203006,72,100,76,4.16365833333333,2.852259,6.929111,6.720408,40,71,38,5.38913033333333,0.808194239894204
"ACCSL",0,0,0,0,0,0,0,0,0.041683,0,0,1,0,0.0218153333333333,0.978650414980398
"ACD",12.408905,8.62736,10.509139,165,217,228,8.747789,10.823814,17.900748,15.750557,143,186,143,14.7655226666667,0.618297864656903
"ACE",5.405634,2.557996,4.848241,108,104,195,8.71978533333333,7.650195,4.932748,4.196313,104,116,46,7.34964133333333,1.16409615039752
"ACE2",0.05341,0,0.099057,1,0,1,0.112139,0.257103,0.077158,0.190801,1,1,1,0.266672333333333,0.878000545787032
"ACER1",0.145606,0.072291,0.066789,3,2,2,0,0.061841,0,0.249022,1,0,3,0,1
"ACER2",0.989215,1.238033,0.764366,43,73,48,97.1317866666667,1.702671,1.924675,1.809561,61,75,46,90.6698553333333,1.07049134429018
"ACER3",5.100368,4.487993,5.453281,507,602,712,2.69759466666667,5.618697,5.605735,6.031901,410,489,347,1.13353,1.7330877309748
"ACHE",150.826048,123.139185,143.64468,4252,4881,6215,40.6284346666667,123.812487,148.175891,116.216143,2791,3847,1730,34.2847416666667,1.17978572891162
"ACIN1",80.771096,83.773455,54.064282,1809,2688,1954,6.59116366666667,89.895784,89.267185,92.097629,1572,1683,1229,9.22705566666667,0.742262867641247
"ACKR1",5.527193,8.511619,6.913666,150,313,243,202.534186,9.846748,12.019005,14.314649,231,292,219,243.496532666667,0.832462463905316
"ACKR2",0.648149,0.227417,0.267559,15,14,12,0.24665,0.432002,0.122803,0.473199,14,5,6,0.588990666666667,0.784554639716785
"ACKR3",1.953183,0.627658,0.254604,33,11,7,9.87020466666667,0,0.074184,0.633304,0,2,7,10.1824796666667,0.972074619466482
"ACKR4",0.058436,0.043248,0,2,2,0,65.848697,0.106321,0,0,3,0,0,80.0208846666667,0.825079820777403
"ACLY",258.665498,200.768091,176.389823,8902,9754,9291,0,254.093676,248.408509,244.338036,6921,7108,4396,0.0215826666666667,0.97887330377571
"ACMSD",0.069346,0.050982,0.281347,2,2,7,1.74516333333333,0.255707,0.275251,0.059046,1,2,1,3.448074,0.617157748124994
"ACO1",12.481148,12.32891,11.425298,956,1358,1328,5.02109066666667,9.414829,8.829655,9.906688,628,626,488,5.19530633333333,0.971879410428938
"ACO2",69.325062,71.569862,65.685688,2171,3126,3037,5.951061,76.722101,90.811985,92.660824,1805,2351,1468,6.22008466666667,0.962739541281464
"ACOD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1",2.514575,1.663513,2.042674,51,52,55,0.020844,2.580575,3.185492,1.979403,39,58,23,0,1.020844
"ACOT11",1.059936,0.383645,0.558014,60,46,67,0.260889666666667,0.582734,0.576701,0.609753,40,51,26,0.104451666666667,1.14164313814849
"ACOT12",0.137311,0.78691,0.64326,4,17,11,25.126856,0.331608,0.188218,0.467097,5,2,2,24.8123303333333,1.01218509381389
"ACOT13",14.096614,5.754241,11.441671,306,262,371,0,4.473594,5.647834,5.032359,165,201,127,0,1
"ACOT2",9.413227,10.383521,11.05022,97,146,165,0.319983333333333,14.610747,12.124256,16.719956,110,123,100,2.16443566666667,0.417130721675808
"ACOT4",0.689296,0.540441,0.531756,24,26,28,6.764273,0.210825,0.819407,0.499504,6,26,10,9.039828,0.773347212721174
"ACOT6",0.172208,0.138878,0.065032,2,2,1,8.074458,0.113721,0.104565,0.160646,1,1,1,3.375098,2.07411536838718
"ACOT7",144.140782,166.680788,158.146086,2648,4286,4367,82.8537123333333,141.034258,158.621084,147.569266,2164,2658,1722,98.3865763333333,0.843712656446639
"ACOT8",21.302306,21.395702,21.651743,347,511,489,14.0888376666667,15.109551,19.026084,18.961389,206,295,187,15.260072,0.927968687141525
"ACOT9",15.355328,9.120068,8.944808,361,377,386,39.1634526666667,19.733347,15.220957,15.831859,376,398,279,35.6773823333333,1.09504686843928
"ACOX1",32.7541,26.088828,22.676301,735,866,739,23.4476393333333,26.69153,36.454793,34.43575,665,715,462,26.745508,0.881138645337953
"ACOX2",0.363302,0.170177,0,2,1,0,52.27467,0,0.720589,0,0,2,0,57.9517596666667,0.903699402718988
"ACOX3",12.315552,13.017171,11.277513,264,352,310,17.552448,9.956542,12.099373,8.284384,181,210,142,15.4454126666667,1.12812298335353
"ACOXL",0.066887,0.263478,0.058643,2,6,3,2.92647966666667,0.165362,0.317846,0.200234,4,5,4,0.798546666666667,2.18314027622302
"ACOXL.AS1",0.276588,0.236611,0.059776,4,6,4,0,0.133131,0.04982,0.073672,5,2,2,0,1
"ACP1",61.38661,54.776346,47.901782,891,1273,1150,28.7068843333333,61.586263,66.10944,74.714785,798,920,684,37.79657,0.765709039055085
"ACP2",93.073029,93.19527,67.827959,600,764,662,0.362774666666667,115.861262,97.504509,108.715051,595,540,395,0.343451333333333,1.01438335193385
