"Hs_symbol","Heart","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ABHD8",0.37952,0.37952,7.19407,9.390167,9.704944,8.76306033333333,145,236,124,0.141299956458325
"ABI1",24.88408,24.88408,19.731057,19.365981,20.50402,19.8670193333333,618,612,424,1.24043015375235
"ABI2",57.51043,57.51043,50.424881,51.894418,63.248999,55.1894326666667,3251,3183,2502,1.0413066518593
"ABI3",1.26508,1.26508,0,0.209091,0.075429,0.09484,0,3,1,2.06886851046728
"ABI3BP",33.27154,33.27154,0.99652,1.116168,1.795284,1.30265733333333,15,18,16,14.8834737604611
"ABL1",13.83995,13.83995,23.387004,25.535463,27.529949,25.4841386666667,995,1264,955,0.560333495711446
"ABL2",3.52957,3.52957,4.876134,5.408775,4.808567,5.03115866666667,785,862,542,0.751028160647517
"ABLIM1",752.16463,752.16463,100.860799,75.151885,120.837451,98.950045,7750,6453,5627,7.53541061437241
"ABLIM2",7.41336,7.41336,19.980956,30.901303,25.59889,25.4937163333333,462,672,364,0.317560582824488
"ABLIM3",133.68077,133.68077,48.422608,52.934019,47.138285,49.498304,1626,2148,1222,2.66703551073715
"ABO",0.17711,0.17711,0.839964,0.413628,1.770949,1.00818033333333,23,39,31,0.586157518058222
"ABR",99.67548,99.67548,591.586845,672.731938,685.513728,649.944170333333,3340,3625,3006,0.154660698395143
"ABRA",26.17446,26.17446,0.028665,0.053548,0.080009,0.054074,1,2,2,25.7804101040344
"ABRACL",12.22065,12.22065,19.223716,14.20645,19.051796,17.4939873333333,138,111,99,0.71486206634149
"ABT1",6.18623,6.18623,4.88843,4.285503,5.231131,4.801688,188,179,143,1.23864468409883
"ABTB1",4.75669,4.75669,2.982307,4.057105,10.245762,5.76172466666667,62,115,92,0.851364153938241
"ABTB2",9.24772,9.24772,1.344934,1.96267,3.69669,2.33476466666667,85,140,90,3.07299645532208
"ACAA1",53.95557,53.95557,46.486176,54.061449,53.958237,51.501954,591,740,475,1.04673380346949
"ACAA2",464.92872,464.92872,7.463552,10.616386,8.612113,8.89735033333333,146,199,117,47.0761066657201
"ACACA",12.71403,12.71403,87.127535,78.297049,72.405289,79.2766243333333,3380,3012,2176,0.170834662193257
"ACACB",82.2427,82.2427,3.694984,3.933355,3.564281,3.73087333333333,62,63,54,17.5956306869345
"ACAD10",36.26978,36.26978,11.611479,11.630295,14.269463,12.5037456666667,185,171,157,2.75995867516956
"ACAD11",82.07824,82.07824,6.956361,6.78533,9.702243,7.81464466666667,123,171,123,9.42502427967034
"ACAD8",42.62047,42.62047,28.56967,26.216904,35.090426,29.959,521,559,449,1.40897541910268
"ACAD9",27.40158,27.40158,16.730664,15.138342,15.036653,15.6352196666667,348,375,288,1.70731619834937
"ACADL",2.37835,2.37835,0.288112,0.704497,0.707281,0.56663,9,17,9,2.15644408698927
"ACADM",605.13729,605.13729,34.991444,30.116255,36.311604,33.8064343333333,538,526,442,17.4145183673559
"ACADS",4.26331,4.26331,1.771714,2.673468,3.757556,2.734246,38,59,46,1.4094706133447
"ACADSB",53.39893,53.39893,5.696079,5.142362,5.947202,5.59521433333333,415,396,308,8.24824293049258
"ACADVL",1863.68724,1863.68724,236.028354,256.563668,245.533457,246.041826333333,1257,1410,953,7.54806288342436
"ACAN",0.48073,0.48073,0.108891,0.370897,0.103268,0.194352,8,10,6,1.23977688319691
"ACAP1",2.32774,2.32774,9.140538,8.118628,5.692809,7.65065833333333,23,41,22,0.384680549360887
"ACAP2",9.82965,9.82965,19.442193,11.477702,6.945933,12.6219426666667,361,356,272,0.795015091826844
"ACAP3",3.95969,3.95969,237.983872,241.790025,300.03488,259.936259,2282,2631,2345,0.0190072856068654
"ACAT1",1020.66473,1020.66473,122.137156,118.34408,129.991315,123.490850333333,655,741,527,8.20674553402453
"ACAT2",7.69167,7.69167,150.038137,113.788996,97.188096,120.338409666667,2596,2136,1199,0.0716316459386374
"ACBD3",32.47455,32.47455,55.57853,50.960754,31.733687,46.0909903333333,687,749,476,0.710848291001114
"ACBD4",2.70727,2.70727,2.513592,3.070246,3.546908,3.043582,36,57,47,0.916828198364717
"ACBD5",76.06913,76.06913,22.086031,24.008406,24.78825,23.6275623333333,786,939,654,3.12938523743729
"ACBD6",51.90614,51.90614,44.648742,40.179244,47.697377,44.175121,561,617,466,1.17113443924146
"ACBD7",0.13916,0.13916,1.043718,2.012931,2.647439,1.90136266666667,46,68,57,0.392629302461096
"ACCS",14.88997,14.88997,2.852259,6.929111,6.720408,5.50059266666667,40,71,38,2.44438789119638
"ACCSL",0,0,0,0.041683,0,0.0138943333333333,0,1,0,0.986296073588208
"ACD",0.54398,0.54398,10.823814,17.900748,15.750557,14.8250396666667,143,186,143,0.0975656322209534
"ACE",3.12474,3.12474,7.650195,4.932748,4.196313,5.59308533333333,104,116,46,0.625616049461112
"ACE2",58.85142,58.85142,0.257103,0.077158,0.190801,0.175020666666667,1,1,1,50.9364828193093
"ACE3P",0,0,0,0.036847,0,0.0122823333333333,0,1,0,0.987866691999959
"ACER1",0,0,0.061841,0,0.249022,0.103621,1,0,3,0.906108165756179
"ACER2",1.63195,1.63195,1.702671,1.924675,1.809561,1.81230233333333,61,75,46,0.935870218789895
"ACER3",7.31215,7.31215,5.618697,5.605735,6.031901,5.752111,410,489,347,1.23104463181959
"ACHE",0.20241,0.20241,123.812487,148.175891,116.216143,129.401507,2791,3847,1730,0.00922082902002045
"ACIN1",105.63399,105.63399,89.895784,89.267185,92.097629,90.4201993333333,1572,1683,1229,1.1664160741019
"ACLY",22.50573,22.50573,254.093676,248.408509,244.338036,248.946740333333,6921,7108,4396,0.0940429547856969
"ACMSD",0.18976,0.18976,0.255707,0.275251,0.059046,0.196668,1,2,1,0.994227304482112
"ACO1",76.4613,76.4613,9.414829,8.829655,9.906688,9.383724,628,626,488,7.45987663000288
"ACO2",389.11261,389.11261,76.722101,90.811985,92.660824,86.7316366666667,1805,2351,1468,4.44665829593741
"ACOT1",5.59164,5.59164,2.580575,3.185492,1.979403,2.58182333333333,39,58,23,1.84030293695855
"ACOT11",13.32127,13.32127,0.582734,0.576701,0.609753,0.589729333333333,40,51,26,9.00862159344526
"ACOT12",0,0,0.331608,0.188218,0.467097,0.328974333333333,5,2,2,0.752459979788925
"ACOT13",205.92936,205.92936,4.473594,5.647834,5.032359,5.05126233333333,165,201,127,34.1960649863304
"ACOT2",29.46366,29.46366,14.610747,12.124256,16.719956,14.4849863333333,110,123,100,1.9673029955747
"ACOT4",1.16387,1.16387,0.210825,0.819407,0.499504,0.509912,6,26,10,1.43311000906013
"ACOT6",0,0,0.113721,0.104565,0.160646,0.126310666666667,1,1,1,0.887854505506474
"ACOT7",1.83436,1.83436,141.034258,158.621084,147.569266,149.074869333333,2164,2658,1722,0.0188863066320888
"ACOT8",13.29597,13.29597,15.109551,19.026084,18.961389,17.699008,206,295,187,0.764530931266514
"ACOT9",106.24123,106.24123,19.733347,15.220957,15.831859,16.928721,376,398,279,5.98153264809018
"ACOX1",34.67578,34.67578,26.69153,36.454793,34.43575,32.5273576666667,665,715,462,1.06407967948722
"ACOX2",92.35068,92.35068,0,0.720589,0,0.240196333333333,0,2,0,75.2708885609241
"ACOX3",7.42601,7.42601,9.956542,12.099373,8.284384,10.113433,181,210,142,0.758182462610788
"ACOXL",0,0,0.165362,0.317846,0.200234,0.227814,4,5,4,0.814455609725903
"ACP1",107.3545,107.3545,61.586263,66.10944,74.714785,67.4701626666667,798,920,684,1.58250682895997
"ACP2",15.85142,15.85142,115.861262,97.504509,108.715051,107.360274,595,540,395,0.155512895805339
"ACP5",3.2639,3.2639,0.900021,1.872376,0.519606,1.09733433333333,4,9,1,2.03300920231602
"ACP6",12.65078,12.65078,5.681603,4.537779,4.413437,4.87760633333333,128,125,95,2.32250668483582
"ACR",0.46808,0.46808,0,0.561401,0,0.187133666666667,0,4,0,1.23665939331179
"ACRBP",1.01206,1.01206,0.871936,1.387368,0.356541,0.871948333333333,8,10,2,1.0748480415681
"ACRV1",0.13916,0.13916,0.419432,0.594965,0.365907,0.460101333333333,5,9,3,0.780192425000639
"ACSBG1",136.09706,136.09706,0.253329,0.789068,1.028992,0.690463,21,18,25,81.1003021065826
"ACSBG2",0.16446,0.16446,0.326791,0.354839,0.057953,0.246527666666667,2,2,1,0.934162980203943
"ACSF2",23.65695,23.65695,0.770281,0.767876,3.321446,1.61986766666667,2,5,7,9.41152498414996
"ACSF3",9.56399,9.56399,15.821189,18.561092,20.415246,18.2658423333333,217,288,178,0.5483274396844
"ACSL1",696.3241,696.3241,62.19037,73.44608,83.471369,73.0359396666667,894,1047,659,9.41872424581325
"ACSL3",49.31273,49.31273,130.996535,121.985228,113.197501,122.059754666667,2784,3004,2053,0.40884796281516
"ACSL4",42.81023,42.81023,61.049607,65.37075,77.690858,68.0370716666667,3385,3357,2270,0.634589923100012
"ACSL5",14.33333,14.33333,0.344508,0.341116,0.484939,0.390187666666667,7,4,5,11.0296835223446
"ACSL6",3.50427,3.50427,16.646079,21.155853,18.209522,18.6704846666667,1030,1182,804,0.228986223589746
"ACSM1",0.70844,0.70844,0.124507,0.048926,0,0.057811,1,1,0,1.6150711232914
"ACSM2A",0.17711,0.17711,2.771496,1.037998,0.161293,1.32359566666667,12,12,4,0.506589858505216
"ACSM2B",0.51868,0.51868,0.143928,1.678159,1.180417,1.00083466666667,5,15,6,0.759023234303551
"ACSM3",75.80346,75.80346,3.546028,4.370048,3.432423,3.782833,37,79,10,16.0581521453917
"ACSM4",0,0,0.149807,0.241539,0.10526,0.165535333333333,4,7,2,0.857974847609367
"ACSM5",1.12592,1.12592,0,0.179494,0,0.0598313333333333,0,2,0,2.00590408410898
"ACSS1",86.78433,86.78433,0.066638,0.220548,0.348834,0.212006666666667,3,9,8,72.428916782636
"ACSS2",127.14031,127.14031,148.399461,146.694353,101.822483,132.305432333333,739,725,433,0.96125347449894
"ACSS3",33.436,33.436,0.627096,0.612727,1.358752,0.866191666666667,13,15,29,18.452552658489
"ACTA1",2743.75123,2743.75123,0.242012,0.585729,0.672663,0.500134666666667,3,10,8,1829.66988963657
"ACTA2",189.23033,189.23033,2.655925,3.057572,5.813821,3.84243933333333,28,47,56,39.283988276432
"ACTB",881.43027,881.43027,2178.850167,2041.670166,2557.016143,2259.17882533333,20799,21935,16943,0.390424978815496
"ACTBL2",0,0,0.259337,0.108094,0,0.122477,9,4,0,0.890886851133698
"ACTBP1",0,0,0,0,0.113546,0.0378486666666667,0,0,1,0.96353161315105
"ACTBP12",0,0,0,0,0,0,0,0,0,1
"ACTC1",12463.16647,12463.16647,0.551692,0.56988,1.037101,0.719557666666667,8,10,7,7248.47250639845
"ACTG1",170.15296,170.15296,1435.350734,1536.991071,1807.979395,1593.4404,23732,27012,21393,0.107343592146812
"ACTG1P10",0.17711,0.17711,0,0.152769,0.117731,0.0901666666666667,0,2,1,1.07975233144779
"ACTG2",4.54163,4.54163,0.239946,0.184371,2.284464,0.902927,2,2,27,2.91216110759898
"ACTL10",0.08856,0.08856,0.141201,0.158296,0.137933,0.14581,3,4,2,0.950035346174322
"ACTL6A",42.96204,42.96204,67.288182,35.925033,85.845286,63.0195003333333,123,104,102,0.686697643235277
"ACTL6B",0,0,154.861852,109.866441,166.128293,143.618862,576,645,448,0.00691472734725295
"ACTL7A",0,0,0,0,0.078863,0.0262876666666667,0,0,1,0.974385674192064
"ACTL7B",0,0,0,0,0.088939,0.0296463333333333,0,0,1,0.971207265666301
"ACTL8",0,0,0.049515,0,0,0.016505,1,0,0,0.983762991820011
"ACTL9",0,0,0,0,0,0,0,0,0,1
"ACTN1",35.48543,35.48543,42.915893,53.04208,30.351943,42.1033053333333,709,901,468,0.846464783102945
"ACTN2",1533.36279,1533.36279,10.431195,12.550374,2.658834,8.546801,163,226,63,160.720097758401
"ACTN4",49.46454,49.46454,88.341101,89.90874,113.006576,97.0854723333333,944,1111,817,0.514495559836848
"ACTN4P1",0,0,0,0,0.16696,0.0556533333333333,0,0,2,0.94728067294819
"ACTR10",210.81256,210.81256,175.090819,207.781083,223.094765,201.988889,1347,1561,1119,1.04346873882343
"ACTR1A",83.50778,83.50778,135.467299,131.59114,164.703958,143.920799,3143,3440,2547,0.583130789942719
"ACTR1B",20.64607,20.64607,28.348357,31.987461,34.845941,31.727253,679,815,581,0.661408093126545
"ACTR2",93.84347,93.84347,90.130579,85.113097,98.337326,91.1936673333333,4098,3983,3193,1.02874169933046
"ACTR3",104.47012,104.47012,83.778842,80.647357,87.559013,83.9950706666667,1903,1958,1481,1.24089690346435
"ACTR3B",13.92851,13.92851,23.73554,20.329805,21.54651,21.8706183333333,309,312,235,0.652737489753046
"ACTR3BP2",0,0,0,0,0,0,0,0,0,1
"ACTR3C",3.90909,3.90909,0.030079,0.14202,0.021249,0.0644493333333333,2,4,1,4.61185877643151
"ACTR3P2",0,0,0,0,0,0,0,0,0,1
"ACTR5",3.65607,3.65607,2.282428,2.070326,3.460384,2.60437933333333,72,72,77,1.29178134968776
"ACTR6",30.9944,30.9944,24.835879,26.636835,23.772285,25.0816663333333,388,418,287,1.2267007633293
"ACTR6P1",0,0,0,0,0,0,0,0,0,1
"ACTR8",19.38099,19.38099,23.771453,22.759294,31.53109,26.0206123333333,450,503,352,0.754275652549053
"ACTRT1",0,0,0,0,0.167548,0.0558493333333333,0,0,2,0.947104826825039
"ACTRT2",0,0,0,0,0,0,0,0,0,1
"ACTRT3",1.25243,1.25243,1.443018,1.511988,0.769716,1.241574,29,33,11,1.0048430254812
"ACVR1",23.97322,23.97322,6.034686,8.207685,6.259893,6.834088,217,313,134,3.18776352780311
"ACVR1B",10.04472,10.04472,55.209179,56.089019,59.415097,56.9044316666667,1548,1896,1377,0.190740495711626
"ACVR1C",0.0759,0.0759,0.137088,0.073565,0.237864,0.149505666666667,13,9,9,0.935967547789383
"ACVR2A",7.17299,7.17299,25.003915,23.782342,23.796881,24.1943793333333,1564,1417,966,0.324397354341123
"ACVR2B",0.0506,0.0506,6.214092,4.560656,8.131002,6.30191666666667,990,790,922,0.143880031498579
"ACVRL1",13.16946,13.16946,2.000151,0.803904,0.719904,1.174653,17,40,28,6.51573377453782
"ACY1",5.02236,5.02236,10.842162,5.437314,8.266339,8.18193833333333,50,52,41,0.655892011182098
"ACY3",0,0,0,0,0,0,0,0,0,1
"ACYP1",40.39393,40.39393,24.106168,34.772803,28.12398,29.0009836666667,116,175,91,1.37975242611767
"ACYP2",157.43893,157.43893,20.955971,15.854271,16.292319,17.7008536666667,172,145,100,8.47228328845808
"ADA",5.95852,5.95852,0.922875,1.829261,0.70398,1.15203866666667,13,16,8,3.23345491313973
"ADAD1",0.0506,0.0506,0,0,0,0,0,0,0,1.0506
"ADAD2",0,0,0,0.258936,0.627989,0.295641666666667,0,1,3,0.771818339690115
"ADAL",43.1518,43.1518,9.378484,7.193559,10.742324,9.104789,227,237,166,4.3693935618052
"ADAM10",30.8426,30.8426,34.061006,24.686719,34.283331,31.010352,691,616,515,0.994759445319439
"ADAM11",0.64519,0.64519,23.644833,33.066844,44.802479,33.838052,1084,1499,1443,0.0472239377792995
"ADAM12",0.08856,0.08856,8.973317,5.716452,10.949544,8.54643766666667,581,454,513,0.114027874900491
"ADAM15",10.82907,10.82907,18.903104,21.508581,19.628954,20.0135463333333,201,239,154,0.562925924656316
"ADAM17",16.67372,16.67372,9.86407,13.149275,14.571838,12.5283943333333,391,394,303,1.30641667921024
"ADAM18",0,0,0,0,0,0,0,0,0,1
"ADAM19",8.9188,8.9188,18.28921,16.943459,15.284239,16.8389693333333,1567,1633,872,0.556018669837951
"ADAM1B",5.26272,5.26272,0.801417,0.629309,0.734751,0.721825666666667,20,17,13,3.63725557194428
"ADAM2",0,0,0,0,0,0,0,0,0,1
"ADAM20",0.21506,0.21506,0.055566,0.051316,0.039092,0.048658,2,2,1,1.15868090454657
"ADAM20P3",0,0,0,0,0,0,0,0,0,1
"ADAM21",0.44278,0.44278,0.175871,0.28972,0.247976,0.237855666666667,6,11,6,1.16554784119958
"ADAM21P1",0.08856,0.08856,0,0.045823,0,0.0152743333333333,0,1,0,1.07218311766639
"ADAM22",2.3657,2.3657,14.849654,14.25824,14.463086,14.52366,1382,1676,1175,0.216810984007637
"ADAM23",83.65959,83.65959,30.45531,32.68447,48.390528,37.1767693333333,1224,1432,1029,2.21756820910671
"ADAM24P",0,0,0,0,0,0,0,0,0,1
"ADAM28",3.2892,3.2892,0.264589,0.406801,0.059004,0.243464666666667,8,6,4,3.44939435351869
"ADAM29",0,0,0.651684,0.674166,0.788744,0.704864666666667,24,20,14,0.586556821518971
"ADAM30",0,0,0,0,0,0,0,0,0,1
"ADAM32",0.54398,0.54398,0.915902,4.743727,0.839031,2.16622,58,83,36,0.487641414683755
"ADAM33",8.48867,8.48867,0.541507,0.630154,0.831368,0.667676333333333,18,23,18,5.68975514633235
"ADAM3A",0,0,0,0.22629,0.585903,0.270731,0,4,5,0.786948614616311
"ADAM3B",0,0,0,0,0,0,0,0,0,1
"ADAM5",0,0,0,0,0.408493,0.136164333333333,0,0,1,0.88015436734064
"ADAM6",0,0,0,0,0,0,0,0,0,1
"ADAM7",0,0,0.067906,0.02098,0.122618,0.0705013333333333,3,1,3,0.934141760371465
