"Hs_symbol","DRG","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"AB019441.29",7.86136,7.86136,1.55172,1.55172,3.47270076654178
"ABAT",14.94912,14.94912,65.91687,65.91687,0.238342289470503
"ABC11-48400900C8.1",0.08363,0.08363,0,0,1.08363
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",18.97388,18.97388,22.93435,22.93435,0.834527781201495
"ABCA1",3.21981,3.21981,3.19653,3.19653,1.00554744038527
"ABCA10",17.14445,17.14445,3.38274,3.38274,4.13997864349699
"ABCA11P",2.91665,2.91665,4.59308,4.59308,0.700267115793087
"ABCA12",0.04182,0.04182,0,0,1.04182
"ABCA13",0.31362,0.31362,0.43448,0.43448,0.91574647258937
"ABCA17P",3.9934,3.9934,11.82407,11.82407,0.38937716341224
"ABCA2",190.96195,190.96195,1386.02317,1386.02317,0.13839851716392
"ABCA3",75.62373,75.62373,35.31704,35.31704,2.10985614466377
"ABCA4",0.33453,0.33453,2.54481,2.54481,0.376474338540006
"ABCA5",12.96287,12.96287,14.95854,14.95854,0.87494658032627
"ABCA6",12.28337,12.28337,19.48954,19.48954,0.648300059444965
"ABCA7",45.76731,45.76731,38.79288,38.79288,1.17526828920149
"ABCA8",65.06526,65.06526,53.1928,53.1928,1.21907818012725
"ABCA9",5.22697,5.22697,5.27583,5.27583,0.992214575601952
"ABCB1",8.45723,8.45723,34.57222,34.57222,0.265859988496641
"ABCB10",3.61706,3.61706,5.12066,5.12066,0.754340218211762
"ABCB10P1",0.05227,0.05227,0.24827,0.24827,0.842982688040248
"ABCB10P3",0,0,0,0,1
"ABCB10P4",0.01045,0.01045,0,0,1.01045
"ABCB11",0,0,0,0,1
"ABCB4",0.57497,0.57497,4.43791,4.43791,0.289627816569233
"ABCB5",0.01045,0.01045,0.18621,0.18621,0.851830620210587
"ABCB6",58.67791,58.67791,28.7688,28.7688,2.00471332401709
"ABCB7",7.97635,7.97635,9.12409,9.12409,0.886632773908569
"ABCB8",33.23304,33.23304,16.97577,16.97577,1.90439908832834
"ABCB9",31.39315,31.39315,19.58265,19.58265,1.57380852319794
"ABCC1",3.54388,3.54388,4.2517,4.2517,0.865220785650361
"ABCC10",18.64981,18.64981,35.25497,35.25497,0.541989415520134
"ABCC11",0.16726,0.16726,1.45861,1.45861,0.474764196029464
"ABCC12",0.15681,0.15681,0.83793,0.83793,0.629409172275332
"ABCC13",0.35543,0.35543,0.49655,0.49655,0.90570311716949
"ABCC2",0.06272,0.06272,0.83793,0.83793,0.578215710065128
"ABCC3",1.82944,1.82944,9.86891,9.86891,0.260324172341109
"ABCC4",3.8575,3.8575,2.23447,2.23447,1.50179163819729
"ABCC5",25.43441,25.43441,21.22747,21.22747,1.18926760445521
"ABCC6",0.45997,0.45997,1.48965,1.48965,0.586415761251581
"ABCC6P1",0.07318,0.07318,0.62069,0.62069,0.662174752728776
"ABCC6P2",0.09409,0.09409,0,0,1.09409
"ABCC8",10.87209,10.87209,40.15839,40.15839,0.288448843601511
"ABCC9",0.7945,0.7945,2.14137,2.14137,0.571247576694245
"ABCD1",6.76369,6.76369,6.26893,6.26893,1.06806503845821
"ABCD1P2",0,0,0,0,1
"ABCD1P3",0,0,0,0,1
"ABCD1P4",0,0,0,0,1
"ABCD1P5",0,0,0,0,1
"ABCD2",1.589,1.589,0.62069,0.62069,1.59746774521963
"ABCD3",23.9395,23.9395,22.4378,22.4378,1.0640717132154
"ABCD4",25.36124,25.36124,114.29935,114.29935,0.228633032189687
"ABCE1",15.03275,15.03275,12.13441,12.13441,1.22066769653148
"ABCF1",40.28945,40.28945,29.32742,29.32742,1.36145606846873
"ABCF2",29.98187,29.98187,13.28268,13.28268,2.16919163630355
"ABCF3",62.56677,62.56677,52.78936,52.78936,1.18177219435219
"ABCG1",9.4399,9.4399,10.27236,10.27236,0.926150335865781
"ABCG2",4.96562,4.96562,26.44123,26.44123,0.217396231874446
"ABCG4",11.76067,11.76067,1.36551,1.36551,5.39446884604166
"ABCG5",0.09409,0.09409,0.06207,0.06207,1.03014867193311
"ABCG8",0.21953,0.21953,0,0,1.21953
"ABHD1",2.06988,2.06988,8.37926,8.37926,0.327305139211409
"ABHD10",33.57802,33.57802,12.59993,12.59993,2.54251455706022
"ABHD11",27.69246,27.69246,12.19648,12.19648,2.17425101239118
"ABHD12",152.8051,152.8051,242.09863,242.09863,0.6326860007397
"ABHD12B",1.73535,1.73535,3.19653,3.19653,0.651812330663667
"ABHD13",2.89574,2.89574,2.0793,2.0793,1.26513818075537
"ABHD14A",66.64381,66.64381,68.67892,68.67892,0.970793031809333
"ABHD14A-ACY1",2.09079,2.09079,2.66895,2.66895,0.842418130527808
"ABHD14B",32.82534,32.82534,19.67575,19.67575,1.63599095558807
"ABHD15",5.26878,5.26878,2.48274,2.48274,1.7999563562023
"ABHD16A",86.71535,86.71535,94.22016,94.22016,0.921184652493758
"ABHD16B",14.72959,14.72959,4.31377,4.31377,2.96015634850586
"ABHD2",40.91668,40.91668,5.2448,5.2448,6.71225339482449
"ABHD3",21.57691,21.57691,7.97582,7.97582,2.51530333718814
"ABHD4",20.10291,20.10291,24.02055,24.02055,0.843423106206698
"ABHD5",9.24127,9.24127,29.73087,29.73087,0.333256754527288
"ABHD6",13.96645,13.96645,34.57222,34.57222,0.420734213383365
"ABHD8",33.32713,33.32713,21.91022,21.91022,1.49833262186046
"ABI1",20.06109,20.06109,28.64467,28.64467,0.710451153613786
"ABI2",14.84458,14.84458,34.38601,34.38601,0.447763960955191
"ABI3",28.44514,28.44514,12.78613,12.78613,2.13585248361941
"ABI3BP",4.23384,4.23384,4.40687,4.40687,0.96799812090914
"ABL1",12.37745,12.37745,29.04811,29.04811,0.445201045922689
"ABL2",3.27208,3.27208,3.69308,3.69308,0.910293453339811
"ABLIM1",43.05974,43.05974,41.71011,41.71011,1.03159977813216
"ABLIM2",16.78901,16.78901,26.78261,26.78261,0.640292974634133
"ABLIM3",33.63029,33.63029,56.73071,56.73071,0.599859069808772
"ABO",0.56451,0.56451,1.36551,1.36551,0.661383803069951
"ABP1",0.08363,0.08363,0.06207,0.06207,1.02029998022729
"ABR",47.79537,47.79537,123.85792,123.85792,0.390807167058365
"ABRA",1.81898,1.81898,0.06207,0.06207,2.65423183029367
"ABRACL",15.0223,15.0223,5.05859,5.05859,2.64455921262208
"ABT1",17.48943,17.48943,4.43791,4.43791,3.40009856728044
"ABT1P1",0.01045,0.01045,0,0,1.01045
"ABTB1",128.13382,128.13382,48.9411,48.9411,2.58572238096478
"ABTB2",3.15709,3.15709,42.02045,42.02045,0.0966305559332829
"AC000041.8",0,0,0,0,1
"AC000059.1",0,0,0,0,1
"AC000077.2",0,0,0,0,1
"AC000078.5",0.10454,0.10454,0,0,1.10454
"AC000081.2",0,0,0,0,1
"AC000089.3",0.03136,0.03136,0.68275,0.68275,0.612901500519982
"AC000094.3",0.01045,0.01045,0,0,1.01045
"AC000110.1",0,0,0,0,1
"AC000111.4",0,0,0,0,1
"AC000111.5",0,0,0,0,1
"AC000362.1",0,0,0,0,1
"AC000367.1",0.01045,0.01045,0.15517,0.15517,0.874719738220349
"AC000374.1",0,0,0,0,1
"AC002055.4",30.77637,30.77637,19.36541,19.36541,1.56031084078347
"AC002056.3",0.2718,0.2718,0,0,1.2718
"AC002069.5",0.01045,0.01045,0,0,1.01045
"AC002069.6",0,0,0,0,1
"AC002075.3",0,0,0,0,1
"AC002075.4",0.39725,0.39725,3.04136,3.04136,0.345737573490112
"AC002076.9",0,0,0,0,1
"AC002127.2",0,0,0,0,1
"AC002128.4",0.04182,0.04182,0.34138,0.34138,0.776677749780077
"AC002310.10",0,0,0,0,1
"AC002310.11",0.61678,0.61678,0.93103,0.93103,0.837263015074856
"AC002310.13",0,0,0,0,1
"AC002310.17",0.19862,0.19862,0,0,1.19862
"AC002314.4",0,0,0,0,1
"AC002365.1",0.04182,0.04182,0,0,1.04182
"AC002366.3",0,0,0,0,1
"AC002398.9",1.34856,1.34856,10.7689,10.7689,0.199556458122679
"AC002400.1",0.03136,0.03136,0,0,1.03136
"AC002429.4",0,0,0,0,1
"AC002472.13",0.06272,0.06272,0.24827,0.24827,0.851354274315653
"AC002486.2",0,0,0,0,1
"AC002486.3",0,0,0,0,1
"AC002511.4",0,0,0.21724,0.21724,0.82153067595544
"AC002519.6",0,0,0.31034,0.31034,0.76316070638155
"AC002523.1",0,0,0,0,1
"AC002542.2",0,0,0,0,1
"AC002543.2",0,0,0,0,1
"AC002553.1",0,0,0,0,1
"AC002553.4",0,0,0,0,1
"AC002984.2",0,0,0,0,1
"AC002994.1",0,0,1.1793,1.1793,0.458862937640527
"AC003009.2",0,0,0,0,1
"AC003029.1",11.66659,11.66659,6.67238,6.67238,1.65093360860646
"AC003045.1",0,0,0,0,1
"AC003079.1",0,0,0,0,1
"AC003080.4",0,0,0,0,1
"AC003087.4",0,0,0,0,1
"AC003101.1",0.03136,0.03136,0,0,1.03136
"AC003102.1",0.01045,0.01045,0.31034,0.31034,0.771135735763237
"AC003682.1",0.05227,0.05227,0,0,1.05227
"AC003958.6",0,0,0,0,1
"AC003989.3",0,0,0,0,1
"AC003989.4",0,0,0,0,1
"AC004006.2",0,0,0,0,1
"AC004014.4",0,0,0,0,1
"AC004016.2",0,0,0,0,1
"AC004017.1",0.60633,0.60633,2.0793,2.0793,0.521654272074822
"AC004019.10",0.06272,0.06272,0,0,1.06272
"AC004022.7",0,0,0,0,1
"AC004022.8",0,0,0,0,1
"AC004057.1",18.30483,18.30483,0,0,19.30483
"AC004062.2",0,0,0,0,1
"AC004066.2",0.01045,0.01045,0,0,1.01045
"AC004069.1",0,0,0,0,1
"AC004074.3",1.60991,1.60991,0,0,2.60991
"AC004074.4",0,0,0,0,1
"AC004112.5",0,0,0,0,1
"AC004112.7",0.01045,0.01045,0,0,1.01045
"AC004129.7",0,0,0,0,1
"AC004129.9",0,0,0,0,1
"AC004148.1",1.57854,1.57854,8.93788,8.93788,0.259465801559286
"AC004152.5",4.69381,4.69381,8.81374,8.81374,0.580187573748642
"AC004159.1",0,0,0,0,1
"AC004161.4",0,0,0,0,1
"AC004166.6",1.90262,1.90262,2.73102,2.73102,0.777969563282963
"AC004166.7",1.93398,1.93398,11.88614,11.88614,0.227684939011993
"AC004258.1",86.02539,86.02539,19.48954,19.48954,4.2473081386893
"AC004381.6",1.9967,1.9967,3.01033,3.01033,0.747245239169844
"AC004383.3",0.26135,0.26135,0,0,1.26135
"AC004386.3",0,0,0,0,1
"AC004386.4",0,0,0,0,1
"AC004453.8",0.39725,0.39725,3.75515,3.75515,0.293839311062742
"AC004461.4",0.02091,0.02091,0.34138,0.34138,0.761089325918084
"AC004478.2",0,0,0,0,1
"AC004507.1",0.36589,0.36589,0,0,1.36589
"AC004510.2",0.14636,0.14636,0,0,1.14636
"AC004593.2",0.01045,0.01045,0,0,1.01045
"AC004659.1",0,0,0,0,1
"AC004692.5",0.12545,0.12545,0,0,1.12545
"AC004706.1",1.64127,1.64127,5.80342,5.80342,0.3882268035782
"AC004771.1",0.5227,0.5227,0,0,1.5227
"AC004790.4",0,0,0,0,1
"AC004790.5",0,0,0,0,1
"AC004797.1",2.81211,2.81211,0.21724,0.21724,3.13176530511649
"AC004832.1",0.09409,0.09409,0,0,1.09409
"AC004837.3",0.03136,0.03136,0.46551,0.46551,0.703755006789445
"AC004854.5",0.06272,0.06272,0,0,1.06272
"AC004866.1",0,0,0,0,1
"AC004866.3",0,0,0,0,1
"AC004870.5",0.07318,0.07318,0,0,1.07318
"AC004876.1",0.02091,0.02091,0,0,1.02091
"AC004878.3",0.29271,0.29271,0.58965,0.58965,0.813204164438713
"AC004878.5",0,0,0,0,1
"AC004878.6",0,0,0,0,1
"AC004889.1",0,0,0,0,1
"AC004893.10",0,0,0.27931,0.27931,0.781671369722741
"AC004894.2",0,0,0,0,1
"AC004899.3",0.02091,0.02091,0.12414,0.12414,0.908169800914477
"AC004907.2",0,0,0,0,1
"AC004909.3",0,0,0,0,1
"AC004911.2",0,0,0,0,1
"AC004917.1",0.28226,0.28226,0,0,1.28226
"AC004920.2",0,0,0,0,1
"AC004938.5",0,0,0,0,1
"AC004941.5",0,0,0,0,1
"AC004945.1",0,0,0,0,1
"AC004951.5",0.43907,0.43907,3.1655,3.1655,0.345473532589125
"AC004954.2",0,0,0,0,1
"AC004957.5",0.01045,0.01045,0,0,1.01045
"AC004967.11",0.21953,0.21953,0.93103,0.93103,0.631543787512364
"AC004967.7",4.02476,4.02476,21.63091,21.63091,0.222030841888373
"AC004967.8",19.21432,19.21432,15.45508,15.45508,1.22845467782594
"AC004980.10",0.06272,0.06272,0.80689,0.80689,0.588148697485735
"AC004980.11",0.04182,0.04182,0.24827,0.24827,0.834611101764843
"AC004980.7",2.98982,2.98982,34.9136,34.9136,0.11109496124031
"AC004980.8",0,0,0,0,1
"AC004980.9",2.66575,2.66575,1.52068,1.52068,1.45427027627466
"AC004985.12",2.28941,2.28941,0.74482,0.74482,1.88524317694662
"AC004987.10",0,0,0,0,1
"AC004987.8",0.02091,0.02091,0.37241,0.37241,0.743881201681713
"AC004987.9",0.08363,0.08363,0,0,1.08363
"AC004996.1",0,0,0,0,1
"AC005000.1",0.31362,0.31362,0,0,1.31362
"AC005003.1",2.34168,2.34168,2.85516,2.85516,0.866807084530863
"AC005007.3",0,0,0,0,1
"AC005008.2",0,0,0,0,1
"AC005008.3",0,0,0,0,1
"AC005013.1",0.21953,0.21953,4.71721,4.71721,0.213308589329411
"AC005014.5",0,0,0,0,1
"AC005017.2",0,0,0,0,1
"AC005019.2",0,0,0,0,1
"AC005033.6",0,0,0,0,1
"AC005034.2",0,0,0,0,1
"AC005034.3",0,0,0,0,1
"AC005035.1",20.52107,20.52107,162.5577,162.5577,0.131580903864508
"AC005037.1",0,0,0,0,1
"AC005037.4",0,0,0,0,1
"AC005037.6",0,0,0,0,1
"AC005040.3",0,0,0,0,1
"AC005041.11",0,0,0,0,1
"AC005042.2",0.02091,0.02091,0.27931,0.27931,0.798016118063644
"AC005042.3",0,0,0,0,1
"AC005046.5",0,0,0,0,1
"AC005071.2",3.61706,3.61706,16.07577,16.07577,0.270386635566068
"AC005077.12",0.25089,0.25089,0.18621,0.18621,1.05452660152924
"AC005077.14",0.21953,0.21953,0.06207,0.06207,1.14825764780099
"AC005077.5",0,0,4.93445,4.93445,0.168507612331387
"AC005077.7",0.02091,0.02091,0,0,1.02091
"AC005077.8",0.10454,0.10454,1.02413,1.02413,0.545686294852603
"AC005077.9",0,0,0,0,1
"AC005082.1",0,0,0,0,1
"AC005086.1",0,0,0,0,1
"AC005086.2",1.24402,1.24402,4.77928,4.77928,0.388287122271286
"AC005086.3",0,0,0,0,1
"AC005086.4",0,0,0,0,1
"AC005094.2",0,0,0,0,1
"AC005102.1",0,0,0,0,1
"AC005105.2",0,0,0,0,1
"AC005154.7",0.66905,0.66905,5.55514,5.55514,0.254616987585315
"AC005154.8",0.30316,0.30316,0,0,1.30316
"AC005178.1",0,0,0,0,1
"AC005189.6",0,0,0,0,1
"AC005204.2",0,0,0,0,1
"AC005205.2",0,0,0,0,1
"AC005205.3",0,0,0,0,1
"AC005205.4",0,0,0,0,1
"AC005215.1",0,0,0,0,1
"AC005229.5",0,0,0,0,1
"AC005229.7",0.05227,0.05227,0,0,1.05227
"AC005237.2",0,0,0,0,1
"AC005251.4",0,0,0,0,1
"AC005255.1",0.61678,0.61678,0,0,1.61678
"AC005262.4",0,0,0,0,1
"AC005280.1",1.95488,1.95488,0.93103,0.93103,1.53020926655723
"AC005300.5",0.12545,0.12545,0,0,1.12545
"AC005324.8-001",0.45997,0.45997,1.52068,1.52068,0.579196883380675
"AC005326.2",0,0,0,0,1
"AC005329.1",1.22311,1.22311,11.38959,11.38959,0.179433702003053
"AC005336.2",0,0,0,0,1
"AC005336.4",0.14636,0.14636,0,0,1.14636
"AC005336.5",0,0,0,0,1
"AC005351.1",0,0,0,0,1
"AC005357.1",0,0,0,0,1
"AC005363.9",1.54718,1.54718,0,0,2.54718
"AC005392.1",0,0,0,0,1
"AC005392.8",0,0,0,0,1
"AC005481.5",0.16726,0.16726,0,0,1.16726
"AC005488.11",0,0,0,0,1
"AC005488.12",0.05227,0.05227,0,0,1.05227
"AC005488.13",0.04182,0.04182,0,0,1.04182
"AC005493.1",0,0,0,0,1
"AC005510.1",0,0,0,0,1
"AC005517.3",0.20908,0.20908,0.62069,0.62069,0.746027926377037
"AC005522.6",0,0,0,0,1
"AC005534.6",0.07318,0.07318,0.74482,0.74482,0.615066310564987
"AC005537.2",1.05585,1.05585,1.0862,1.0862,0.9854520180232
"AC005539.2",0,0,0,0,1
"AC005544.1",0.08363,0.08363,0.52758,0.52758,0.709376922976211
"AC005550.6",0.09409,0.09409,0,0,1.09409
"AC005559.3",1.21266,1.21266,8.03789,8.03789,0.244820417154889
"AC005562.2",0.06272,0.06272,0.55862,0.55862,0.681833930015013
"AC005588.2",0,0,0,0,1
"AC005594.1",0.25089,0.25089,0.43448,0.43448,0.872016340416039
"AC005609.1",0.02091,0.02091,0.24827,0.24827,0.817859918126687
"AC005609.2",0,0,0,0,1
"AC005618.1",3.15709,3.15709,5.27583,5.27583,0.662396846313555
"AC005682.6",1.00358,1.00358,0.18621,0.18621,1.68906011583109
"AC005682.7",0.25089,0.25089,1.1793,1.1793,0.573987060065159
"AC005722.4",0,0,0,0,1
"AC005730.2",0,0,0,0,1
"AC005740.3",0.12545,0.12545,0,0,1.12545
"AC005740.4",0,0,0,0,1
"AC005741.2",0,0,0,0,1
"AC005754.1",0.05227,0.05227,0.31034,0.31034,0.803051116504113
"AC005758.1",0.02091,0.02091,0,0,1.02091
"AC005777.3",0,0,0,0,1
"AC005779.1",0,0,0,0,1
"AC005779.2",0,0,0.49655,0.49655,0.668203534796699
"AC005786.3",0,0,0,0,1
"AC005822.1",0.22999,0.22999,0,0,1.22999
"AC005831.1",0,0,0,0,1
"AC005838.1",0.09409,0.09409,0.40345,0.40345,0.779571769567851
"AC005838.2",0,0,0,0,1
"AC005841.1",0,0,0.24827,0.24827,0.801108734488532
"AC005884.1",0.56451,0.56451,8.78271,8.78271,0.159926032765972
"AC005943.2",18.0853,18.0853,2.88619,2.88619,4.91105684487892
"AC006001.1",0,0,0,0,1
"AC006011.4",13.76783,13.76783,6.14479,6.14479,2.06693688687841
"AC006014.10",0,0,0,0,1
"AC006014.7",0.15681,0.15681,2.29654,2.29654,0.350916415393109
"AC006014.8",0.19862,0.19862,0.31034,0.31034,0.914739685883053
"AC006022.4",0,0,0,0,1
"AC006023.8",0,0,0,0,1
"AC006024.4",0,0,0,0,1
"AC006026.10",0.02091,0.02091,0,0,1.02091
"AC006026.11",0,0,0,0,1
"AC006026.12",0,0,0,0,1
"AC006026.9",0,0,0,0,1
"AC006028.11",0,0,0,0,1
"AC006030.1",0.02091,0.02091,0,0,1.02091
"AC006033.22",0.49133,0.49133,0.77586,0.77586,0.839779036635771
"AC006035.1",0,0,0,0,1
"AC006035.2",0.1359,0.1359,0,0,1.1359
"AC006042.8",0.02091,0.02091,0,0,1.02091
"AC006045.3",0,0,0,0,1
"AC006052.1",0,0,0,0,1
"AC006070.11",0,0,0,0,1
"AC006070.12",0,0,0,0,1
"AC006070.13",0,0,0,0,1
"AC006111.1",0.33453,0.33453,2.32757,2.32757,0.401052419633546
"AC006116.13",0.05227,0.05227,0.21724,0.21724,0.864472084387631
"AC006116.14",0,0,0,0,1
"AC006116.20",0.10454,0.10454,3.69308,3.69308,0.235355033368278
"AC006116.22",0,0,0.24827,0.24827,0.801108734488532
"AC006116.26",0.15681,0.15681,0,0,1.15681
"AC006116.27",5.11197,5.11197,6.92065,6.92065,0.771650053972843
"AC006126.3",0.03136,0.03136,0,0,1.03136
"AC006130.4",0,0,0,0,1
"AC006132.1",14.29052,14.29052,24.424,24.424,0.601420704845815
"AC006133.3",0,0,0,0,1
"AC006153.3",0.42861,0.42861,0,0,1.42861
"AC006156.1",0,0,0,0,1
"AC006160.4",0,0,0,0,1
"AC006195.2",0,0,0,0,1
"AC006230.4",0.05227,0.05227,0,0,1.05227
"AC006326.3",0,0,0,0,1
"AC006326.5",0,0,0,0,1
"AC006328.9",0,0,0,0,1
"AC006335.10",0,0,0,0,1
"AC006335.11",0,0,0,0,1
"AC006335.2",0,0,0,0,1
"AC006335.6",0,0,0,0,1
"AC006335.7",0,0,0,0,1
"AC006355.3",0,0,0,0,1
"AC006366.3",0,0,0,0,1
"AC006372.1",0.01045,0.01045,0,0,1.01045
"AC006374.2",0,0,0,0,1
"AC006390.3",0,0,0,0,1
"AC006390.4",0,0,0,0,1
"AC006427.1",0,0,0,0,1
"AC006427.2",0,0,0,0,1
"AC006445.6",0,0,0,0,1
"AC006445.7",0.04182,0.04182,0,0,1.04182
"AC006455.1",0,0,0,0,1
"AC006461.2",0,0,0,0,1
"AC006465.3",14.38461,14.38461,96.95117,96.95117,0.157064075906393
"AC006465.4",0,0,0,0,1
"AC006466.5",0,0,0,0,1
"AC006483.5",0,0,0,0,1
"AC006486.1",0.25089,0.25089,0.27931,0.27931,0.97778489967248
"AC006499.1",0,0,0,0,1
"AC006499.2",0,0,0,0,1
"AC006499.3",0,0,0,0,1
"AC006499.4",0,0,0,0,1
"AC006499.5",0.02091,0.02091,0,0,1.02091
"AC006499.6",0,0,0,0,1
"AC006499.7",0,0,0,0,1
"AC006499.8",0,0,0,0,1
"AC006509.4",0,0,0,0,1
"AC006509.7",0,0,0,0,1
"AC006538.4",0,0,0,0,1
"AC006539.2",0,0,0,0,1
"AC006547.14",4.17112,4.17112,0.80689,0.80689,2.86188976639419
"AC006548.19",0,0,0,0,1
"AC006548.20",0,0,0,0,1
"AC006946.12",0.08363,0.08363,0,0,1.08363
"AC006946.15",0.77359,0.77359,0.71379,0.71379,1.03489342334825
"AC006960.5",0,0,0,0,1
"AC006978.6",10.67346,10.67346,7.47927,7.47927,1.37670577773794
"AC006987.4",0,0,0,0,1
"AC006987.5",0,0,0,0,1
"AC006987.6",0,0,0,0,1
"AC006987.7",0,0,0,0,1
"AC006989.2",0,0,0,0,1
"AC006994.1",0.01045,0.01045,0.37241,0.37241,0.736259572576708
"AC006995.8",0,0,0,0,1
"AC007000.10",0.1359,0.1359,0,0,1.1359
"AC007000.11",30.73456,30.73456,54.12383,54.12383,0.575695846968543
"AC007000.12",0.08363,0.08363,0,0,1.08363
"AC007014.1",0.02091,0.02091,0,0,1.02091
"AC007016.3",0,0,0,0,1
"AC007040.10",0,0,0,0,1
"AC007041.2",0,0,0.18621,0.18621,0.843021050235624
"AC007050.18",0.45997,0.45997,0.37241,0.37241,1.06380017633215
"AC007064.22",0,0,0,0,1
"AC007064.25",0,0,0,0,1
"AC007115.3",0,0,0,0,1
"AC007136.1",0,0,0,0,1
"AC007161.5",0.08363,0.08363,0,0,1.08363
"AC007163.10",0,0,0,0,1
"AC007163.11",0,0,0,0,1
"AC007163.4",0.10454,0.10454,0.24827,0.24827,0.884856641591963
"AC007163.8",0.12545,0.12545,0,0,1.12545
"AC007163.9",0.02091,0.02091,0,0,1.02091
"AC007189.2",0.01045,0.01045,0,0,1.01045
"AC007229.3",0.62724,0.62724,0,0,1.62724
"AC007237.2",0.03136,0.03136,0,0,1.03136
"AC007238.1",0.22999,0.22999,0,0,1.22999
"AC007241.3",0,0,0,0,1
"AC007242.3",0,0,0,0,1
"AC007248.6",0.09409,0.09409,0,0,1.09409
"AC007248.7",0,0,0,0,1
"AC007253.1",0,0,0,0,1
"AC007256.5",0.02091,0.02091,0.06207,0.06207,0.961245492293352
"AC007272.1",0,0,47.45145,47.45145,0.0206392171957702
"AC007272.2",0.06272,0.06272,0.31034,0.31034,0.811026145885801
"AC007272.3",0.04182,0.04182,0,0,1.04182
"AC007274.2",0,0,0,0,1
"AC007274.5",0,0,0,0,1
"AC007276.5",0.1359,0.1359,2.01723,2.01723,0.376471134119706
"AC007279.2",0.03136,0.03136,0,0,1.03136
"AC007282.6",0.15681,0.15681,0,0,1.15681
"AC007283.4",0,0,0,0,1
"AC007308.1",0.02091,0.02091,0.74482,0.74482,0.58510906569159
"AC007312.3",0,0,0,0,1
"AC007316.3",0,0,0,0,1
"AC007318.5",10.44348,10.44348,0.24827,0.24827,9.16747178094483
"AC007322.1",0,0,0,0,1
"AC007322.3",0,0,0,0,1
"AC007322.5",0,0,0,0,1
"AC007322.7",0,0,0,0,1
"AC007327.6",0,0,0,0,1
"AC007347.1",26.26027,26.26027,40.56184,40.56184,0.655896610929641
"AC007362.1",14.40552,14.40552,2.73102,2.73102,4.12903709977432
"AC007365.4",0,0,0,0,1
"AC007383.6",0,0,0,0,1
"AC007386.3",0,0,0,0,1
"AC007387.2",0,0,0,0,1
"AC007389.1",0.03136,0.03136,0,0,1.03136
"AC007389.2",0,0,0,0,1
"AC007389.4",0,0,0,0,1
"AC007390.4",0,0,0,0,1
"AC007390.5",34.25753,34.25753,77.33749,77.33749,0.450072245102568
"AC007394.3",0,0,0,0,1
"AC007395.4",0,0,0,0,1
"AC007401.1",0,0,0,0,1
"AC007401.2",0.08363,0.08363,0,0,1.08363
"AC007405.2",0.05227,0.05227,0,0,1.05227
"AC007405.7",3.81568,3.81568,3.04136,3.04136,1.1915988677079
"AC007431.1",0.01045,0.01045,0,0,1.01045
"AC007551.2",0,0,0,0,1
"AC007556.2",0,0,0,0,1
"AC007557.1",0,0,0.93103,0.93103,0.517858345028301
