"Hs_symbol","DRG","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"AASDHPPT",24.47265,24.47265,15.491333,11.332325,7.790263,11.5379736666667,438,436,306,2.03164009410239
"AASS",7.33866,7.33866,10.663442,6.340196,5.078783,7.360807,777,556,484,0.99735109302248
"AATF",42.6834,42.6834,18.011852,16.629179,17.421425,17.354152,333,266,229,2.38002823557307
"AATK",173.04391,173.04391,0.807211,1.215351,1.261386,1.09464933333333,81,68,60,83.0897598134167
"ABAT",14.94912,14.94912,3.072307,1.855792,1.672802,2.20030033333333,274,169,145,4.98363226534676
"ABCA1",3.21981,3.21981,1.876267,0.885241,0.804978,1.18882866666667,396,171,159,1.92788502099905
"ABCA10",17.14445,17.14445,0.159011,0.678309,0.402902,0.413407333333333,12,6,3,12.8373820993335
"ABCA11P",2.91665,2.91665,1.985955,1.111808,0.940415,1.34605933333333,66,38,32,1.66945905602274
"ABCA12",0.04182,0.04182,0,0.006599,0,0.00219966666666667,0,1,0,1.03953337309033
"ABCA13",0.31362,0.31362,0.174113,0.034944,0.058673,0.0892433333333333,5,3,5,1.20599315120894
"ABCA17P",3.9934,3.9934,0.02167,0.266152,1.014407,0.434076333333333,2,4,5,3.48196248967686
"ABCA2",190.96195,190.96195,24.315816,17.365586,16.698512,19.4599713333333,805,444,402,9.38231764221762
"ABCA3",75.62373,75.62373,2.864033,2.329955,1.427765,2.207251,295,201,155,23.8907806093131
"ABCA4",0.33453,0.33453,0.012157,0.012809,0,0.008322,1,1,0,1.32351570232525
"ABCA5",12.96287,12.96287,4.156998,3.19961,2.228167,3.194925,168,152,100,3.32851481254135
"ABCA6",12.28337,12.28337,0.307074,0.113031,0.186072,0.202059,11,7,9,11.0505141594547
"ABCA7",45.76731,45.76731,11.353326,7.85688,8.990523,9.400243,435,267,221,4.49675166243712
"ABCA8",65.06526,65.06526,3.234198,1.719767,1.436738,2.13023433333333,96,64,65,21.1055317157832
"ABCA9",5.22697,5.22697,0.287344,0.110486,0.190728,0.196186,11,7,5,5.20568707542138
"ABCB1",8.45723,8.45723,0.03239,0.180298,0.191402,0.134696666666667,3,5,3,8.33458868596306
"ABCB10",3.61706,3.61706,4.005154,2.663769,2.895076,3.18799966666667,137,128,111,1.10244994448026
"ABCB10P3",0,0,0.115241,0.054277,0,0.056506,5,2,0,0.946516157977333
"ABCB10P4",0.01045,0.01045,0,0,0.054181,0.0180603333333333,0,0,2,0.992524673554056
"ABCB11",0,0,0.266721,0.007328,0.0069,0.0936496666666667,3,1,1,0.914369592456329
"ABCB4",0.57497,0.57497,11.373936,10.12465,10.942716,10.8137673333333,248,158,162,0.133316490460762
"ABCB5",0.01045,0.01045,0.238192,0,0.073851,0.104014333333333,1,0,5,0.915250798374296
"ABCB6",58.67791,58.67791,8.326215,7.061364,8.704006,8.03052833333333,123,101,86,6.60846273852194
"ABCB7",7.97635,7.97635,13.831658,11.114692,9.446497,11.4642823333333,350,248,280,0.720165811391681
"ABCB8",33.23304,33.23304,11.02178,6.985446,5.674411,7.893879,471,342,268,3.84905618796928
"ABCB9",31.39315,31.39315,4.324097,2.790693,3.029996,3.38159533333333,187,127,124,7.39300358332193
"ABCC1",3.54388,3.54388,4.111846,2.414281,2.166516,2.89754766666667,483,341,276,1.16583051411045
"ABCC10",18.64981,18.64981,14.897475,9.350053,15.513101,13.253543,250,167,160,1.3785912737626
"ABCC11",0.16726,0.16726,0.152197,0,0.378463,0.176886666666667,2,0,3,0.991820226246651
"ABCC12",0.15681,0.15681,0.174113,0,0.046512,0.0735416666666667,1,0,1,1.07756413739569
"ABCC13",0.35543,0.35543,0,0.021593,0,0.00719766666666667,0,1,0,1.34574378481814
"ABCC2",0.06272,0.06272,0.206724,0.320286,0.182112,0.236374,3,4,1,0.859545736160741
"ABCC3",1.82944,1.82944,0.348225,0.325404,0.504307,0.392645333333333,2,3,3,2.03170177810287
"ABCC4",3.8575,3.8575,0.874694,0.850797,0.835235,0.853575333333333,82,50,37,2.62061104970826
"ABCC5",25.43441,25.43441,26.815209,20.139758,16.661965,21.205644,1688,1220,1081,1.19043653946717
"ABCC6",0.45997,0.45997,2.370812,3.482122,1.641663,2.498199,98,80,51,0.417349041606838
"ABCC6P1",0.07318,0.07318,1.554418,1.274452,1.425343,1.418071,38,40,29,0.443816579413921
"ABCC6P2",0.09409,0.09409,2.969539,3.945743,2.768744,3.22800866666667,30,40,28,0.25877193881501
"ABCC8",10.87209,10.87209,0.18336,0.761856,0.182109,0.375775,9,6,1,8.62938343842561
"ABCC9",0.7945,0.7945,5.937915,4.245439,2.802442,4.32859866666667,581,434,370,0.33676771553947
"ABCD1",6.76369,6.76369,9.855316,6.357848,6.647314,7.62015933333333,690,437,443,0.900643445183032
"ABCD1P2",0,0,0,0,0,0,0,0,0,1
"ABCD2",1.589,1.589,0.210704,0.12733,0.165506,0.167846666666667,19,13,17,2.21690062051525
"ABCD3",23.9395,23.9395,10.323186,7.852999,5.423063,7.866416,539,489,336,2.8128050838129
"ABCD4",25.36124,25.36124,36.841234,32.142947,25.91358,31.632587,577,476,396,0.807819496505135
"ABCE1",15.03275,15.03275,25.279482,10.850918,4.462396,13.530932,450,444,265,1.10335317789664
"ABCF1",40.28945,40.28945,30.647549,12.146954,19.277681,20.690728,895,681,599,1.90355298356053
"ABCF2",29.98187,29.98187,6.164294,6.22041,10.611419,7.66537433333333,480,500,342,3.57536429566824
"ABCF3",62.56677,62.56677,42.225453,35.384299,25.704264,34.4380053333333,787,609,496,1.79374570893832
"ABCG1",9.4399,9.4399,4.885127,3.443918,3.219942,3.84966233333333,306,199,192,2.15270657675342
"ABCG2",4.96562,4.96562,0.576877,0.198017,0.199392,0.324762,10,14,4,4.5031635871198
"ABCG4",11.76067,11.76067,0.753032,0.371896,0.214828,0.446585333333333,40,26,15,8.82123557176947
"ABCG5",0.09409,0.09409,0,0.01593,0,0.00531,0,1,0,1.08831106822771
"ABCG8",0.21953,0.21953,0.035989,0.06211,0.039485,0.0458613333333333,4,5,3,1.16605324351476
"ABHD1",2.06988,2.06988,0.548215,0.837679,0.573511,0.653135,17,19,15,1.85700502378814
"ABHD10",33.57802,33.57802,4.682414,3.63352,2.996599,3.77084433333333,164,141,99,7.24777787411914
"ABHD11",27.69246,27.69246,16.413349,19.071503,13.597818,16.36089,302,309,281,1.6527067448731
"ABHD12",152.8051,152.8051,31.484105,29.04836,22.06709,27.533185,638,567,468,5.3903936766961
"ABHD12B",1.73535,1.73535,0.21345,0.366161,0.189974,0.256528333333333,7,7,3,2.17691072094143
"ABHD13",2.89574,2.89574,1.172633,1.326137,0.716184,1.07165133333333,82,109,59,1.88049983958047
"ABHD14A",66.64381,66.64381,8.546513,7.684425,5.406513,7.21248366666667,139,127,86,8.2367055747772
"ABHD14B",32.82534,32.82534,8.124944,8.387924,5.480449,7.33110566666667,292,279,180,4.0601261529232
"ABHD15",5.26878,5.26878,1.644095,1.578787,1.43262,1.551834,123,111,101,2.45657828839964
"ABHD16A",86.71535,86.71535,19.452254,20.109003,15.952975,18.504744,486,433,358,4.49712900615358
"ABHD16B",14.72959,14.72959,0,0,0,0,0,0,0,15.72959
"ABHD2",40.91668,40.91668,3.332886,2.82704,2.375777,2.84523433333333,614,430,406,10.9009429247615
"ABHD3",21.57691,21.57691,2.331696,3.741765,1.156728,2.410063,72,76,34,6.62067240399957
"ABHD4",20.10291,20.10291,15.0237,23.747182,16.357654,18.3761786666667,409,343,303,1.08911619587323
"ABHD5",9.24127,9.24127,7.210165,4.691474,4.783658,5.56176566666667,177,215,128,1.5607491215398
"ABHD6",13.96645,13.96645,2.357982,2.891814,1.502824,2.25087333333333,64,48,45,4.60382440821031
"ABHD8",33.32713,33.32713,4.748047,3.701303,3.322699,3.92401633333333,184,148,137,6.97136802078033
"ABI1",20.06109,20.06109,10.258949,6.855637,7.216852,8.11047933333333,359,321,284,2.31174334844731
"ABI2",14.84458,14.84458,21.727203,10.892244,9.493522,14.0376563333333,933,760,670,1.0536602013492
"ABI3",28.44514,28.44514,0.029558,0.160231,0.222847,0.137545333333333,1,5,7,25.8848057630524
"ABI3BP",4.23384,4.23384,0.659504,0.308934,0,0.322812666666667,5,4,0,3.95659954873933
"ABL1",12.37745,12.37745,7.760499,5.097737,3.86969,5.57597533333333,787,524,458,2.03429138977914
"ABL2",3.27208,3.27208,1.446018,0.98648,1.194757,1.209085,315,194,136,1.933868547385
"ABLIM1",43.05974,43.05974,59.262507,38.678189,34.133185,44.024627,7498,5439,4652,0.978569794703685
"ABLIM2",16.78901,16.78901,6.864886,5.835002,6.004859,6.23491566666667,163,143,105,2.45877226765186
"ABLIM3",33.63029,33.63029,1.439051,0.939932,0.795889,1.05829066666667,79,55,65,16.824781145261
"ABO",0.56451,0.56451,0.108377,0.428422,0.100191,0.21233,15,12,11,1.29049846163998
"ABR",47.79537,47.79537,137.5781,52.298863,84.704982,91.527315,1454,973,842,0.527361785003704
"ABRA",1.81898,1.81898,1.22541,0.904378,0.700678,0.943488666666667,55,43,33,1.45047411304688
"ABRACL",15.0223,15.0223,1.304502,3.067132,2.188819,2.18681766666667,11,29,19,5.02768017373235
"ABT1",17.48943,17.48943,3.32542,2.791458,2.174212,2.76369666666667,199,168,128,4.91257177119304
"ABTB1",128.13382,128.13382,4.435767,2.908722,2.928956,3.42448166666667,118,103,97,29.1862029789553
"ABTB2",3.15709,3.15709,6.950399,6.045716,4.152189,5.71610133333333,790,633,438,0.618973686321191
"ACAA1",107.02734,107.02734,73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,1.63979001569312
"ACAA2",67.23968,67.23968,33.764452,29.686524,22.134757,28.5285776666667,1017,904,664,2.31097077449255
"ACACA",24.54583,24.54583,7.1497,4.870629,6.747958,6.25609566666667,693,417,430,3.52060270061673
"ACACB",11.31115,11.31115,26.02878,14.841445,7.767875,16.2127,1315,753,655,0.715236424268128
"ACAD10",39.86084,39.86084,20.02537,13.653281,10.050915,14.576522,659,558,399,2.62323258041814
"ACAD11",7.42229,7.42229,6.08628,6.516346,6.250521,6.28438233333333,364,279,315,1.15621196343026
"ACAD8",23.71997,23.71997,17.886304,13.41606,11.385466,14.2292766666667,633,534,433,1.62318740023328
"ACAD9",31.85313,31.85313,9.950716,8.300763,6.289277,8.180252,369,346,279,3.57867409304233
"ACADL",10.45393,10.45393,0.430319,0.363646,0.199827,0.331264,20,21,12,8.60380059852892
"ACADM",32.77307,32.77307,55.824798,42.128201,34.763102,44.2387003333333,1043,919,796,0.7465526142694
"ACADS",28.90512,28.90512,15.466497,14.289382,12.849752,14.201877,587,501,461,1.96719918204837
"ACADSB",5.8542,5.8542,6.230585,3.533107,3.515221,4.42630433333333,558,395,389,1.26314330692719
"ACADVL",745.69976,745.69976,539.418883,513.721339,438.661315,497.267179,4271,3691,3049,1.49859310721327
"ACAN",0.09409,0.09409,0,0.022851,0,0.007617,0,2,0,1.08581931428311
"ACAP1",16.41267,16.41267,14.853065,11.82895,6.245988,10.976001,42,44,28,1.45396363944859
"ACAP2",5.09106,5.09106,2.720509,0.953916,0.841565,1.50533,159,108,106,2.43124059505135
"ACAP3",67.2815,67.2815,32.135196,15.329502,11.519368,19.6613553333333,755,449,440,3.3047928801573
"ACAT1",141.03397,141.03397,106.632562,103.500411,97.170077,102.43435,946,923,785,1.3731798962337
"ACAT2",82.49196,82.49196,7.765272,8.394048,3.664681,6.60800033333333,210,229,100,10.9742319061413
"ACBD3",11.19616,11.19616,26.857783,13.437707,11.62415,17.3065466666667,382,312,276,0.666218496698085
"ACBD4",14.40552,14.40552,4.538466,2.387986,1.850638,2.92569666666667,119,81,68,3.92427671012109
"ACBD5",20.22836,20.22836,7.618894,5.044549,4.657079,5.77350733333333,439,324,287,3.1340277577515
"ACBD6",80.75661,80.75661,23.154423,24.794667,23.033485,23.6608583333333,532,463,433,3.31523781106565
"ACBD7",0.48088,0.48088,0.572654,0.568327,0.510339,0.55044,37,38,33,0.955135316426305
"ACCS",11.22752,11.22752,8.564602,4.575821,7.352098,6.83084033333333,163,107,122,1.56145694197741
"ACCSL",0,0,0,0,0,0,0,0,0,1
"ACD",16.4963,16.4963,6.047245,4.588355,4.00999,4.88186333333333,85,83,68,2.97461858742043
"ACE",6.07373,6.07373,1.157448,0.481306,0.687591,0.775448333333333,31,27,17,3.98419366376005
"ACE2",0.1359,0.1359,0.292,0.608641,1.089188,0.663276333333333,17,9,22,0.682929214608356
"ACE3P",0,0,0,0,0,0,0,0,0,1
"ACER1",0.10454,0.10454,0,0,0,0,0,0,0,1.10454
"ACER2",0.08363,0.08363,0.086941,0.071304,0.036141,0.0647953333333333,5,4,2,1.01768853231889
"ACER3",11.8234,11.8234,5.889447,3.785697,2.608854,4.094666,373,369,276,2.51702466854549
"ACHE",247.40272,247.40272,0.074404,0.220625,0.154447,0.149825333333333,5,9,7,216.035177516817
"ACIN1",36.56785,36.56785,48.187336,30.018075,26.134553,34.779988,1665,1167,1053,1.04996821128056
"ACLY",93.47905,93.47905,20.336467,13.559479,13.590368,15.8287713333333,1109,844,693,5.61413831875308
"ACMSD",0.1359,0.1359,0.044606,0.168465,0.027939,0.0803366666666667,1,1,1,1.05143149820581
"ACO1",12.07429,12.07429,8.895559,7.661565,6.460032,7.67238533333333,708,594,504,1.50757715409017
"ACO2",112.07659,112.07659,146.738618,107.939366,96.620982,117.099655333333,7447,5908,4897,0.957467569916645
"ACOT1",4.03522,4.03522,6.652744,7.561148,4.666439,6.29344366666667,192,191,127,0.690376210487858
"ACOT11",1.43219,1.43219,20.174206,15.320592,11.474642,15.65648,1325,899,708,0.146020647819948
"ACOT12",0.22999,0.22999,0.102651,0,0,0.034217,1,0,0,1.18929586344065
"ACOT13",113.34151,113.34151,28.624228,30.396445,27.420034,28.813569,613,576,520,3.8352171120472
"ACOT2",11.03935,11.03935,88.207517,93.696934,77.668179,86.52421,1144,999,964,0.137554512060149
"ACOT4",2.35213,2.35213,0.124947,0.174781,0.261237,0.186988333333333,6,8,12,2.82406314018812
"ACOT6",0.09409,0.09409,0.188194,0,0.040322,0.076172,5,0,1,1.0166497548719
"ACOT7",824.49103,824.49103,18.509861,18.078012,11.411107,15.99966,521,479,300,48.5592670676943
"ACOT8",123.19957,123.19957,14.918157,12.104523,11.463739,12.8288063333333,289,242,204,8.98122130039713
"ACOT9",22.4864,22.4864,29.935853,23.797934,22.855973,25.52992,918,759,709,0.885279714375317
"ACOX1",12.56562,12.56562,26.743277,25.166,14.165662,22.0249796666667,569,533,438,0.589169684246844
"ACOX2",12.28337,12.28337,17.904677,19.718667,13.035042,16.8861286666667,296,273,205,0.74266322509216
"ACOX3",6.50234,6.50234,11.241262,6.789727,5.371668,7.80088566666667,239,160,120,0.852452842151455
"ACOXL",0.63769,0.63769,0.725081,0.07677,0.356086,0.385979,14,3,7,1.181612419813
"ACP1",91.26281,91.26281,30.223411,32.418039,30.824921,31.155457,582,628,585,2.86927379075968
"ACP2",61.68864,61.68864,43.214406,45.839884,42.704658,43.9196493333333,569,466,395,1.39557278229866
"ACP5",7.92408,7.92408,0.224677,1.062225,0,0.428967333333333,1,4,0,6.2451252676175
"ACP6",6.57552,6.57552,5.616296,6.558338,5.860511,6.011715,182,148,113,1.08040900122153
"ACR",0.49133,0.49133,0,0.037509,0.037908,0.025139,0,1,1,1.45475881807248
"ACRBP",1.62036,1.62036,0.3985,0.030659,0.225437,0.218198666666667,4,1,2,2.15101204072899
"ACRV1",1.60991,1.60991,0.027065,0.168649,0.254211,0.149975,1,3,3,2.26953629426727
"ACSBG1",34.69659,34.69659,0.540764,0.319036,0.523883,0.461227666666667,30,21,25,24.4291774747398
"ACSBG2",0.03136,0.03136,0.522338,0.103219,0.103778,0.243111666666667,4,1,1,0.829659979594217
"ACSF2",12.0952,12.0952,61.978687,54.648487,53.059789,56.562321,577,446,412,0.227496038597888
"ACSF3",29.46963,29.46963,19.299129,13.763293,10.433563,14.4986616666667,273,225,190,1.96595232900217
"ACSL1",41.32439,41.32439,43.878419,27.152981,30.101182,33.7108606666667,716,624,486,1.21934141611892
"ACSL3",27.2743,27.2743,71.523045,48.918818,50.907122,57.1163283333333,1224,1079,919,0.486512152623085
"ACSL4",18.97388,18.97388,36.054531,15.661033,10.428141,20.7145683333333,1246,833,675,0.919837764830846
"ACSL5",4.58928,4.58928,0.1358,0,0.182111,0.105970333333333,3,0,1,5.05373411161421
"ACSL6",22.19369,22.19369,0.165731,0.038947,0.026724,0.077134,5,3,2,21.5327805082747
"ACSM1",0.15681,0.15681,0,0.159858,0,0.053286,0,2,0,1.09828669516162
"ACSM2A",0.01045,0.01045,1.918943,2.292445,1.490272,1.90055333333333,10,6,4,0.348364564922095
"ACSM2B",0.07318,0.07318,0,0.111241,0,0.0370803333333333,0,2,0,1.03480893958392
"ACSM3",0.9304,0.9304,1.027824,2.197071,1.355443,1.52677933333333,11,13,11,0.763976487591978
"ACSM4",0,0,0,0,0,0,0,0,0,1
"ACSM5",7.64182,7.64182,0.347033,0.226793,0.050724,0.208183333333333,7,6,1,7.15273896069857
"ACSS1",10.40166,10.40166,0.37447,0.329271,0.198105,0.300615333333333,29,24,13,8.76635828272054
"ACSS2",70.14587,70.14587,136.021315,95.971222,128.057604,120.016713666667,1559,1286,1185,0.587901190210528
"ACSS3",5.10152,5.10152,2.79066,4.630495,1.143408,2.85485433333333,125,108,90,1.58281467272045
"ACTA1",1.11857,1.11857,636.770692,441.289829,564.554107,547.538209333333,19134,12570,15960,0.00386221044214004
"ACTA2",82.33516,82.33516,51.781238,68.388245,46.909126,55.6928696666667,1324,1661,1126,1.46994076133348
"ACTB",3647.18813,3647.18813,429.465479,453.29093,375.743403,419.499937333333,7846,7769,6339,8.67583513361633
"ACTBL2",0,0,0,0.022184,0.02198,0.0147213333333333,0,1,1,0.9854922402341
"ACTBP1",0,0,0,0,0,0,0,0,0,1
"ACTBP12",0,0,0,0,0,0,0,0,0,1
"ACTC1",4.652,4.652,5080.246607,4691.279529,4052.296585,4607.940907,121009,106500,94643,0.00122631209947079
"ACTG1",3916.71136,3916.71136,124.614163,112.983909,79.093729,105.563933666667,2936,2870,2190,36.763952166543
"ACTG1P10",0.11499,0.11499,0.051013,0.053834,0,0.034949,1,1,0,1.07733811038032
"ACTG2",3.1989,3.1989,0.271346,0.303675,0.231978,0.268999666666667,8,3,6,3.30882671626654
"ACTL10",1.54718,1.54718,0.248173,0.129837,0.099075,0.159028333333333,11,5,4,2.19768570512369
"ACTL6A",17.77168,17.77168,129.936939,63.089341,28.578082,73.8681206666667,238,226,162,0.250729947978481
"ACTL6B",30.92273,30.92273,0,0,0,0,0,0,0,31.92273
"ACTL7A",0,0,0,0,0,0,0,0,0,1
"ACTL7B",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"ACTL8",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"ACTL9",0,0,0,0,0,0,0,0,0,1
"ACTN1",19.08888,19.08888,97.368685,90.347999,62.458246,83.3916433333333,3154,2333,1894,0.238043474525697
"ACTN2",5.38377,5.38377,978.395053,817.138475,753.753803,849.762443666667,32985,24389,21981,0.00750358698544196
"ACTN4",154.94816,154.94816,80.761957,61.78139,43.622584,62.0553103333333,1727,1358,1104,2.47319629664181
"ACTN4P1",0,0,0,0.036878,0,0.0122926666666667,0,1,0,0.987856608003351
"ACTR10",226.8921,226.8921,123.432299,114.333934,91.069828,109.612020333333,961,968,829,2.06028331562193
"ACTR1A",278.2209,278.2209,64.377145,42.659304,39.165459,48.7339693333333,3101,2292,2094,5.61428946337603
"ACTR1B",132.78582,132.78582,19.202777,14.33055,13.258617,15.5973146666667,779,576,553,8.06069070129096
"ACTR2",57.96704,57.96704,26.040333,13.291404,11.523641,16.9517926666667,1146,882,773,3.28474381889957
"ACTR3",75.04877,75.04877,38.861514,29.33901,25.230379,31.1436343333333,1098,1075,941,2.36590452751438
"ACTR3B",30.56729,30.56729,7.030276,2.889677,2.312428,4.07746033333333,129,80,93,6.21714162743172
"ACTR3BP2",0,0,0,0,0,0,0,0,0,1
"ACTR3C",5.16424,5.16424,0.6982,1.16039,0.413306,0.757298666666667,10,10,5,3.50779302171363
"ACTR3P2",0,0,0,0,0,0,0,0,0,1
"ACTR5",6.39781,6.39781,1.163629,0.795908,0.976133,0.978556666666667,62,40,49,3.7389932391794
"ACTR6",37.71778,37.71778,7.680683,7.620821,3.561405,6.28763633333333,89,134,72,5.31280352491061
"ACTR6P1",0,0,0,0,0,0,0,0,0,1
"ACTR8",13.86191,13.86191,17.708309,15.074514,11.257858,14.680227,360,281,217,0.947812171341652
"ACTRT1",0,0,0,0,0,0,0,0,0,1
"ACTRT2",0,0,0,0,0,0,0,0,0,1
"ACTRT3",2.62394,2.62394,0.448872,0.581869,0.461129,0.49729,14,18,14,2.42033273447362
"ACVR1",8.99038,8.99038,7.233818,5.194846,4.253429,5.56069766666667,358,289,222,1.52276183229091
"ACVR1B",13.88282,13.88282,7.139766,4.870088,4.743164,5.58433933333333,614,453,436,2.26033611673922
"ACVR1C",0.08363,0.08363,0.00775,0.013681,0,0.00714366666666667,1,2,0,1.07594381602625
"ACVR2A",5.34196,5.34196,2.344089,1.398215,1.171016,1.63777333333333,115,94,85,2.4042854326629
"ACVR2B",1.01403,1.01403,1.1158,1.888897,1.517997,1.50756466666667,261,178,121,0.80318167932924
"ACVRL1",15.74362,15.74362,1.239071,1.061599,0.85141,1.05069333333333,40,22,30,8.16485806426445
"ACY1",23.16591,23.16591,29.01427,20.193338,18.22011,22.475906,288,174,168,1.02939200727759
"ACY3",3.93068,3.93068,0,0,0.038868,0.012956,0,0,1,4.86761517775698
"ACYP1",33.84983,33.84983,12.321627,16.716988,15.356579,14.798398,78,114,101,2.20590910546753
"ACYP2",88.38798,88.38798,14.923638,15.092443,14.910934,14.9756716666667,179,179,196,5.59525645400616
"ADA",1.589,1.589,4.945909,4.204043,4.670719,4.60689033333333,124,113,122,0.461753279640271
"ADAD1",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"ADAD2",0.99312,0.99312,0,0,0,0,0,0,0,1.99312
"ADAL",6.65915,6.65915,13.118704,10.233636,7.871906,10.408082,497,431,361,0.671379290576628
"ADAM10",13.71556,13.71556,24.348027,13.702235,11.245455,16.4319056666667,536,434,351,0.844173911985947
"ADAM11",52.30101,52.30101,11.764671,7.939555,6.243467,8.649231,981,771,582,5.5238609169995
"ADAM12",0.11499,0.11499,0.692991,0.787749,1.408243,0.962994333333333,57,72,53,0.568004696226836
"ADAM15",99.64686,99.64686,11.532537,17.778786,12.695181,14.002168,314,295,237,6.70882101840214
"ADAM17",9.50262,9.50262,5.863159,4.842983,3.098865,4.601669,292,270,199,1.87490906727977
"ADAM18",0.01045,0.01045,0.106287,0,0.174783,0.09369,1,0,1,0.923890682003127
"ADAM19",6.81596,6.81596,21.431505,16.071382,16.202989,17.9019586666667,2888,2073,1947,0.413500004831951
"ADAM1B",0.28226,0.28226,0.459583,0.2042,0.207801,0.290528,18,8,8,0.993593319943465
"ADAM2",0,0,0,0,0,0,0,0,0,1
"ADAM20",0.14636,0.14636,0.018165,0.036213,0.036804,0.030394,1,2,2,1.11254529820632
"ADAM20P3",0,0,0,0,0,0,0,0,0,1
"ADAM21",0.53315,0.53315,0.092614,0.093693,0.038026,0.0747776666666667,5,5,2,1.42648107376006
"ADAM21P1",0.09409,0.09409,0.024479,0,0,0.00815966666666667,1,0,0,1.08523484540643
"ADAM22",19.30841,19.30841,0.473128,0.221024,0.122401,0.272184333333333,42,22,22,15.9634177751495
"ADAM23",51.57969,51.57969,41.864549,35.696454,23.789355,33.7834526666667,1340,1061,895,1.51162940907208
"ADAM24P",0,0,0,0,0,0,0,0,0,1
"ADAM28",7.84045,7.84045,0.222073,0,0.032833,0.0849686666666667,7,0,4,8.14811549089283
"ADAM29",0.09409,0.09409,0.022632,0,0,0.007544,1,0,0,1.08589798559666
"ADAM30",0,0,0,0,0,0,0,0,0,1
"ADAM32",0.71087,0.71087,1.741478,1.890163,5.623824,3.085155,39,39,22,0.418801734573107
"ADAM33",24.57719,24.57719,0.151082,0.049411,0.215616,0.138703,10,3,12,22.4616866733468
"ADAM3A",0.02091,0.02091,0.13521,0.063743,0.062082,0.0870116666666667,3,1,1,0.939189551783406
"ADAM3B",0,0,0,0,0,0,0,0,0,1
"ADAM5",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"ADAM6",0,0,0,0,0,0,0,0,0,1
"ADAM7",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"ADAM8",4.00386,4.00386,1.440741,0.605901,0.327876,0.791506,22,10,8,2.79310256287168
"ADAM9",19.93565,19.93565,26.964509,19.212823,18.44891,21.5420806666667,1015,721,645,0.928736362431613
"ADAMDEC1",0.22999,0.22999,0,0,0,0,0,0,0,1.22999
"ADAMTS1",18.81707,18.81707,7.164372,3.536363,3.442214,4.71431633333333,277,249,139,3.46796866746789
