"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"C1QTNF3",3.546937,4.308556,5.496856,4.450783,65,57,31,"C1qtnf3",0.036656,0,0.12477,3,0,4,0.0538086666666667,5.17245983299941
"C1QTNF4",9.948812,17.629369,13.497258,13.691813,83,140,55,"C1qtnf4",0.858552,0.701487,1.294452,27,5,22,0.951497,7.52848351803769
"C1QTNF5",0.284089,0,0.753522,0.345870333333333,3,0,5,"C1qtnf5",24.269774,44.142794,25.333271,175,49,68,31.248613,0.0417342083311717
"C1QTNF6",1.576057,2.594181,3.320693,2.496977,36,67,73,"C1qtnf6",2.482747,0.880358,0.810516,60,20,30,1.391207,1.46243173426642
"C1QTNF7",0,0.016411,0,0.00547033333333333,0,1,0,"C1qtnf7",3.096899,3.886563,3.374253,240,74,108,3.45257166666667,0.22581788876316
"C1QTNF9",0.044468,0,0,0.0148226666666667,1,0,0,"C1qtnf9",0.28075,0.385618,0.273672,21,7,8,0.313346666666667,0.772699769545487
"C1QTNF9B",0.439287,0.133953,0.619349,0.397529666666667,4,1,3,"C1qtnf9",0.28075,0.385618,0.273672,21,7,8,0.313346666666667,1.06409808022254
"C1R",0.898323,1.838563,2.267764,1.66821666666667,21,31,22,"C1rb",0,0,0,0,0,0,0,2.66821666666667
"C1R",0.898323,1.838563,2.267764,1.66821666666667,21,31,22,"C1ra",1.238655,1.394777,1.286321,153,42,62,1.30658433333333,1.15678261926401
"C1RL",21.692447,18.686155,15.069921,18.482841,222,213,157,"C1rl",0.128322,0.197842,0.123467,16,6,6,0.149877,16.9434130780944
"C1S",2.734746,4.525943,2.729329,3.330006,21,49,31,"C1s2",0.101643,0.046688,0.085057,11,1,4,0.077796,4.01746341608245
"C1S",2.734746,4.525943,2.729329,3.330006,21,49,31,"C1s1",4.822994,3.790972,6.669844,324,92,140,5.09460333333333,0.710465597706386
"C2",2.080789,1.066667,1.413295,1.52025033333333,21,19,20,"C2",4.604212,3.27013,4.138421,210,44,75,4.00425433333333,0.503621551875561
"C20orf204",0.756174,1.287135,1.600823,1.21471066666667,41,55,50,"Gm29797",0.172894,0.53713,0,4,3,0,0.236674666666667,1.79085957395424
"C21orf91",1.253929,1.045433,1.202385,1.167249,55,71,61,"D16Ertd472e",0.503572,0.220049,1.02101,75,13,37,0.581543666666667,1.37033775650836
"C22orf15",0.175528,0.147252,0.055258,0.126012666666667,2,1,1,"Gm867",0.067884,0.093189,0.12129,3,1,2,0.094121,1.02914820816589
"C2CD2",5.961099,5.826855,7.583317,6.45709033333333,304,384,274,"C2cd2",29.924616,23.762292,31.271713,1709,413,708,28.3195403333333,0.254338582684237
"C2CD2L",14.702005,19.64512,21.590635,18.64592,510,671,461,"C2cd2l",88.283587,75.412572,76.940109,2962,625,1152,80.2120893333333,0.241908811376145
"C2CD3",12.433752,12.691131,15.516288,13.547057,327,423,335,"C2cd3",4.996465,5.667732,5.470066,656,144,283,5.37808766666667,2.28078661822512
"C2CD4C",17.551722,14.274011,18.052542,16.6260916666667,604,582,426,"C2cd4c",2.391297,2.295336,2.540239,315,75,132,2.40895733333333,5.17052281479616
"C2CD4D",0.06907,0.112415,0.104584,0.0953563333333333,1,2,1,"C2cd4d",1.177954,0.448678,0.993249,25,2,11,0.873293666666667,0.584722167604617
"C2CD5",36.087978,26.919504,57.724627,40.2440363333333,802,827,768,"C2cd5",25.750873,26.602914,26.242173,2516,609,1072,26.1986533333333,1.51639994185987
"C2CD6",0.031096,32.379185,0.054275,10.8215186666667,1,6,3,"C2cd6",0.169278,0.414952,0.034228,7,2,4,0.206152666666667,9.80101358092314
"C2orf42",5.028878,6.16294,3.174671,4.78882966666667,55,80,48,"C87436",11.170098,11.433308,10.116254,751,150,273,10.9065533333333,0.486188530349953
"C2orf49",3.852055,4.647487,5.249312,4.58295133333333,175,224,175,"AI597479",7.565987,8.213311,7.092389,1069,287,394,7.62389566666667,0.647381595177771
"C2orf78",0,0,0.035969,0.0119896666666667,0,0,1,"Gm5114",0,0,0,0,0,0,0,1.01198966666667
"C2orf78",0,0,0.035969,0.0119896666666667,0,0,1,"Gm5592",0,0,0,0,0,0,0,1.01198966666667
"C2orf78",0,0,0.035969,0.0119896666666667,0,0,1,"Gm5591",0,0,0,0,0,0,0,1.01198966666667
"C2orf78",0,0,0.035969,0.0119896666666667,0,0,1,"Gm4884",0.008698,0,0,1,0,0,0.00289933333333333,1.00906405362054
"C2orf80",23.04572,26.444472,39.74127,29.7438206666667,124,126,123,"D630023F18Rik",0.843455,0.633732,0.374371,29,7,9,0.617186,19.0106893496893
"C3",0.864027,3.445961,0.368717,1.55956833333333,5,28,4,"C3",2.048105,0.603745,1.517228,108,21,46,1.38969266666667,1.07108682594889
"C3AR1",0.044187,0.202546,0.397729,0.214820666666667,2,6,1,"C3ar1",0.23961,0.295297,0.195334,43,13,14,0.243413666666667,0.977004434834103
"C3orf22",0,0.041446,0,0.0138153333333333,0,1,0,"BC048671",0,0,0,0,0,0,0,1.01381533333333
"C3orf33",4.649115,5.073983,5.435125,5.052741,101,104,65,"E130311K13Rik",3.113523,3.509502,3.956885,187,53,93,3.52663666666667,1.33713868501338
"C3orf49",2.038041,1.423002,1.856056,1.77236633333333,17,15,11,"Gm11100",0.19475,0.540937,0.25601,17,1,14,0.330565666666667,2.083599782248
"C3orf52",0.513085,0.564592,0.305183,0.460953333333333,14,14,6,"BC016579",0.012104,0.048858,0.09274,1,1,3,0.051234,1.38975083885541
"C3orf84",0,0,0,0,0,0,0,"BC048562",0,0,0,0,0,0,0,1
"C3orf85",0,0,0,0,0,0,0,"Gm5485",0,0,0,0,0,0,0,1
"C4A",12.082245,11.47539,16.516156,13.3579303333333,119,137,79,"C4b",15.414353,14.369382,12.147262,2024,449,722,13.976999,0.958665373038573
"C4B",1.326893,1.156879,1.888628,1.45746666666667,26,12,7,"C4b",15.414353,14.369382,12.147262,2024,449,722,13.976999,0.164082715547131
"C4BPA",0.175206,0.129135,0.570613,0.291651333333333,5,4,6,"C4bp",0.031834,0.076683,0.112464,5,3,3,0.0736603333333333,1.20303534854754
"C4orf33",6.723786,6.725022,11.498964,8.315924,132,154,118,"D3Ertd751e",10.273307,7.431471,9.224451,736,164,311,8.97640966666667,0.933795254131004
"C4orf45",0,0,0,0,0,0,0,"Gm17359",0,0,0.035979,0,0,1,0.011993,0.988149127513728
"C4orf48",27.135533,38.539665,23.476334,29.7171773333333,74,112,48,"Gm1673",14.73548,6.788488,25.84884,144,17,106,15.790936,1.82939041238281
"C4orf50",2.315753,2.503267,2.499896,2.43963866666667,425,500,324,"Gm1043",11.204212,9.687041,10.46175,2362,481,865,10.451001,0.300378863530504
"C5",0.352841,0.711863,1.071879,0.712194333333333,13,18,13,"Hc",0.278615,0.225551,0.840992,41,7,15,0.448386,1.18213952173891
"C5AR1",1.370549,1.395572,1.529448,1.43185633333333,24,21,9,"C5ar1",0.154606,0.21297,0.204921,13,1,8,0.190832333333333,2.04214839088738
"C5AR2",0.14989,0.084951,0.103335,0.112725333333333,14,8,7,"C5ar2",0.092212,0.038227,0.132832,13,1,7,0.087757,1.02295396245056
"C5orf24",88.158687,109.81316,114.422413,104.13142,1270,1442,1315,"B230219D22Rik",26.635598,23.515843,27.190883,4951,1091,1990,25.7807746666667,3.92563028174291
"C5orf46",0,0,0.304717,0.101572333333333,0,0,1,"Gm94",0,0,0,0,0,0,0,1.10157233333333
"C5orf51",12.347986,12.5335,14.437971,13.1064856666667,866,939,722,"AW549877",25.063943,24.496969,24.263229,4681,1088,1819,24.608047,0.550861440806738
"C5orf63",2.01955,2.210429,0.436107,1.555362,21,28,8,"C330018D20Rik",3.438118,3.30571,2.692112,232,64,87,3.14531333333333,0.616446042679524
"C6",0.091773,0.238884,0.029297,0.119984666666667,1,3,1,"C6",0.069287,0.034996,0.043676,8,1,2,0.0493196666666667,1.0673436343993
"C6orf132",0.269292,0.221168,0.051649,0.180703,6,12,3,"AI661453",0.150409,0.232824,0.083356,28,8,7,0.155529666666667,1.02178510345472
"C6orf163",0.981311,1.030937,0.670138,0.894128666666667,7,17,11,"Gm136",0,0,0.108522,0,0,2,0.036174,1.82800250408393
"C6orf47",5.351347,5.609889,6.249245,5.736827,170,196,141,"D17H6S53E",8.83829,8.64847,7.160301,286,55,94,8.215687,0.731017340324167
"C6orf62",60.8088,63.88089,80.127942,68.272544,1196,1416,1151,"BC005537",112.65385,100.370895,120.490844,9907,2487,4092,111.171863,0.617557221100981
"C6orf89",12.914819,12.951093,12.505561,12.790491,1061,1153,792,"BC004004",84.465671,88.118299,85.699989,2551,609,944,86.094653,0.158339123298419
"C7",5.980285,7.412703,17.230058,10.207682,32,39,50,"C7",0.231338,0.492501,0.330766,25,13,14,0.351535,8.29255772140566
"C7orf25",0.942529,0.951378,0.904584,0.932830333333333,17,23,6,"AW209491",9.276779,10.290788,8.631039,735,176,275,9.39953533333333,0.185857374525003
"C7orf26",19.803276,23.086627,21.227121,21.3723413333333,271,292,196,"E130309D02Rik",6.346609,5.462299,5.321416,507,106,183,5.710108,3.33412537224935
"C7orf57",0.360096,0.304877,0.509518,0.391497,7,7,7,"Gm11992",0.631943,0.536067,0.687389,57,12,24,0.618466333333333,0.859762709511618
